margSHRP,n,landing,coverage
BDG,56,0,1
BRG,457,3698,0.99562363238512
CRS,82,0,1
ERK,594,47706,0.962962962962963
MNT,344,1788,0.988372093023256
MRO,266,1040,0.988721804511278
OSF,104,3640,0.980769230769231
HKL,138,513,0.992753623188406
NET,47,369,0.978723404255319
TWL,1718,56990,0.981955762514552
1978,124,0,1
1979,102,3698,0.980392156862745
1980,271,0,1
1981,237,0,1
1982,249,0,1
1983,312,22908,0.96474358974359
1984,277,4099,0.989169675090253
1985,331,27167,0.948640483383686
Q1,339,2416,0.985250737463127
Q2,531,14539,0.973634651600753
Q3,645,35317,0.981395348837209
Q4,388,5600,0.994845360824742
