margSTAR,n,landing,coverage
BDG,56,0,1
BRG,457,0,1
CRS,82,0,1
ERK,594,0,1
MNT,344,185,0.997093023255814
MRO,266,2890,0.966165413533835
OSF,104,0,1
HKL,138,2559,0.942028985507246
NET,47,185,0.978723404255319
TWL,1718,331,0.99941792782305
1978,124,0,1
1979,102,112,0.990196078431373
1980,271,331,0.996309963099631
1981,237,1766,0.978902953586498
1982,249,681,0.991967871485944
1983,312,0,1
1984,277,0,1
1985,331,185,0.996978851963746
Q1,339,681,0.994100294985251
Q2,531,147,0.998116760828625
Q3,645,784,0.995348837209302
Q4,388,1463,0.989690721649485
