"species","mad"
"RDBD",3.73265694722487e-05
"EGLS",3.74067742112197e-05
"GBLC",3.88524297298857e-05
"LCOD",3.96235336869955e-05
"GSRK",3.96248165394495e-05
"BLGL",4.04226546996011e-05
"ARRA",4.06450168891766e-05
"SSPN",4.07373675396496e-05
"SABL",4.10783803173167e-05
"SNOS",4.17004994901849e-05
"SBLY",4.31153542250371e-05
"DBRK",4.87180773839029e-05
"REX",5.11632700761374e-05
"KLPG",5.13297945142568e-05
"BRWN",5.13668711869071e-05
"STRK",5.1896608528983e-05
"OLVE",5.37611260746587e-05
"TIGR",5.38802490200518e-05
"BANK",6.10407703702128e-05
"GSPT",6.25830530691728e-05
"SPKL",6.39463908641333e-05
"VRML",6.50864845240352e-05
"BLUR",6.77588900387918e-05
"CLPR",6.8181385286857e-05
"CWCD",6.89604245451652e-05
"CNRY",7.12232626848389e-05
"WDOW",7.73037610715299e-05
"YTRK",8.99495749622596e-05
"BCAC",9.22106898529185e-05
"FLAG",9.32808306571398e-05
"PNKR",0.000147286280200832
