species,gear,year,n,landing,coverage
ARRA,HKL,1980,1,10739,1
ARRA,NET,1978,7,84362,0
ARRA,NET,1982,1,261931,0
ARRA,TWL,1978,50,3394536,0.42
ARRA,TWL,1980,60,8138797,0.283333333333333
ARRA,TWL,1981,42,4796164,0.857142857142857
ARRA,TWL,1982,49,3579299,0.489795918367347
BANK,HKL,1980,1,10739,1
BANK,NET,1978,7,84362,1
BANK,NET,1982,1,261931,1
BANK,TWL,1978,50,3394536,0.78
BANK,TWL,1980,60,8138797,0.983333333333333
BANK,TWL,1981,42,4796164,0.761904761904762
BANK,TWL,1982,49,3579299,0.714285714285714
BCAC,HKL,1980,1,10739,1
BCAC,NET,1978,7,84362,1
BCAC,NET,1982,1,261931,1
BCAC,TWL,1978,50,3394536,0.74
BCAC,TWL,1980,60,8138797,0.516666666666667
BCAC,TWL,1981,42,4796164,0.5
BCAC,TWL,1982,49,3579299,0.714285714285714
BLGL,HKL,1980,1,10739,1
BLGL,NET,1978,7,84362,1
BLGL,NET,1982,1,261931,1
BLGL,TWL,1978,50,3394536,0.96
BLGL,TWL,1980,60,8138797,0.983333333333333
BLGL,TWL,1981,42,4796164,0.976190476190476
BLGL,TWL,1982,49,3579299,0.73469387755102
BLUR,HKL,1980,1,10739,1
BLUR,NET,1978,7,84362,0.428571428571429
BLUR,NET,1982,1,261931,1
BLUR,TWL,1978,50,3394536,0.76
BLUR,TWL,1980,60,8138797,1
BLUR,TWL,1981,42,4796164,0.976190476190476
BLUR,TWL,1982,49,3579299,0.959183673469388
BRWN,HKL,1980,1,10739,1
BRWN,NET,1978,7,84362,0.142857142857143
BRWN,NET,1982,1,261931,0
BRWN,TWL,1978,50,3394536,0.36
BRWN,TWL,1980,60,8138797,0.583333333333333
BRWN,TWL,1981,42,4796164,0.666666666666667
BRWN,TWL,1982,49,3579299,0.244897959183673
CLPR,HKL,1980,1,10739,1
CLPR,NET,1978,7,84362,1
CLPR,NET,1982,1,261931,1
CLPR,TWL,1978,50,3394536,0.74
CLPR,TWL,1980,60,8138797,0.616666666666667
CLPR,TWL,1981,42,4796164,0.666666666666667
CLPR,TWL,1982,49,3579299,0.693877551020408
CNRY,HKL,1980,1,10739,1
CNRY,NET,1978,7,84362,0.857142857142857
CNRY,NET,1982,1,261931,1
CNRY,TWL,1978,50,3394536,0.9
CNRY,TWL,1980,60,8138797,0.866666666666667
CNRY,TWL,1981,42,4796164,0.880952380952381
CNRY,TWL,1982,49,3579299,0.816326530612245
CWCD,HKL,1980,1,10739,0
CWCD,NET,1978,7,84362,1
CWCD,NET,1982,1,261931,1
CWCD,TWL,1978,50,3394536,0.74
CWCD,TWL,1980,60,8138797,0.95
CWCD,TWL,1981,42,4796164,0.928571428571429
CWCD,TWL,1982,49,3579299,0.857142857142857
DBRK,HKL,1980,1,10739,1
DBRK,NET,1978,7,84362,0
DBRK,NET,1982,1,261931,0
DBRK,TWL,1978,50,3394536,0.22
DBRK,TWL,1980,60,8138797,0.183333333333333
DBRK,TWL,1981,42,4796164,0.214285714285714
DBRK,TWL,1982,49,3579299,0.408163265306122
EGLS,HKL,1980,1,10739,0
EGLS,NET,1978,7,84362,0
EGLS,NET,1982,1,261931,0
EGLS,TWL,1978,50,3394536,0.7
EGLS,TWL,1980,60,8138797,0.616666666666667
EGLS,TWL,1981,42,4796164,0.80952380952381
EGLS,TWL,1982,49,3579299,0.26530612244898
FLAG,HKL,1980,1,10739,0
FLAG,NET,1978,7,84362,1
FLAG,NET,1982,1,261931,0
FLAG,TWL,1978,50,3394536,0.42
FLAG,TWL,1980,60,8138797,0.2
FLAG,TWL,1981,42,4796164,0.547619047619048
FLAG,TWL,1982,49,3579299,0.408163265306122
GBLC,HKL,1980,1,10739,1
GBLC,NET,1978,7,84362,0
GBLC,NET,1982,1,261931,1
GBLC,TWL,1978,50,3394536,0.22
GBLC,TWL,1980,60,8138797,0.1
GBLC,TWL,1981,42,4796164,0.523809523809524
GBLC,TWL,1982,49,3579299,0.163265306122449
GSPT,HKL,1980,1,10739,1
GSPT,NET,1978,7,84362,1
GSPT,NET,1982,1,261931,1
GSPT,TWL,1978,50,3394536,0.9
GSPT,TWL,1980,60,8138797,0.916666666666667
GSPT,TWL,1981,42,4796164,0.928571428571429
GSPT,TWL,1982,49,3579299,0.979591836734694
GSRK,HKL,1980,1,10739,1
GSRK,NET,1978,7,84362,1
GSRK,NET,1982,1,261931,1
GSRK,TWL,1978,50,3394536,0.92
GSRK,TWL,1980,60,8138797,0.833333333333333
GSRK,TWL,1981,42,4796164,0.976190476190476
GSRK,TWL,1982,49,3579299,0.959183673469388
KLPG,HKL,1980,1,10739,0
KLPG,NET,1978,7,84362,0.142857142857143
KLPG,NET,1982,1,261931,0
KLPG,TWL,1978,50,3394536,0.66
KLPG,TWL,1980,60,8138797,0.483333333333333
KLPG,TWL,1981,42,4796164,0.19047619047619
KLPG,TWL,1982,49,3579299,0.204081632653061
LCOD,HKL,1980,1,10739,1
LCOD,NET,1978,7,84362,0.571428571428571
LCOD,NET,1982,1,261931,1
LCOD,TWL,1978,50,3394536,0.82
LCOD,TWL,1980,60,8138797,0.933333333333333
LCOD,TWL,1981,42,4796164,1
LCOD,TWL,1982,49,3579299,1
OLVE,HKL,1980,1,10739,1
OLVE,NET,1978,7,84362,0.428571428571429
OLVE,NET,1982,1,261931,1
OLVE,TWL,1978,50,3394536,0.6
OLVE,TWL,1980,60,8138797,0.983333333333333
OLVE,TWL,1981,42,4796164,1
OLVE,TWL,1982,49,3579299,0.918367346938776
PNKR,HKL,1980,1,10739,0
PNKR,NET,1978,7,84362,0.142857142857143
PNKR,NET,1982,1,261931,1
PNKR,TWL,1978,50,3394536,0.5
PNKR,TWL,1980,60,8138797,0.366666666666667
PNKR,TWL,1981,42,4796164,0.357142857142857
PNKR,TWL,1982,49,3579299,0.795918367346939
RDBD,HKL,1980,1,10739,0
RDBD,NET,1978,7,84362,1
RDBD,NET,1982,1,261931,0
RDBD,TWL,1978,50,3394536,0.5
RDBD,TWL,1980,60,8138797,0.666666666666667
RDBD,TWL,1981,42,4796164,0.30952380952381
RDBD,TWL,1982,49,3579299,0.755102040816326
REX,HKL,1980,1,10739,0
REX,NET,1978,7,84362,1
REX,NET,1982,1,261931,0
REX,TWL,1978,50,3394536,0.52
REX,TWL,1980,60,8138797,0.4
REX,TWL,1981,42,4796164,0.619047619047619
REX,TWL,1982,49,3579299,0.122448979591837
SABL,HKL,1980,1,10739,1
SABL,NET,1978,7,84362,0.142857142857143
SABL,NET,1982,1,261931,0
SABL,TWL,1978,50,3394536,0.16
SABL,TWL,1980,60,8138797,0.15
SABL,TWL,1981,42,4796164,0.238095238095238
SABL,TWL,1982,49,3579299,0.714285714285714
SBLY,HKL,1980,1,10739,1
SBLY,NET,1978,7,84362,1
SBLY,NET,1982,1,261931,1
SBLY,TWL,1978,50,3394536,0.54
SBLY,TWL,1980,60,8138797,0.983333333333333
SBLY,TWL,1981,42,4796164,0.976190476190476
SBLY,TWL,1982,49,3579299,0.979591836734694
SNOS,HKL,1980,1,10739,1
SNOS,NET,1978,7,84362,1
SNOS,NET,1982,1,261931,1
SNOS,TWL,1978,50,3394536,0.62
SNOS,TWL,1980,60,8138797,0.966666666666667
SNOS,TWL,1981,42,4796164,0.880952380952381
SNOS,TWL,1982,49,3579299,0.816326530612245
SPKL,HKL,1980,1,10739,1
SPKL,NET,1978,7,84362,0.714285714285714
SPKL,NET,1982,1,261931,1
SPKL,TWL,1978,50,3394536,0.98
SPKL,TWL,1980,60,8138797,0.716666666666667
SPKL,TWL,1981,42,4796164,0.738095238095238
SPKL,TWL,1982,49,3579299,0.959183673469388
SSPN,HKL,1980,1,10739,1
SSPN,NET,1978,7,84362,1
SSPN,NET,1982,1,261931,1
SSPN,TWL,1978,50,3394536,1
SSPN,TWL,1980,60,8138797,0.983333333333333
SSPN,TWL,1981,42,4796164,0.952380952380952
SSPN,TWL,1982,49,3579299,0.897959183673469
STRK,HKL,1980,1,10739,1
STRK,NET,1978,7,84362,1
STRK,NET,1982,1,261931,1
STRK,TWL,1978,50,3394536,0.76
STRK,TWL,1980,60,8138797,0.933333333333333
STRK,TWL,1981,42,4796164,0.976190476190476
STRK,TWL,1982,49,3579299,0.918367346938776
TIGR,HKL,1980,1,10739,1
TIGR,NET,1978,7,84362,0.857142857142857
TIGR,NET,1982,1,261931,0
TIGR,TWL,1978,50,3394536,0.54
TIGR,TWL,1980,60,8138797,0.383333333333333
TIGR,TWL,1981,42,4796164,0.761904761904762
TIGR,TWL,1982,49,3579299,0.489795918367347
VRML,HKL,1980,1,10739,0
VRML,NET,1978,7,84362,0.142857142857143
VRML,NET,1982,1,261931,0
VRML,TWL,1978,50,3394536,0.08
VRML,TWL,1980,60,8138797,0.766666666666667
VRML,TWL,1981,42,4796164,0.928571428571429
