species,mad
CLPR,0.000147578527144001
BCAC,0.00018064390218823
WDOW,0.000190528662120133
CNRY,0.000202099154745897
GSPT,0.000203381229798269
BANK,0.000205934377524627
GSRK,0.000215849915210601
SNOS,0.000218161413739907
BLGL,0.00022496485064471
STRK,0.000225949175178823
YTRK,0.000226864041829816
BLUR,0.000234436214100676
SBLY,0.00023468000535956
OLVE,0.000254912850363166
CWCD,0.000274197697347181
SPKL,0.000277690462305144
VRML,0.000336333725041355
PNKR,0.000353443729219794
RDBD,0.000360720882497563
KLPG,0.000366411631572088
TIGR,0.000380427382213456
BRWN,0.000381399809616959
ARRA,0.000381587565234024
FLAG,0.000381657649013636
GBLC,0.000435594923323335
DBRK,0.000452120664011529
