species,mad
KLPG,3.84106972858563e-05
GBLC,3.88524297298857e-05
GSRK,3.96248165394495e-05
BLGL,4.05364099945374e-05
ARRA,4.06450168891766e-05
TIGR,4.11222064093476e-05
SNOS,4.17004994901849e-05
SBLY,4.18530267525574e-05
PNKR,4.28615803630017e-05
DBRK,4.29485985890007e-05
GSPT,4.48037647508035e-05
RDBD,4.85883436709457e-05
STRK,5.1896608528983e-05
OLVE,5.37611260746587e-05
BLUR,5.64971158400948e-05
BANK,6.01963849304481e-05
SPKL,6.39463908641333e-05
VRML,6.50864845240352e-05
FLAG,6.64586871348482e-05
CLPR,6.86574787298021e-05
CWCD,6.89604245451652e-05
CNRY,6.98309546251917e-05
BRWN,7.09569353563919e-05
WDOW,7.70932139847816e-05
YTRK,8.88903157788511e-05
BCAC,0.000114162180497274
