margCLPR,n,landing,coverage
BDG,4,30105,1
BRG,6,317971,1
MNT,95,2088610,0.968421052631579
MRO,66,1565177,0.909090909090909
OSF,63,2295608,0.936507936507937
HKL,1,0,1
NET,8,0,1
TWL,225,6297471,0.942222222222222
1978,57,856923,0.982456140350877
1980,61,2760555,0.918032786885246
1981,42,1498391,0.928571428571429
1982,50,1066903,0.96
1983,18,99835,0.888888888888889
1984,6,14864,1
Q1,51,1355711,0.941176470588235
Q2,79,1901799,0.974683544303797
Q3,59,1639952,0.949152542372881
Q4,45,1400009,0.888888888888889
