margBANK,n,landing,coverage
BDG,4,97108,1
BRG,6,0,1
MNT,95,1044209,0.884210526315789
MRO,77,468179,0.87012987012987
OSF,63,65492,0.968253968253968
HKL,1,0,1
NET,8,0,1
TWL,236,1674988,0.902542372881356
1978,57,385011,0.929824561403509
1980,61,5164,1
1981,42,670022,0.880952380952381
1982,50,452819,0.88
1983,18,29264,0.888888888888889
1984,6,109188,0.833333333333333
1985,11,23520,0.545454545454545
Q1,55,188769,0.909090909090909
Q2,86,395690,0.895348837209302
Q3,59,523624,0.932203389830508
Q4,45,566905,0.888888888888889
