"port","gear","qtr","year","species","n","landing","coverage"
"CRS","TWL",1,1982,"BCAC",1,0,1
"CRS","TWL",1,1982,"BLCK",1,0,1
"CRS","TWL",1,1982,"CLPR",1,0,1
"CRS","TWL",1,1982,"CNRY",1,0,1
"CRS","TWL",1,1982,"DBRK",1,0,1
"CRS","TWL",1,1982,"GSRK",1,0,1
"CRS","TWL",1,1982,"POP",1,0,1
"CRS","TWL",1,1982,"SPKL",1,0,1
"CRS","TWL",1,1982,"WDOW",1,75920,0
"CRS","TWL",1,1982,"YTRK",1,0,1
"CRS","TWL",3,1982,"BCAC",2,0,1
"CRS","TWL",3,1982,"BLCK",2,0,1
"CRS","TWL",3,1982,"CLPR",2,0,1
"CRS","TWL",3,1982,"CNRY",2,6334,0.5
"CRS","TWL",3,1982,"DBRK",2,0,1
"CRS","TWL",3,1982,"GSRK",2,0,1
"CRS","TWL",3,1982,"POP",2,0,1
"CRS","TWL",3,1982,"SPKL",2,0,1
"CRS","TWL",3,1982,"WDOW",2,593775,0.5
"CRS","TWL",3,1982,"YTRK",2,33246,1
"ERK","TWL",1,1981,"BCAC",2,0,0.5
"ERK","TWL",1,1981,"BLCK",2,0,1
"ERK","TWL",1,1981,"CLPR",2,0,1
"ERK","TWL",1,1981,"CNRY",2,0,1
"ERK","TWL",1,1981,"DBRK",2,0,1
"ERK","TWL",1,1981,"GSRK",2,0,1
"ERK","TWL",1,1981,"POP",2,0,1
"ERK","TWL",1,1981,"SPKL",2,0,1
"ERK","TWL",1,1981,"WDOW",2,0,0.5
"ERK","TWL",1,1981,"YTRK",2,0,1
"ERK","TWL",1,1982,"BCAC",12,11681,0.916666666666667
"ERK","TWL",1,1982,"BLCK",12,0,1
"ERK","TWL",1,1982,"CLPR",12,506,0.833333333333333
"ERK","TWL",1,1982,"CNRY",12,761,0.916666666666667
"ERK","TWL",1,1982,"DBRK",12,0,1
"ERK","TWL",1,1982,"GSRK",12,0,1
"ERK","TWL",1,1982,"POP",12,0,1
