species,year,n,landing,coverage
BCAC,1981,37,331560,0.945945945945946
BCAC,1982,92,5758668,0.956521739130435
BLCK,1981,37,331560,0.189189189189189
BLCK,1982,92,5758668,0.673913043478261
CLPR,1981,37,331560,1
CLPR,1982,92,5758668,0.956521739130435
CNRY,1981,37,331560,1
CNRY,1982,92,5758668,0.858695652173913
DBRK,1981,37,331560,0.297297297297297
DBRK,1982,92,5758668,0.565217391304348
GSRK,1981,37,331560,0.810810810810811
GSRK,1982,92,5758668,0.5
POP,1981,37,331560,0.189189189189189
POP,1982,92,5758668,0.58695652173913
SPKL,1981,37,331560,1
SPKL,1982,92,5758668,0.978260869565217
WDOW,1981,37,331560,0
WDOW,1982,92,5758668,0.0108695652173913
YTRK,1981,37,331560,1
YTRK,1982,92,5758668,0.880434782608696
