species,gear,year,n,landing,coverage
BCAC,TWL,1981,37,331560,0.945945945945946
BCAC,TWL,1982,92,5758668,0.956521739130435
BLCK,TWL,1981,37,331560,1
BLCK,TWL,1982,92,5758668,0.989130434782609
CLPR,TWL,1981,37,331560,1
CLPR,TWL,1982,92,5758668,0.967391304347826
CNRY,TWL,1981,37,331560,1
CNRY,TWL,1982,92,5758668,0.978260869565217
DBRK,TWL,1981,37,331560,1
DBRK,TWL,1982,92,5758668,0.989130434782609
GSRK,TWL,1981,37,331560,1
GSRK,TWL,1982,92,5758668,0.989130434782609
POP,TWL,1981,37,331560,1
POP,TWL,1982,92,5758668,0.989130434782609
SPKL,TWL,1981,37,331560,1
SPKL,TWL,1982,92,5758668,0.989130434782609
WDOW,TWL,1981,37,331560,0.027027027027027
WDOW,TWL,1982,92,5758668,0.119565217391304
YTRK,TWL,1981,37,331560,1
YTRK,TWL,1982,92,5758668,0.934782608695652
