"year","species","n","landing","coverage"
1981,"BCAC",37,331560,0.945945945945946
1981,"BLCK",37,331560,0.162162162162162
1981,"CLPR",37,331560,1
1981,"CNRY",37,331560,1
1981,"DBRK",37,331560,0.351351351351351
1981,"GSRK",37,331560,0.540540540540541
1981,"POP",37,331560,0.972972972972973
1981,"SPKL",37,331560,1
1981,"WDOW",37,331560,0
1981,"YTRK",37,331560,1
1982,"BCAC",92,5758668,0.945652173913043
1982,"BLCK",92,5758668,0.456521739130435
1982,"CLPR",92,5758668,0.956521739130435
1982,"CNRY",92,5758668,0.978260869565217
1982,"DBRK",92,5758668,0.369565217391304
1982,"GSRK",92,5758668,0.467391304347826
1982,"POP",92,5758668,0.771739130434783
1982,"SPKL",92,5758668,0.967391304347826
1982,"WDOW",92,5758668,0.0108695652173913
1982,"YTRK",92,5758668,0.880434782608696
