"year","species","n","landing","coverage"
1981,"BCAC",37,331560,0.945945945945946
1981,"BLCK",37,331560,0.972972972972973
1981,"CLPR",37,331560,1
1981,"CNRY",37,331560,1
1981,"DBRK",37,331560,0.189189189189189
1981,"GSRK",37,331560,0.243243243243243
1981,"POP",37,331560,0.135135135135135
1981,"SPKL",37,331560,0.918918918918919
1981,"WDOW",37,331560,0
1981,"YTRK",37,331560,1
1982,"BCAC",92,5758668,0.956521739130435
1982,"BLCK",92,5758668,0.630434782608696
1982,"CLPR",92,5758668,0.956521739130435
1982,"CNRY",92,5758668,0.956521739130435
1982,"DBRK",92,5758668,0.597826086956522
1982,"GSRK",92,5758668,0.456521739130435
1982,"POP",92,5758668,0.478260869565217
1982,"SPKL",92,5758668,0.978260869565217
1982,"WDOW",92,5758668,0.0108695652173913
1982,"YTRK",92,5758668,0.880434782608696
