species,port,gear,year,qtr,n,landing,coverage
BCAC,CRS,TWL,1982,1,1,0,1
BLCK,CRS,TWL,1982,1,1,0,1
CLPR,CRS,TWL,1982,1,1,0,1
CNRY,CRS,TWL,1982,1,1,0,1
DBRK,CRS,TWL,1982,1,1,0,1
GSRK,CRS,TWL,1982,1,1,0,1
POP,CRS,TWL,1982,1,1,0,1
SPKL,CRS,TWL,1982,1,1,0,1
WDOW,CRS,TWL,1982,1,1,75920,0
YTRK,CRS,TWL,1982,1,1,0,1
BCAC,CRS,TWL,1982,3,2,0,1
BLCK,CRS,TWL,1982,3,2,0,1
CLPR,CRS,TWL,1982,3,2,0,1
CNRY,CRS,TWL,1982,3,2,6334,0.5
DBRK,CRS,TWL,1982,3,2,0,1
GSRK,CRS,TWL,1982,3,2,0,1
POP,CRS,TWL,1982,3,2,0,1
SPKL,CRS,TWL,1982,3,2,0,1
WDOW,CRS,TWL,1982,3,2,593775,0.5
YTRK,CRS,TWL,1982,3,2,33246,1
BCAC,ERK,TWL,1981,1,2,0,0.5
BLCK,ERK,TWL,1981,1,2,0,1
CLPR,ERK,TWL,1981,1,2,0,1
CNRY,ERK,TWL,1981,1,2,0,1
DBRK,ERK,TWL,1981,1,2,0,1
GSRK,ERK,TWL,1981,1,2,0,1
POP,ERK,TWL,1981,1,2,0,1
SPKL,ERK,TWL,1981,1,2,0,1
WDOW,ERK,TWL,1981,1,2,0,0.5
YTRK,ERK,TWL,1981,1,2,0,1
BCAC,ERK,TWL,1982,1,12,11681,0.916666666666667
BLCK,ERK,TWL,1982,1,12,0,1
CLPR,ERK,TWL,1982,1,12,506,0.833333333333333
CNRY,ERK,TWL,1982,1,12,761,0.916666666666667
DBRK,ERK,TWL,1982,1,12,0,1
GSRK,ERK,TWL,1982,1,12,0,1
POP,ERK,TWL,1982,1,12,0,1
SPKL,ERK,TWL,1982,1,12,0,1
WDOW,ERK,TWL,1982,1,12,103428,0.0833333333333333
YTRK,ERK,TWL,1982,1,12,0,1
BCAC,ERK,TWL,1981,2,2,0,1
BLCK,ERK,TWL,1981,2,2,0,1
CLPR,ERK,TWL,1981,2,2,0,1
CNRY,ERK,TWL,1981,2,2,0,1
DBRK,ERK,TWL,1981,2,2,0,1
GSRK,ERK,TWL,1981,2,2,0,1
POP,ERK,TWL,1981,2,2,0,1
SPKL,ERK,TWL,1981,2,2,0,1
WDOW,ERK,TWL,1981,2,2,0,0
YTRK,ERK,TWL,1981,2,2,0,1
BCAC,ERK,TWL,1982,2,9,0,1
BLCK,ERK,TWL,1982,2,9,0,1
CLPR,ERK,TWL,1982,2,9,0,1
CNRY,ERK,TWL,1982,2,9,0,1
DBRK,ERK,TWL,1982,2,9,0,1
GSRK,ERK,TWL,1982,2,9,0,1
POP,ERK,TWL,1982,2,9,0,1
SPKL,ERK,TWL,1982,2,9,0,1
WDOW,ERK,TWL,1982,2,9,59393,0.222222222222222
YTRK,ERK,TWL,1982,2,9,0,1
BCAC,ERK,TWL,1981,3,1,63,0
BLCK,ERK,TWL,1981,3,1,0,1
CLPR,ERK,TWL,1981,3,1,0,1
CNRY,ERK,TWL,1981,3,1,0,1
DBRK,ERK,TWL,1981,3,1,0,1
GSRK,ERK,TWL,1981,3,1,0,1
POP,ERK,TWL,1981,3,1,0,1
SPKL,ERK,TWL,1981,3,1,0,1
WDOW,ERK,TWL,1981,3,1,546,1
YTRK,ERK,TWL,1981,3,1,0,1
BCAC,ERK,TWL,1982,3,15,0,0.866666666666667
BLCK,ERK,TWL,1982,3,15,0,0.933333333333333
CLPR,ERK,TWL,1982,3,15,0,1
CNRY,ERK,TWL,1982,3,15,0,1
DBRK,ERK,TWL,1982,3,15,0,0.933333333333333
GSRK,ERK,TWL,1982,3,15,0,1
POP,ERK,TWL,1982,3,15,0,0.933333333333333
SPKL,ERK,TWL,1982,3,15,0,1
WDOW,ERK,TWL,1982,3,15,640381,0.2
YTRK,ERK,TWL,1982,3,15,0,0.8
BCAC,ERK,TWL,1981,4,8,0,1
BLCK,ERK,TWL,1981,4,8,0,1
CLPR,ERK,TWL,1981,4,8,0,1
CNRY,ERK,TWL,1981,4,8,0,1
DBRK,ERK,TWL,1981,4,8,0,1
GSRK,ERK,TWL,1981,4,8,0,1
POP,ERK,TWL,1981,4,8,0,1
SPKL,ERK,TWL,1981,4,8,0,1
WDOW,ERK,TWL,1981,4,8,26464,0
YTRK,ERK,TWL,1981,4,8,0,1
BCAC,ERK,TWL,1982,4,6,0,1
BLCK,ERK,TWL,1982,4,6,0,1
