species,year,n,landing,coverage
BANK,1981,37,331560,0.675675675675676
BANK,1982,92,5758668,0.565217391304348
BANK,1983,73,6221344,0.356164383561644
BCAC,1981,37,331560,0.945945945945946
BCAC,1982,92,5758668,0.956521739130435
BCAC,1983,73,6221344,0.972602739726027
BLCK,1981,37,331560,0.486486486486487
BLCK,1982,92,5758668,0.423913043478261
BLCK,1983,73,6221344,0.808219178082192
CLPR,1981,37,331560,1
CLPR,1982,92,5758668,0.956521739130435
CLPR,1983,73,6221344,0.931506849315068
CNRY,1981,37,331560,1
CNRY,1982,92,5758668,0.880434782608696
CNRY,1983,73,6221344,0.986301369863014
DBRK,1981,37,331560,0.0810810810810811
DBRK,1982,92,5758668,0.41304347826087
DBRK,1983,73,6221344,0.26027397260274
GSRK,1981,37,331560,0.891891891891892
GSRK,1982,92,5758668,0.91304347826087
GSRK,1983,73,6221344,0.780821917808219
POP,1981,37,331560,1
POP,1982,92,5758668,0.83695652173913
POP,1983,73,6221344,0.972602739726027
SHRP,1981,37,331560,0.324324324324324
SHRP,1982,92,5758668,0.358695652173913
SHRP,1983,73,6221344,0.561643835616438
SPKL,1981,37,331560,0.513513513513513
SPKL,1982,92,5758668,0.771739130434783
SPKL,1983,73,6221344,0.904109589041096
WDOW,1981,37,331560,0
WDOW,1982,92,5758668,0.0108695652173913
WDOW,1983,73,6221344,0.0136986301369863
YTRK,1981,37,331560,1
YTRK,1982,92,5758668,0.880434782608696
YTRK,1983,73,6221344,0.945205479452055
