"marginalGBLC","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.877300613496933
"CRS",50,0,0.94
"ERK",323,0,1
"MNT",108,0,0.907407407407407
"MRO",138,37006,0.884057971014493
"OSF",29,0,0.793103448275862
"HKL",110,37006,0.854545454545454
"NET",6,0,0.833333333333333
"TWL",867,0,0.933102652825836
"1978",124,0,0.983870967741935
"1979",102,372,0.882352941176471
"1980",271,1328,0.911439114391144
"1981",237,0,0.915611814345992
"1982",249,35306,0.931726907630522
"Q1",162,5688,0.962962962962963
"Q2",289,58,0.896193771626298
"Q3",340,30556,0.976470588235294
"Q4",192,704,0.838541666666667
