"marginalGRAS","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.782208588957055
"CRS",50,0,0.94
"ERK",323,1251,0.996904024767802
"MNT",108,0,1
"MRO",138,0,0.927536231884058
"OSF",29,0,1
"HKL",110,0,0.927272727272727
"NET",6,0,1
"TWL",867,1251,0.91118800461361
"1978",124,0,0.758064516129032
"1979",102,0,0.931372549019608
"1980",271,0,0.841328413284133
"1981",237,0,1
"1982",249,1251,0.979919678714859
"Q1",162,0,1
"Q2",289,1251,0.986159169550173
"Q3",340,0,0.764705882352941
"Q4",192,0,0.994791666666667
