"marginalRDBD","n","landing","coverage"
"BDG",9,0,1
"BRG",326,58633,0.957055214723926
"CRS",50,25892,0.74
"ERK",323,273668,0.857585139318885
"MNT",108,0,1
"MRO",138,7743,0.956521739130435
"OSF",29,0,1
"HKL",110,7743,0.945454545454545
"NET",6,0,1
"TWL",867,358193,0.915801614763552
"1978",124,19636,0.895161290322581
"1979",102,15938,0.892156862745098
"1980",271,48975,0.929889298892989
"1981",237,264477,0.919831223628692
"1982",249,16910,0.931726907630522
"Q1",162,133253,0.925925925925926
"Q2",289,61385,0.913494809688581
"Q3",340,151536,0.9
"Q4",192,19762,0.958333333333333
