"marginalREDS","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,4464,0.785276073619632
"CRS",50,0,0.82
"ERK",323,4155,0.863777089783282
"MNT",108,0,0.87962962962963
"MRO",138,0,0.971014492753623
"OSF",29,0,0.689655172413793
"HKL",110,0,0.981818181818182
"NET",6,0,0.833333333333333
"TWL",867,8619,0.825836216839677
"1978",124,0,0.661290322580645
"1979",102,0,0.980392156862745
"1980",271,3996,0.977859778597786
"1981",237,468,0.789029535864979
"1982",249,4155,0.783132530120482
"Q1",162,468,0.907407407407407
"Q2",289,7030,0.813148788927336
"Q3",340,0,0.861764705882353
"Q4",192,1121,0.802083333333333
