"marginalROSY","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.53680981595092
"CRS",50,0,0.42
"ERK",323,0,0.678018575851393
"MNT",108,0,0.638888888888889
"MRO",138,321,0.58695652173913
"OSF",29,0,0.586206896551724
"HKL",110,321,0.663636363636364
"NET",6,0,1
"TWL",867,0,0.590542099192618
"1978",124,0,0.532258064516129
"1979",102,0,0.813725490196078
"1980",271,60,0.623616236162362
"1981",237,136,0.632911392405063
"1982",249,125,0.493975903614458
"Q1",162,125,0.746913580246914
"Q2",289,0,0.726643598615917
"Q3",340,60,0.402941176470588
"Q4",192,136,0.640625
