"marginalYMTH","n","landing","coverage"
"BDG",9,0,1
"BRG",326,1535,0.865030674846626
"CRS",50,0,1
"ERK",323,0,0.86687306501548
"MNT",108,0,1
"MRO",138,0,0.760869565217391
"OSF",29,0,1
"HKL",110,0,0.7
"NET",6,0,1
"TWL",867,1535,0.899653979238754
"1978",124,0,0.879032258064516
"1979",102,1535,0.990196078431373
"1980",271,0,0.863468634686347
"1981",237,0,0.822784810126582
"1982",249,0,0.899598393574297
"Q1",162,0,0.882716049382716
"Q2",289,0,0.85121107266436
"Q3",340,0,0.873529411764706
"Q4",192,1535,0.921875
