"marginalBLUR","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.947852760736196
"CRS",50,0,0.82
"ERK",323,0,0.96594427244582
"MNT",108,0,0.87962962962963
"MRO",138,0,0.891304347826087
"OSF",29,0,1
"HKL",110,0,0.918181818181818
"NET",6,0,0.833333333333333
"TWL",867,0,0.936562860438293
"1978",124,0,0.911290322580645
"1979",102,0,0.950980392156863
"1980",271,0,0.992619926199262
"1981",237,0,0.856540084388186
"1982",249,0,0.947791164658635
"Q1",162,0,0.888888888888889
"Q2",289,0,0.923875432525952
"Q3",340,0,0.938235294117647
"Q4",192,0,0.979166666666667
