"marginalBRNZ","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,0,0.144171779141104
"CRS",50,0,0.24
"ERK",323,0,0.486068111455108
"MNT",108,0,0.287037037037037
"MRO",138,766,0.557971014492754
"OSF",29,0,0.206896551724138
"HKL",110,766,0.590909090909091
"NET",6,0,0.333333333333333
"TWL",867,0,0.307958477508651
"1978",124,0,0.233870967741935
"1979",102,766,0.235294117647059
"1980",271,0,0.317343173431734
"1981",237,0,0.278481012658228
"1982",249,0,0.518072289156627
"Q1",162,0,0.271604938271605
"Q2",289,0,0.27681660899654
"Q3",340,766,0.276470588235294
"Q4",192,0,0.604166666666667
