"marginalCNRY","n","landing","coverage"
"BDG",9,66834,1
"BRG",326,1975794,0.960122699386503
"CRS",50,1398777,0.8
"ERK",323,1577283,0.900928792569659
"MNT",108,20852,0.990740740740741
"MRO",138,100136,0.992753623188406
"OSF",29,7637,0.96551724137931
"HKL",110,132906,0.981818181818182
"NET",6,0,1
"TWL",867,5014407,0.935409457900807
"1978",124,1259855,0.903225806451613
"1979",102,626077,0.96078431372549
"1980",271,615166,0.944649446494465
"1981",237,1146147,0.936708860759494
"1982",249,1500068,0.951807228915663
"Q1",162,848186,0.969135802469136
"Q2",289,1937730,0.920415224913495
"Q3",340,1978133,0.920588235294118
"Q4",192,383264,0.984375
