"marginalFLAG","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.825153374233129
"CRS",50,1522,0.88
"ERK",323,293,0.863777089783282
"MNT",108,0,0.981481481481482
"MRO",138,2013,0.891304347826087
"OSF",29,0,1
"HKL",110,1682,0.963636363636364
"NET",6,0,1
"TWL",867,2146,0.86159169550173
"1978",124,0,0.75
"1979",102,0,1
"1980",271,331,0.959409594095941
"1981",237,1742,0.89873417721519
"1982",249,1755,0.767068273092369
"Q1",162,526,0.969135802469136
"Q2",289,1522,0.885813148788927
"Q3",340,599,0.761764705882353
"Q4",192,1181,0.973958333333333
