"marginalGBLC","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.245398773006135
"CRS",50,0,0.3
"ERK",323,0,0.647058823529412
"MNT",108,0,0.481481481481481
"MRO",138,37006,0.702898550724638
"OSF",29,0,0.620689655172414
"HKL",110,37006,0.945454545454545
"NET",6,0,1
"TWL",867,0,0.426758938869666
"1978",124,0,0.112903225806452
"1979",102,372,0.450980392156863
"1980",271,1328,0.365313653136531
"1981",237,0,0.708860759493671
"1982",249,35306,0.614457831325301
"Q1",162,5688,0.54320987654321
"Q2",289,58,0.557093425605536
"Q3",340,30556,0.308823529411765
"Q4",192,704,0.65625
