"marginalGRAS","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,0,0.180981595092025
"CRS",50,0,0.5
"ERK",323,1251,0.151702786377709
"MNT",108,0,0.175925925925926
"MRO",138,0,0.159420289855072
"OSF",29,0,0.241379310344828
"HKL",110,0,0.218181818181818
"NET",6,0,0.666666666666667
"TWL",867,1251,0.181084198385236
"1978",124,0,0.32258064516129
"1979",102,0,0.401960784313726
"1980",271,0,0.0627306273062731
"1981",237,0,0.10126582278481
"1982",249,1251,0.253012048192771
"Q1",162,0,0.216049382716049
"Q2",289,1251,0.204152249134948
"Q3",340,0,0.164705882352941
"Q4",192,0,0.182291666666667
