"marginalGSPT","n","landing","coverage"
"BDG",9,0,1
"BRG",326,274928,0.822085889570552
"CRS",50,23232,0.66
"ERK",323,231696,0.894736842105263
"MNT",108,15597,0.925925925925926
"MRO",138,105637,0.753623188405797
"OSF",29,24513,0.931034482758621
"HKL",110,108515,0.690909090909091
"NET",6,0,1
"TWL",867,567088,0.862745098039216
"1978",124,27031,0.854838709677419
"1979",102,91046,0.794117647058823
"1980",271,81904,0.845018450184502
"1981",237,329640,0.852320675105485
"1982",249,145982,0.85140562248996
"Q1",162,224167,0.851851851851852
"Q2",289,167944,0.86159169550173
"Q3",340,124482,0.844117647058824
"Q4",192,159010,0.8125
