"marginalMXRF","n","landing","coverage"
"BDG",9,0,0.222222222222222
"BRG",326,15828,0.450920245398773
"CRS",50,0,0.18
"ERK",323,0,0.148606811145511
"MNT",108,0,0.222222222222222
"MRO",138,0,0.340579710144928
"OSF",29,0,0.379310344827586
"HKL",110,0,0.4
"NET",6,0,0.333333333333333
"TWL",867,15828,0.279123414071511
"1978",124,0,0.588709677419355
"1979",102,0,0.333333333333333
"1980",271,15828,0.173431734317343
"1981",237,0,0.337552742616034
"1982",249,0,0.216867469879518
"Q1",162,0,0.265432098765432
"Q2",289,6676,0.162629757785467
"Q3",340,9152,0.352941176470588
"Q4",192,0,0.40625
