"marginalREX","n","landing","coverage"
"BDG",9,0,0.222222222222222
"BRG",326,0,0.214723926380368
"CRS",50,0,0.28
"ERK",323,0,0.306501547987616
"MNT",108,0,0.388888888888889
"MRO",138,0,0.485507246376812
"OSF",29,3731,0.551724137931034
"HKL",110,0,0.572727272727273
"NET",6,0,0.5
"TWL",867,3731,0.281430219146482
"1978",124,0,0.298387096774194
"1979",102,0,0.42156862745098
"1980",271,0,0.103321033210332
"1981",237,0,0.561181434599156
"1982",249,3731,0.27710843373494
"Q1",162,0,0.567901234567901
"Q2",289,3731,0.470588235294118
"Q3",340,0,0.1
"Q4",192,0,0.25
