"marginalREYE","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.926380368098159
"CRS",50,0,1
"ERK",323,0,0.922600619195046
"MNT",108,0,0.990740740740741
"MRO",138,0,0.920289855072464
"OSF",29,0,0.689655172413793
"HKL",110,0,0.990909090909091
"NET",6,0,1
"TWL",867,0,0.920415224913495
"1978",124,0,0.870967741935484
"1979",102,0,0.901960784313726
"1980",271,0,0.96309963099631
"1981",237,0,0.974683544303797
"1982",249,0,0.887550200803213
"Q1",162,0,0.969135802469136
"Q2",289,0,0.923875432525952
"Q3",340,0,0.908823529411765
"Q4",192,0,0.9375
