"marginalROSY","n","landing","coverage"
"BDG",9,0,0.333333333333333
"BRG",326,0,0.44478527607362
"CRS",50,0,0.54
"ERK",323,0,0.1671826625387
"MNT",108,0,0.62962962962963
"MRO",138,321,0.797101449275362
"OSF",29,0,0.448275862068966
"HKL",110,321,0.963636363636364
"NET",6,0,1
"TWL",867,0,0.355247981545559
"1978",124,0,0.346774193548387
"1979",102,0,0.392156862745098
"1980",271,60,0.553505535055351
"1981",237,136,0.540084388185654
"1982",249,125,0.236947791164659
"Q1",162,125,0.611111111111111
"Q2",289,0,0.242214532871972
"Q3",340,60,0.532352941176471
"Q4",192,136,0.364583333333333
