"marginalSBLY","n","landing","coverage"
"BDG",9,6313,0.555555555555556
"BRG",326,387,0.309815950920245
"CRS",50,0,0.08
"ERK",323,0,0.705882352941177
"MNT",108,900,0.601851851851852
"MRO",138,0,0.826086956521739
"OSF",29,0,0.758620689655172
"HKL",110,0,0.872727272727273
"NET",6,0,0.666666666666667
"TWL",867,7600,0.506343713956171
"1978",124,387,0.451612903225806
"1979",102,0,0.813725490196078
"1980",271,0,0.608856088560886
"1981",237,0,0.531645569620253
"1982",249,7213,0.437751004016064
"Q1",162,0,0.635802469135803
"Q2",289,6588,0.678200692041522
"Q3",340,112,0.335294117647059
"Q4",192,900,0.65625
