"marginalSWSP","n","landing","coverage"
"BDG",9,0,0.111111111111111
"BRG",326,0,0.233128834355828
"CRS",50,0,0.06
"ERK",323,0,0.346749226006192
"MNT",108,0,0.287037037037037
"MRO",138,0,0.427536231884058
"OSF",29,0,0.206896551724138
"HKL",110,0,0.445454545454545
"NET",6,0,0.666666666666667
"TWL",867,0,0.271049596309112
"1978",124,0,0.290322580645161
"1979",102,0,0.343137254901961
"1980",271,0,0.173431734317343
"1981",237,0,0.548523206751055
"1982",249,0,0.160642570281124
"Q1",162,0,0.530864197530864
"Q2",289,0,0.217993079584775
"Q3",340,0,0.285294117647059
"Q4",192,0,0.21875
