"marginalTIGR","n","landing","coverage"
"BDG",9,2766,0.222222222222222
"BRG",326,0,0.269938650306748
"CRS",50,0,0.4
"ERK",323,0,0.39938080495356
"MNT",108,0,0.194444444444444
"MRO",138,0,0.355072463768116
"OSF",29,0,0.344827586206897
"HKL",110,0,0.3
"NET",6,0,0.166666666666667
"TWL",867,2766,0.328719723183391
"1978",124,0,0.306451612903226
"1979",102,0,0.382352941176471
"1980",271,0,0.354243542435424
"1981",237,2766,0.485232067510549
"1982",249,0,0.124497991967871
"Q1",162,0,0.277777777777778
"Q2",289,0,0.456747404844291
"Q3",340,0,0.258823529411765
"Q4",192,2766,0.28125
