"marginalURCK","n","landing","coverage"
"BDG",9,0,0
"BRG",326,0,0.138036809815951
"CRS",50,44,0.46
"ERK",323,0,0.179566563467492
"MNT",108,0,0.175925925925926
"MRO",138,0,0.173913043478261
"OSF",29,0,0.275862068965517
"HKL",110,0,0.272727272727273
"NET",6,0,0.166666666666667
"TWL",867,44,0.168396770472895
"1978",124,0,0.145161290322581
"1979",102,0,0.215686274509804
"1980",271,44,0.280442804428044
"1981",237,0,0.029535864978903
"1982",249,0,0.216867469879518
"Q1",162,0,0.037037037037037
"Q2",289,0,0.0968858131487889
"Q3",340,44,0.252941176470588
"Q4",192,0,0.296875
