"marginalWDOW","n","landing","coverage"
"BDG",9,13218,0.888888888888889
"BRG",326,635196,0.806748466257669
"CRS",50,182129,0.82
"ERK",323,15744399,0.637770897832817
"MNT",108,570494,0.564814814814815
"MRO",138,219593,0.811594202898551
"OSF",29,788477,0.827586206896552
"HKL",110,208182,0.818181818181818
"NET",6,10917,0.5
"TWL",867,17934407,0.717416378316032
"1978",124,749148,0.766129032258065
"1979",102,2751370,0.735294117647059
"1980",271,10708990,0.697416974169742
"1981",237,3288416,0.683544303797468
"1982",249,655582,0.779116465863454
"Q1",162,4011229,0.666666666666667
"Q2",289,4284190,0.695501730103806
"Q3",340,4756660,0.791176470588235
"Q4",192,5101427,0.713541666666667
