"marginalEGLS","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.914110429447853
"CRS",50,0,1
"ERK",323,0,0.95046439628483
"MNT",108,1398,0.925925925925926
"MRO",138,0,0.833333333333333
"OSF",29,0,0.96551724137931
"HKL",110,0,0.790909090909091
"NET",6,0,1
"TWL",867,1398,0.938869665513264
"1978",124,0,0.766129032258065
"1979",102,0,0.843137254901961
"1980",271,1398,0.974169741697417
"1981",237,0,0.928270042194093
"1982",249,0,0.971887550200803
"Q1",162,0,0.962962962962963
"Q2",289,0,0.934256055363322
"Q3",340,1398,0.891176470588235
"Q4",192,0,0.927083333333333
