"marginalOLVE","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,1
"CRS",50,0,1
"ERK",323,0,1
"MNT",108,7525,0.981481481481482
"MRO",138,17817,0.956521739130435
"OSF",29,0,1
"HKL",110,24120,0.936363636363636
"NET",6,0,1
"TWL",867,1222,0.998846597462514
"1978",124,0,1
"1979",102,4165,0.970588235294118
"1980",271,6674,0.992619926199262
"1981",237,374,0.9957805907173
"1982",249,14129,0.991967871485944
"Q1",162,0,1
"Q2",289,5016,0.986159169550173
"Q3",340,19210,0.994117647058824
"Q4",192,1116,0.989583333333333
