"marginalURCK","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,0,0.230061349693252
"CRS",50,44,0.22
"ERK",323,0,0.368421052631579
"MNT",108,0,0.296296296296296
"MRO",138,0,0.326086956521739
"OSF",29,0,0.172413793103448
"HKL",110,0,0.363636363636364
"NET",6,0,0.166666666666667
"TWL",867,44,0.288350634371396
"1978",124,0,0.00806451612903226
"1979",102,0,0.352941176470588
"1980",271,44,0.129151291512915
"1981",237,0,0.362869198312236
"1982",249,0,0.534136546184739
"Q1",162,0,0.388888888888889
"Q2",289,0,0.294117647058824
"Q3",340,44,0.167647058823529
"Q4",192,0,0.447916666666667
