species,year,qtr,portComplex,gearGroup,marketCategory,live,sampleNumber,clusterNumber,weight,comLands
BANK,1983,4,OSF,TWL,269,N,198302206,1,37,3827
BANK,1984,2,MRO,TWL,269,N,198402914,1,3,48
BANK,1986,3,OSF,NET,269,N,198604884,1,10,48943
BANK,1989,4,MRO,NET,269,N,198902707,2,43,9714
BANK,1989,4,MRO,NET,269,N,198902707,1,42,9714
BANK,1990,2,OSF,TWL,269,N,199001504,1,5,2834
BCAC,1983,1,ERK,TWL,269,N,198302390,3,4,0
BCAC,1983,4,OSF,TWL,269,N,198302206,1,10,1030
BCAC,1984,2,ERK,TWL,269,N,198403346,2,8,0
BCAC,1984,2,ERK,TWL,269,N,198403360,1,2,0
BCAC,1984,2,MRO,TWL,269,N,198402914,1,22,630
BCAC,1984,2,MRO,TWL,269,N,198402914,2,17,630
BCAC,1984,4,ERK,TWL,269,N,198403428,2,4,122
BCAC,1984,4,ERK,TWL,269,N,198403428,1,5,122
BCAC,1985,1,ERK,TWL,269,N,198503471,1,3,8705
BCAC,1985,1,ERK,TWL,269,N,198503471,2,7,8705
BCAC,1985,2,ERK,TWL,269,N,198504213,1,3,0
BCAC,1985,2,ERK,TWL,269,N,198504213,2,5,0
BCAC,1987,4,OSF,NET,269,N,198704922,2,48,17476
BCAC,1987,4,OSF,NET,269,N,198704923,2,48,17476
BCAC,1988,2,ERK,TWL,269,N,198806182,2,7,43786
BCAC,1988,3,ERK,TWL,269,N,198806205,1,2,59077
BCAC,1990,1,MNT,TWL,269,N,199002008,2,2,3
BLCK,1985,3,OSF,NET,269,N,198503953,2,3,2382
BLGL,1986,3,OSD,HKL,269,N,198605910,2,49,1611
BLGL,1986,3,OSD,HKL,269,N,198605910,1,51,1611
BLGL,1990,2,OSF,TWL,269,N,199001504,1,24,13702
CLPR,1983,1,BDG,TWL,269,N,198302249,2,5,14473
CLPR,1983,1,BDG,TWL,269,N,198302247,2,2,14473
CLPR,1983,1,ERK,TWL,269,N,198302390,1,1,0
CLPR,1983,4,MRO,TWL,269,N,198302653,2,1,9
CLPR,1983,4,OSF,TWL,269,N,198302198,2,1,44
CLPR,1984,2,MRO,TWL,269,N,198402914,1,7,226
CLPR,1984,2,MRO,TWL,269,N,198402914,2,7,226
CLPR,1984,3,ERK,TWL,269,N,198403368,1,4,0
CLPR,1985,1,BDG,TWL,269,N,198503544,1,3,2267
CLPR,1985,1,ERK,TWL,269,N,198503471,1,2,14776
CLPR,1985,1,ERK,TWL,269,N,198503471,2,12,14776
CLPR,1985,1,ERK,TWL,269,N,198503477,1,10,14776
CLPR,1985,1,ERK,TWL,269,N,198503477,2,6,14776
CLPR,1985,2,ERK,TWL,269,N,198504213,2,5,0
CLPR,1985,2,ERK,TWL,269,N,198504213,1,6,0
CLPR,1986,1,BDG,TWL,269,N,198604017,2,3,3539
CLPR,1986,1,OSF,NET,269,N,198604870,1,14,20425
CLPR,1986,2,ERK,TWL,269,N,198604369,1,14,68274
