"marginalREX","n","landing","coverage"
"BDG",9,0,0.666666666666667
"BRG",326,0,1
"CRS",50,0,0.92
"ERK",323,0,0.857585139318885
"MNT",108,0,0.981481481481482
"MRO",138,0,0.956521739130435
"OSF",29,3731,0.96551724137931
"HKL",110,0,0.945454545454545
"NET",6,0,0.833333333333333
"TWL",867,3731,0.936562860438293
"1978",124,0,0.879032258064516
"1979",102,0,0.990196078431373
"1980",271,0,0.870848708487085
"1981",237,0,0.987341772151899
"1982",249,3731,0.967871485943775
"Q1",162,0,0.975308641975309
"Q2",289,3731,0.889273356401384
"Q3",340,0,0.952941176470588
"Q4",192,0,0.947916666666667
