"marginalSWSP","n","landing","coverage"
"BDG",9,0,0
"BRG",326,0,0.150306748466258
"CRS",50,0,0.66
"ERK",323,0,0.198142414860681
"MNT",108,0,0.166666666666667
"MRO",138,0,0.210144927536232
"OSF",29,0,0.379310344827586
"HKL",110,0,0.2
"NET",6,0,0.166666666666667
"TWL",867,0,0.20876585928489
"1978",124,0,0.169354838709677
"1979",102,0,0.0490196078431373
"1980",271,0,0.254612546125461
"1981",237,0,0.139240506329114
"1982",249,0,0.305220883534137
"Q1",162,0,0.283950617283951
"Q2",289,0,0.141868512110727
"Q3",340,0,0.308823529411765
"Q4",192,0,0.0625
