"marginalTIGR","n","landing","coverage"
"BDG",9,2766,0.888888888888889
"BRG",326,0,0.904907975460123
"CRS",50,0,0.98
"ERK",323,0,0.86687306501548
"MNT",108,0,0.898148148148148
"MRO",138,0,0.949275362318841
"OSF",29,0,0.827586206896552
"HKL",110,0,0.927272727272727
"NET",6,0,1
"TWL",867,2766,0.895040369088812
"1978",124,0,1
"1979",102,0,1
"1980",271,0,0.878228782287823
"1981",237,2766,0.835443037974684
"1982",249,0,0.891566265060241
"Q1",162,0,0.938271604938272
"Q2",289,0,0.747404844290657
"Q3",340,0,0.982352941176471
"Q4",192,2766,0.947916666666667
