"marginalWDOW","n","landing","coverage"
"BDG",9,13218,0.888888888888889
"BRG",326,635196,0.788343558282209
"CRS",50,182129,0.74
"ERK",323,15744399,0.628482972136223
"MNT",108,570494,0.546296296296296
"MRO",138,219593,0.826086956521739
"OSF",29,788477,0.827586206896552
"HKL",110,208182,0.827272727272727
"NET",6,10917,0.333333333333333
"TWL",867,17934407,0.70242214532872
"1978",124,749148,0.75
"1979",102,2751370,0.745098039215686
"1980",271,10708990,0.66789667896679
"1981",237,3288416,0.675105485232067
"1982",249,655582,0.771084337349398
"Q1",162,4011229,0.672839506172839
"Q2",289,4284190,0.674740484429066
"Q3",340,4756660,0.770588235294118
"Q4",192,5101427,0.708333333333333
