"species","mad"
"WDOW",4.20274249124306e-05
"RDBD",4.21733071970702e-05
"GSPT",4.34731995997931e-05
"DBRK",4.38420756869242e-05
"BCAC",4.41737543372946e-05
"GSRK",4.50255068220018e-05
"STRK",4.58931104874554e-05
"POP",4.59163918501455e-05
"CNRY",4.62225713854969e-05
"SNOS",4.62990571586679e-05
"CLPR",4.64680482611956e-05
"BLCK",4.74280452028547e-05
"YTRK",4.80493265211825e-05
"YEYE",4.892239210594e-05
"VRML",5.02940354723183e-05
"BANK",5.04011561638526e-05
"OLVE",5.17395918858786e-05
"BLUR",5.19002336228776e-05
"CWCD",5.25549811775332e-05
"LCOD",5.27137171927543e-05
"SSPN",5.27286273246999e-05
"STAR",5.3839447486809e-05
"ARRA",5.39091013231641e-05
"BLGL",5.42924698616135e-05
"GBLC",5.805476977385e-05
"FLAG",5.8411936909432e-05
"BRWN",5.84567385946842e-05
"COPP",5.85721030657988e-05
"SPKL",6.1006609750804e-05
"REDS",6.22962215820067e-05
"ROSY",7.90674759327378e-05
"RSTN",8.67769398842621e-05
"SBLY",8.83653375643563e-05
"MXRF",9.05187480950038e-05
"BRNZ",9.13125079149987e-05
"GRAS",9.50862782349602e-05
"LSPN",9.50936866984132e-05
"YMTH",9.74012891656665e-05
"SLGR",9.88098983786795e-05
"REX",9.93781565809091e-05
"REYE",9.95448301775747e-05
"SHRP",0.000100330980021392
"EGLS",0.000101224593414989
"SWSP",0.000106076855921617
"QLBK",0.000106087817935095
"CBZN",0.000108587769283985
"URCK",0.000109003392902848
"TIGR",0.000110023063903523
