sampleNumber,clusterNumber,species,weight,year,qtr,portComplex,gearGroup,marketCategory,landingWeight,live
197800057,1,BCAC,33,1978,1,MRO,HKL,250,4370,N
197800057,1,CLPR,11,1978,1,MRO,HKL,250,4370,N
197800057,1,GSRK,1,1978,1,MRO,HKL,250,4370,N
197800057,1,SPKL,2,1978,1,MRO,HKL,250,4370,N
197800057,1,YTRK,24,1978,1,MRO,HKL,250,4370,N
197800281,1,BLCK,4,1978,1,OSF,TWL,250,110,N
197800281,1,BRWN,31,1978,1,OSF,TWL,250,110,N
197800281,1,CNRY,3,1978,1,OSF,TWL,250,110,N
197800281,2,BLCK,5,1978,1,OSF,TWL,250,110,N
197800281,2,BRWN,32,1978,1,OSF,TWL,250,110,N
197800299,1,BCAC,46,1978,3,OSF,TWL,250,2405,N
197800299,1,CLPR,7,1978,3,OSF,TWL,250,2405,N
197800299,2,BCAC,31,1978,3,OSF,TWL,250,2405,N
197800299,2,CLPR,7,1978,3,OSF,TWL,250,2405,N
197800308,1,BCAC,37,1978,1,MNT,TWL,250,3860,N
197800308,1,CLPR,2,1978,1,MNT,TWL,250,3860,N
197800308,1,WDOW,11,1978,1,MNT,TWL,250,3860,N
197800308,2,BCAC,47,1978,1,MNT,TWL,250,3860,N
197800308,2,CLPR,1,1978,1,MNT,TWL,250,3860,N
197800321,1,BCAC,2,1978,1,MNT,NET,250,4670,N
197800321,1,LCOD,4,1978,1,MNT,NET,250,4670,N
197800321,1,SPKL,1,1978,1,MNT,NET,250,4670,N
197800321,1,WDOW,7,1978,1,MNT,NET,250,4670,N
197800321,1,YTRK,43,1978,1,MNT,NET,250,4670,N
197800321,2,BCAC,11,1978,1,MNT,NET,250,4670,N
197800321,2,WDOW,8,1978,1,MNT,NET,250,4670,N
197800321,2,YTRK,31,1978,1,MNT,NET,250,4670,N
197800327,1,BCAC,21,1978,2,MNT,NET,250,2800,N
197800327,1,LCOD,2,1978,2,MNT,NET,250,2800,N
197800327,1,SPKL,1,1978,2,MNT,NET,250,2800,N
197800327,1,WDOW,4,1978,2,MNT,NET,250,2800,N
197800327,1,YTRK,22,1978,2,MNT,NET,250,2800,N
197800327,2,BCAC,28,1978,2,MNT,NET,250,2800,N
197800327,2,LCOD,6,1978,2,MNT,NET,250,2800,N
197800327,2,SPKL,1,1978,2,MNT,NET,250,2800,N
197800327,2,YTRK,17,1978,2,MNT,NET,250,2800,N
197800328,1,BCAC,15,1978,2,MNT,NET,250,2790,N
197800328,1,LCOD,5,1978,2,MNT,NET,250,2790,N
197800328,1,WDOW,15,1978,2,MNT,NET,250,2790,N
197800328,1,YTRK,16,1978,2,MNT,NET,250,2790,N
197800328,2,BCAC,11,1978,2,MNT,NET,250,2790,N
197800328,2,SPKL,3,1978,2,MNT,NET,250,2790,N
197800328,2,WDOW,20,1978,2,MNT,NET,250,2790,N
197800328,2,YTRK,19,1978,2,MNT,NET,250,2790,N
197800330,1,BCAC,16,1978,2,MNT,NET,250,1950,N
197800330,1,SPKL,7,1978,2,MNT,NET,250,1950,N
197800330,1,WDOW,10,1978,2,MNT,NET,250,1950,N
197800330,1,YTRK,13,1978,2,MNT,NET,250,1950,N
197800330,2,BCAC,31,1978,2,MNT,NET,250,1950,N
197800330,2,SPKL,6,1978,2,MNT,NET,250,1950,N
197800330,2,YTRK,8,1978,2,MNT,NET,250,1950,N
