YEAR,MONTH,QRTR,mcat,port_complex,gear_grp,live_fish,lbs
1964,2,1,245,OLA ,UNK,N,636
1964,2,1,245,OLA ,HKL,N,1905
1964,4,2,245,OLA ,UNK,N,1485
1964,4,2,245,OLA ,HKL,N,4634
1964,5,2,245,OLA ,HKL,N,3744
1964,5,2,245,OLA ,UNK,N,930
1964,6,2,245,OLA ,HKL,N,1600
1964,6,2,245,OLA ,UNK,N,165
1964,7,3,245,MRO ,TWL,N,1446
1964,7,3,245,OLA ,UNK,N,255
1964,7,3,245,OLA ,HKL,N,390
1964,8,3,245,OLA ,HKL,N,2935
1964,10,4,245,OLA ,HKL,N,1092
1964,11,4,245,OLA ,HKL,N,373
1965,1,1,245,OLA ,UNK,N,1890
1965,1,1,245,OLA ,HKL,N,240
1965,1,1,245,OSD ,HKL,N,2952
1965,2,1,245,OLA ,UNK,N,1470
1965,2,1,245,OLA ,HKL,N,3342
1965,2,1,245,OSD ,HKL,N,930
1965,3,1,245,OLA ,HKL,N,114
1965,3,1,245,OLA ,UNK,N,1278
1965,4,2,245,OLA ,UNK,N,4545
1965,4,2,245,OSD ,HKL,N,30
1965,5,2,245,OLA ,UNK,N,855
1965,5,2,245,OLA ,HKL,N,690
1965,6,2,245,OLA ,UNK,N,2445
1965,6,2,245,OLA ,HKL,N,1734
1965,7,3,245,OSD ,HKL,N,369
1965,7,3,245,OLA ,HKL,N,1311
1965,7,3,245,OLA ,UNK,N,720
1965,8,3,245,OLA ,UNK,N,1764
1965,8,3,245,OLA ,HKL,N,165
1965,9,3,245,OLA ,UNK,N,960
1965,9,3,245,OLA ,HKL,N,465
1965,10,4,245,OLA ,UNK,N,384
1965,10,4,245,OLA ,HKL,N,54
1965,11,4,245,OLA ,UNK,N,483
1966,1,1,245,OLA ,HKL,N,390
1966,2,1,245,OLA ,UNK,N,66
1966,2,1,245,OLA ,HKL,N,981
1966,3,1,245,OLA ,HKL,N,660
1966,4,2,245,OLA ,HKL,N,2040
1966,5,2,245,OLA ,UNK,N,810
1966,5,2,245,OLA ,HKL,N,4266
1966,6,2,245,OLA ,UNK,N,780
1966,7,3,245,OLA ,HKL,N,570
1966,11,4,245,OLA ,HKL,N,654
1966,11,4,245,OLA ,UNK,N,1029
1967,1,1,245,OLA ,UNK,N,1068
1967,2,1,245,OSD ,HKL,N,1272
1967,2,1,245,OLA ,HKL,N,810
1967,2,1,245,OLA ,UNK,N,2421
1967,3,1,245,OLA ,HKL,N,87
1967,3,1,245,OLA ,UNK,N,705
1967,4,2,245,OLA ,HKL,N,621
1967,5,2,245,OLA ,HKL,N,1350
1967,6,2,245,OLA ,UNK,N,708
1967,6,2,245,OSD ,HKL,N,861
1967,6,2,245,OLA ,HKL,N,1134
1967,7,3,245,OLA ,HKL,N,2919
1967,7,3,245,OLA ,UNK,N,216
1967,11,4,245,OLA ,HKL,N,285
1967,12,4,245,OLA ,UNK,N,903
1968,1,1,245,OLA ,OTH,N,104
1968,1,1,245,OLA ,UNK,N,11477
1968,1,1,245,OLA ,HKL,N,5320
1968,2,1,245,OSD ,HKL,N,642
1968,2,1,245,OLA ,UNK,N,2716
1968,3,1,245,OSD ,HKL,N,999
1968,3,1,245,OLA ,HKL,N,2510
1968,3,1,245,OLA ,UNK,N,1316
1968,4,2,245,OLA ,UNK,N,2220
1968,4,2,245,OSD ,HKL,N,1686
1968,5,2,245,OLA ,UNK,N,900
1968,5,2,245,OLA ,HKL,N,460
1968,5,2,245,OSD ,HKL,N,1755
1968,5,2,245,OSD ,UNK,N,228
1968,6,2,245,OSD ,HKL,N,846
1968,6,2,245,OLA ,HKL,N,2180
1968,7,3,245,OLA ,HKL,N,560
1968,7,3,245,OLA ,UNK,N,3645
1968,7,3,245,OSD ,HKL,N,939
1968,8,3,245,OSD ,UNK,N,108
1968,8,3,245,OSD ,HKL,N,138
1968,10,4,245,OSD ,HKL,N,228
1968,11,4,245,OSD ,HKL,N,192
1968,12,4,245,OSD ,HKL,N,270
1968,12,4,245,OLA ,UNK,N,1100
1969,1,1,245,OSD ,HKL,N,835
1969,1,1,245,OLA ,UNK,N,770
1969,2,1,245,OSD ,HKL,N,48
1969,2,1,245,OLA ,HKL,N,120
1969,3,1,245,OSD ,HKL,N,188
1969,3,1,245,OLA ,HKL,N,390
1969,4,2,245,OLA ,HKL,N,1090
1969,4,2,245,OSD ,HKL,N,1164
1969,4,2,245,OLA ,UNK,N,696
1969,5,2,245,OSD ,HKL,N,513
1969,5,2,245,OLA ,HKL,N,855
1969,5,2,245,OLA ,UNK,N,340
1969,6,2,245,OLA ,UNK,N,490
1969,6,2,245,OLA ,HKL,N,550
1969,6,2,245,OSD ,HKL,N,363
1969,7,3,245,OSD ,HKL,N,227
1969,8,3,245,OSD ,HKL,N,116
1969,9,3,245,OSD ,HKL,N,40
1969,10,4,245,OSD ,HKL,N,106
1969,11,4,245,OSD ,HKL,N,30
1969,12,4,245,OLA ,HKL,N,1930
1970,1,1,245,OSD ,HKL,N,68
1970,2,1,245,OSD ,HKL,N,98
1970,2,1,245,OLA ,HKL,N,2972
1970,2,1,245,OLA ,UNK,N,2220
1970,3,1,245,OLA ,UNK,N,1395
1970,3,1,245,OSD ,HKL,N,249
1970,3,1,245,OLA ,HKL,N,4259
1970,4,2,245,OSD ,HKL,N,397
1970,4,2,245,OLA ,HKL,N,488
1970,4,2,245,OLA ,UNK,N,250
1970,5,2,245,OSD ,HKL,N,254
1970,5,2,245,OLA ,HKL,N,130
1970,5,2,245,OLA ,UNK,N,335
1970,6,2,245,OSD ,HKL,N,283
1970,6,2,245,OSD ,UNK,N,34
1970,7,3,245,OSD ,HKL,N,1338
1970,8,3,245,OSD ,HKL,N,29
1970,9,3,245,OLA ,HKL,N,245
1970,9,3,245,OSD ,HKL,N,553
1970,10,4,245,OSD ,HKL,N,390
1970,10,4,245,OLA ,UNK,N,345
1970,11,4,245,OSD ,HKL,N,368
1970,12,4,245,OSD ,HKL,N,246
1971,1,1,245,OLA ,UNK,N,1360
1971,1,1,245,OSD ,HKL,N,262
1971,2,1,245,OSD ,HKL,N,406
1971,3,1,245,OSD ,HKL,N,113
1971,4,2,245,OSD ,HKL,N,136
1971,7,3,245,OLA ,HKL,N,181
1971,11,4,245,OLA ,HKL,N,100
1971,12,4,245,OLA ,TWL,N,135
1972,1,1,245,OLA ,UNK,N,150
1972,2,1,245,OLA ,HKL,N,8895
