marketCategory,year,qtr,gearGroup,portComplex,species,live,comLands
222,2001,4,HKL,MRO,CHLB,N,1139
211,2000,2,FPT,OSB,DOVR,N,53
250,1998,1,TWL,OLA,URCK,N,3440
155,1997,4,HKL,MRO,SHRK,N,287
960,1995,2,HKL,CRS,QLBK,N,5
959,1997,1,HKL,BDG,GSRK,N,43
195,1993,3,NET,MRO,LCOD,N,390
959,1999,2,HKL,OSF,BRWN,N,3
959,1997,4,HKL,MNT,VRML,N,131
165,1993,2,NET,MRO,ASRK,N,286
190,1996,2,HKL,ERK,SABL,N,45140
195,1993,3,HKL,OLA,LCOD,N,300
253,1994,3,NET,MNT,CLPR,N,12
153,1993,4,FPT,MNT,LSRK,N,25
195,1991,4,TWL,OSF,LCOD,N,23192
961,1991,2,TWL,OSF,SSPN,N,4560
962,1999,4,HKL,OSF,URCK,N,146
265,1999,3,HKL,MNT,YEYE,N,1104
174,2000,3,NET,OLA,SHRK,N,1249
225,2000,2,TWL,OSB,UDAB,N,469
664,1997,3,HKL,BRG,RSTN,N,8661
259,1996,3,TWL,OSF,YTRK,N,28698
959,1993,4,HKL,OSF,COPP,N,23183
252,1997,4,HKL,CRS,BLCK,N,6305
655,1993,3,HKL,OSB,COPP,N,462
253,1991,4,HKL,CRS,BCAC,N,16
962,1992,4,HKL,MRO,BRWN,N,192
250,1992,2,TWL,CRS,BANK,N,3092
150,1997,4,TWL,OSB,SHRK,N,497
962,1991,3,HKL,MNT,COPP,N,442
959,1994,2,HKL,MRO,STAR,N,1021
195,2001,3,TWL,BRG,LCOD,N,4413
250,1995,1,TWL,BRG,ARRA,N,112
195,1991,4,HKL,OSD,LCOD,N,103
250,1991,1,TWL,MNT,CWCD,N,1209
195,2001,2,TWL,MNT,LCOD,N,846
206,2000,1,TWL,OSF,EGLS,N,24277
261,1998,2,HKL,MRO,CBZN,N,914
211,2000,4,HKL,MNT,DOVR,N,57
151,2000,1,HKL,OSB,SHRK,N,1769
962,1997,4,HKL,MRO,CHNA,N,7
250,1994,1,HKL,OLA,STAR,N,1278
961,1996,1,NET,MNT,WDOW,N,26
209,1993,2,TWL,OSB,PTRL,N,277
961,1992,2,TWL,OSF,DBRK,N,32
962,1992,2,HKL,MNT,BYEL,N,406
190,1992,2,TWL,OSF,SABL,N,144960
190,1999,4,TWL,CRS,SABL,N,102900
250,1998,2,TWL,ERK,CWCD,N,2414
665,1996,2,HKL,MRO,BLCK,N,2
960,1996,2,TWL,BDG,GSPT,N,187
667,1997,2,HKL,OSB,ARRA,N,191
960,1994,3,TWL,CRS,SHRP,N,3755
961,1991,4,NET,OSF,SNOS,N,9295
207,1991,4,TWL,MRO,REX,N,49324
195,2000,4,TWL,OSF,LCOD,N,1400
152,2000,2,TWL,ERK,DSRK,N,279
663,2000,1,TWL,MRO,BLGL,N,398
195,1999,3,HKL,ERK,LCOD,N,5197
261,2000,1,FPT,OLA,CBZN,N,14
253,1999,4,TWL,MRO,RSTN,N,2
250,1995,4,NET,OSD,BLGL,N,5316
957,1998,4,HKL,OSF,RSTN,N,135
960,1994,1,HKL,MRO,GPHR,N,22
252,1992,1,HKL,ERK,BCAC,N,18
250,2000,4,HKL,OLA,CNRY,N,1
250,1998,4,HKL,OSD,GSRK,N,2
175,1997,2,TWL,OSB,USKT,N,194
959,1992,3,HKL,OSF,CNRY,N,17795
962,1993,1,HKL,BRG,CHNA,N,1
959,1992,3,NET,MRO,RDBD,N,159
957,1998,4,HKL,BDG,RSTN,N,109
254,1993,4,HKL,OSD,CLPR,N,684
960,1994,4,TWL,MRO,SNOS,N,2097
959,1993,4,TWL,MRO,VRML,N,137
253,1996,3,HKL,ERK,BCAC,N,6667
959,1996,1,TWL,MNT,CWCD,N,4231
209,1993,1,NET,OSD,PTRL,N,6
250,1995,1,NET,OSD,PNKR,N,14
159,1992,4,TWL,MRO,SSRK,N,372
252,1999,4,HKL,BDG,BLCK,N,94
222,2001,1,TWL,OSB,CHLB,N,17789
175,1998,2,HKL,ERK,USKT,N,21
667,1997,3,HKL,MNT,ARRA,N,166
205,2000,1,NET,OSF,SSOL,N,765
250,1998,4,FPT,OLA,URCK,N,343
154,1999,4,HKL,OLA,SHRK,N,323
254,1995,4,HKL,OLA,CLPR,N,393
250,1996,4,NET,OSF,GSPT,N,95
207,1995,1,TWL,ERK,REX,N,129406
959,1991,2,NET,OLA,GBLC,N,145
250,1991,1,NET,OSD,CMEL,N,120
198,1993,3,TWL,CRS,GRDR,N,29338
253,2001,4,TWL,BDG,BANK,N,3
974,2001,4,TWL,CRS,DBRK,N,4
959,1992,4,HKL,CRS,CHNA,N,77
975,2001,2,HKL,BRG,DBRK,N,6
252,1999,3,HKL,CRS,BDRK,N,1069
250,1991,2,TWL,MRO,BCAC,N,2374
665,1998,3,HKL,CRS,BLCK,N,30
252,1995,3,HKL,BDG,VRML,N,61
204,1996,4,TWL,MRO,FNTS,N,274
960,1995,2,TWL,OSF,POP,N,379
150,1994,4,TWL,OSF,SHRK,N,326
195,1994,2,NET,OSF,LCOD,N,5236
667,1994,1,TWL,OSF,CWCD,N,204
153,1996,1,NET,OLA,LSRK,N,52
957,1992,1,HKL,MRO,GPHR,N,4
253,1995,1,NET,OSD,BANK,N,11
260,1994,2,NET,OSB,SCOR,N,66
259,1997,2,TWL,OSF,YTRK,N,2297
959,1996,3,HKL,BDG,YEYE,N,298
153,1996,3,HKL,ERK,LSRK,N,115
254,1996,1,TWL,OLA,CLPR,N,230
198,1995,3,TWL,BDG,GRDR,N,14533
247,1996,2,TWL,BDG,CNRY,N,2378
250,2000,3,HKL,OSB,VRML,N,59
957,1997,4,NET,OSF,YEYE,N,24
253,1997,4,TWL,BRG,BCAC,N,14334
195,1998,4,NET,OSD,LCOD,N,82
231,1995,1,NET,MNT,STRY,N,149
250,1996,3,TWL,BRG,RDBD,N,124
250,1992,1,HKL,OLA,BANK,N,3267
190,1991,2,NET,OSB,SABL,N,2266
960,1993,1,NET,MNT,BRWN,N,1
420,1999,2,TWL,OSF,OCRK,N,315
678,1999,2,HKL,ERK,LSPN,N,153
206,2001,2,TWL,OSB,EGLS,N,20
959,2000,2,HKL,OSD,GSPT,N,183
269,1995,3,TWL,BRG,WDOW,N,174731
250,1992,3,NET,OSF,WDOW,N,183
957,1992,1,HKL,BDG,COPP,N,8062
959,1991,1,HKL,OSD,CNRY,N,2142
259,1998,2,HKL,MRO,SPKL,N,69
253,1998,2,NET,MNT,BCAC,N,10609
195,1996,1,TWL,BRG,LCOD,N,10962
175,1996,4,NET,MNT,USKT,N,888
254,1995,4,TWL,MNT,BCAC,N,17341
250,1997,3,NET,OLA,BCAC,N,3
957,1995,4,HKL,BDG,CHNA,N,254
960,1996,2,HKL,ERK,BDRK,N,23
250,1992,1,NET,MRO,BANK,N,13125
249,2000,1,HKL,BDG,VRML,N,136
250,2000,2,HKL,OSB,STAR,N,156
200,1998,3,HKL,OLA,UFLT,N,58
250,1995,4,TWL,BDG,DBRK,N,855
247,1996,2,TWL,MNT,CNRY,N,49
155,1998,1,NET,MRO,SHRK,N,171
155,1998,3,TWL,MRO,SHRK,N,29
258,1996,3,HKL,MNT,KLPR,N,35
265,1995,4,HKL,MNT,YEYE,N,138
654,1995,2,HKL,OSB,GSRK,N,30
158,1998,4,NET,OSD,SHRK,N,1038
211,1994,3,TWL,BDG,DOVR,N,207784
204,1994,3,HKL,MRO,FNTS,N,420
962,1993,3,HKL,MRO,CNRY,N,367
225,1992,4,TWL,OLA,UDAB,N,21
222,1999,3,NET,OSB,CHLB,N,46604
253,1991,3,NET,OSB,BCAC,N,18608
260,2000,3,NET,OSD,SCOR,N,85
209,1999,4,HKL,ERK,PTRL,N,21
247,1999,4,NET,BDG,CNRY,N,22
195,1997,2,NET,OSB,LCOD,N,57
263,1995,1,FPT,OSB,GPHR,N,35
962,1998,3,HKL,MNT,BRRK,N,585
269,1994,3,TWL,MNT,WDOW,N,7840
655,1992,4,HKL,CRS,COPP,N,162
250,1991,1,TWL,CRS,WDOW,N,720
254,1999,1,HKL,OLA,CLPR,N,1117
222,1997,4,TWL,OSF,CHLB,N,175510
151,1999,4,NET,OSB,SHRK,N,2503
222,2000,1,TWL,OSB,CHLB,N,7875
290,1992,3,HKL,MRO,KLPG,N,47
250,1991,2,TWL,MNT,SBLY,N,252
251,2000,2,FPT,MNT,BYEL,N,151
255,1998,3,TWL,OSF,GSPT,N,789
151,1993,3,HKL,MNT,SHRK,N,10
195,1991,1,HKL,OLA,LCOD,N,211
203,1992,2,TWL,OSF,RSOL,N,4966
260,1992,4,NET,OLA,SCOR,N,99
225,1992,4,TWL,OSF,UDAB,N,30651
269,2000,3,NET,OSF,WDOW,N,3585
250,1997,3,HKL,MNT,CWCD,N,3814
959,1993,3,NET,MRO,YEYE,N,44
250,1993,3,HKL,OSD,LCOD,N,73
250,1993,2,HKL,CRS,CBZN,N,635
150,1996,3,HKL,OLA,SHRK,N,1047
209,1995,1,NET,MNT,PTRL,N,961
961,2001,1,TWL,BRG,RDBD,N,16
959,1996,4,NET,MRO,VRML,N,645
205,2001,1,HKL,OSD,SSOL,N,6
155,1997,2,NET,OSB,SHRK,N,8646
971,1996,3,HKL,BRG,RCK8,N,33
225,1995,2,HKL,OSF,UDAB,N,232
959,1995,4,HKL,OSD,BLGL,N,1577
960,1993,4,HKL,BRG,CLPR,N,362
667,1999,2,HKL,OSD,BRNZ,N,39
253,1997,1,HKL,BDG,BCAC,N,4798
435,1991,1,HKL,OLA,OCRK,N,8562
225,1996,1,HKL,MNT,UDAB,N,688
151,1991,3,HKL,OSB,SHRK,N,37109
209,1999,3,TWL,OSF,PTRL,N,61474
262,2001,3,TWL,OSF,THDS,N,713
247,2000,4,TWL,MNT,CNRY,N,90
250,1999,3,TWL,MRO,CLPR,N,784
165,1997,4,NET,MRO,ASRK,N,1160
254,1997,3,HKL,MRO,YTRK,N,2675
250,1998,3,NET,OSD,BLGL,N,613
190,1995,1,TWL,MRO,SABL,N,93494
253,1992,3,TWL,MNT,BCAC,N,7310
195,1992,4,FPT,ERK,LCOD,N,14
260,1991,4,HKL,OSB,SCOR,N,76
250,1991,1,NET,OSB,CLPR,N,1338
190,1996,3,TWL,MNT,SABL,N,66028
254,1996,1,TWL,OSF,GSRK,N,768
435,1998,1,NET,OLA,OCRK,N,65
254,1998,3,HKL,BDG,STRK,N,140
200,1995,2,HKL,OSB,UFLT,N,41
225,1995,1,TWL,CRS,UDAB,N,8319
250,1995,1,TWL,ERK,SHRP,N,6522
679,2001,4,TWL,OSF,SSPN,N,770
959,1996,3,TWL,BDG,GSPT,N,28
250,1996,3,HKL,MRO,LCOD,N,106
231,1995,1,HKL,MNT,STRY,N,2
659,1994,3,HKL,MRO,BYEL,N,98
207,2001,1,TWL,OSB,REX,N,152
251,1999,1,HKL,MRO,BYEL,N,120
250,1999,4,TWL,MRO,BANK,N,242
267,1996,2,TWL,BDG,BRWN,N,100
207,1997,1,HKL,OLA,REX,N,65
247,1998,1,TWL,OSF,CNRY,N,1575
665,1997,4,HKL,OSF,CBZN,N,344
962,1995,3,HKL,MRO,KLPR,N,459
975,2000,3,HKL,ERK,DBRK,N,8807
211,1998,4,TWL,MNT,DOVR,N,327853
250,1995,3,TWL,CRS,CLPR,N,33
