"","sampleNumber","clusterNumber","species","weight","year","qtr","calPort","portComplex","gearGroup","marketCategory","totalWeight","live"
"1","197800057",1,"BCAC",33,1978,1,"MRO","MRO","HKL",250,4370,"N"
"2","197800057",1,"CLPR",11,1978,1,"MRO","MRO","HKL",250,4370,"N"
"3","197800057",1,"GSRK",1,1978,1,"MRO","MRO","HKL",250,4370,"N"
"4","197800057",1,"SPKL",2,1978,1,"MRO","MRO","HKL",250,4370,"N"
"5","197800057",1,"YTRK",24,1978,1,"MRO","MRO","HKL",250,4370,"N"
"6","197800058",1,"VRML",117,1978,1,"MRO","MRO","HKL",265,6303,"N"
"7","197800281",1,"BLCK",4,1978,1,"SF","OSF","TWL",250,110,"N"
"8","197800281",1,"BRWN",31,1978,1,"SF","OSF","TWL",250,110,"N"
"9","197800281",1,"CNRY",3,1978,1,"SF","OSF","TWL",250,110,"N"
"10","197800281",2,"BLCK",5,1978,1,"SF","OSF","TWL",250,110,"N"
"11","197800281",2,"BRWN",32,1978,1,"SF","OSF","TWL",250,110,"N"
"13","197800283",1,"BCAC",50,1978,1,"SF","OSF","TWL",253,2035,"N"
"14","197800283",1,"CLPR",3,1978,1,"SF","OSF","TWL",253,2035,"N"
"15","197800283",2,"BCAC",22,1978,1,"SF","OSF","TWL",253,2035,"N"
"16","197800283",2,"CLPR",23,1978,1,"SF","OSF","TWL",253,2035,"N"
"17","197800283",2,"CNRY",3,1978,1,"SF","OSF","TWL",253,2035,"N"
"18","197800283",2,"GSRK",1,1978,1,"SF","OSF","TWL",253,2035,"N"
"19","197800284",1,"BCAC",47,1978,1,"SF","OSF","TWL",253,4335,"N"
"20","197800284",1,"CLPR",3,1978,1,"SF","OSF","TWL",253,4335,"N"
"21","197800284",2,"BCAC",47,1978,1,"SF","OSF","TWL",253,4335,"N"
"22","197800284",2,"CLPR",2,1978,1,"SF","OSF","TWL",253,4335,"N"
"23","197800284",2,"GSRK",1,1978,1,"SF","OSF","TWL",253,4335,"N"
"24","197800285",1,"SNOS",32,1978,1,"SF","OSF","TWL",270,420,"N"
"25","197800285",1,"SSPN",1,1978,1,"SF","OSF","TWL",270,420,"N"
"34","197800288",1,"BANK",20,1978,1,"SF","OSF","TWL",253,4470,"N"
"35","197800288",1,"BCAC",24,1978,1,"SF","OSF","TWL",253,4470,"N"
"36","197800288",1,"CLPR",2,1978,1,"SF","OSF","TWL",253,4470,"N"
"37","197800288",2,"BANK",26,1978,1,"SF","OSF","TWL",253,4470,"N"
"38","197800288",2,"BCAC",16,1978,1,"SF","OSF","TWL",253,4470,"N"
"39","197800288",2,"CLPR",2,1978,1,"SF","OSF","TWL",253,4470,"N"
"40","197800289",1,"BCAC",48,1978,1,"SF","OSF","TWL",253,1365,"N"
"41","197800289",1,"CLPR",1,1978,1,"SF","OSF","TWL",253,1365,"N"
"42","197800289",1,"SBLY",1,1978,1,"SF","OSF","TWL",253,1365,"N"
"43","197800289",2,"BCAC",47,1978,1,"SF","OSF","TWL",253,1365,"N"
"44","197800289",2,"GSPT",1,1978,1,"SF","OSF","TWL",253,1365,"N"
"45","197800290",1,"BCAC",45,1978,1,"SF","OSF","TWL",253,370,"N"
"46","197800290",1,"GSPT",1,1978,1,"SF","OSF","TWL",253,370,"N"
"47","197800291",1,"BCAC",40,1978,1,"SF","OSF","TWL",253,145,"N"
"48","197800291",1,"CLPR",6,1978,1,"SF","OSF","TWL",253,145,"N"
"49","197800293",1,"BCAC",31,1978,2,"SF","OSF","TWL",253,80,"N"
"50","197800293",1,"CLPR",15,1978,2,"SF","OSF","TWL",253,80,"N"
"51","197800293",1,"CWCD",4,1978,2,"SF","OSF","TWL",253,80,"N"
"52","197800294",1,"BCAC",56,1978,3,"SF","OSF","TWL",253,270,"N"
"53","197800294",2,"BCAC",53,1978,3,"SF","OSF","TWL",253,270,"N"
"54","197800295",1,"BCAC",20,1978,3,"SF","OSF","TWL",253,14415,"N"
"55","197800295",1,"CLPR",17,1978,3,"SF","OSF","TWL",253,14415,"N"
"56","197800295",1,"CNRY",5,1978,3,"SF","OSF","TWL",253,14415,"N"
"57","197800295",2,"BCAC",33,1978,3,"SF","OSF","TWL",253,14415,"N"
"58","197800295",2,"CLPR",11,1978,3,"SF","OSF","TWL",253,14415,"N"
"59","197800295",2,"YTRK",11,1978,3,"SF","OSF","TWL",253,14415,"N"
"60","197800296",1,"BCAC",32,1978,3,"SF","OSF","TWL",253,11700,"N"
"61","197800296",1,"CLPR",28,1978,3,"SF","OSF","TWL",253,11700,"N"
"62","197800296",2,"BCAC",35,1978,3,"SF","OSF","TWL",253,11700,"N"
"63","197800296",2,"CLPR",26,1978,3,"SF","OSF","TWL",253,11700,"N"
"64","197800297",1,"BCAC",32,1978,3,"SF","OSF","TWL",253,4435,"N"
"65","197800297",1,"CLPR",1,1978,3,"SF","OSF","TWL",253,4435,"N"
"66","197800297",1,"CNRY",4,1978,3,"SF","OSF","TWL",253,4435,"N"
"67","197800297",1,"WDOW",29,1978,3,"SF","OSF","TWL",253,4435,"N"
"68","197800297",2,"BCAC",27,1978,3,"SF","OSF","TWL",253,4435,"N"
"69","197800297",2,"WDOW",24,1978,3,"SF","OSF","TWL",253,4435,"N"
"70","197800298",1,"BCAC",39,1978,3,"SF","OSF","TWL",253,5410,"N"
"71","197800298",1,"CLPR",24,1978,3,"SF","OSF","TWL",253,5410,"N"
"72","197800298",2,"BCAC",46,1978,3,"SF","OSF","TWL",253,5410,"N"
"73","197800298",2,"CLPR",4,1978,3,"SF","OSF","TWL",253,5410,"N"
"74","197800299",1,"BCAC",46,1978,3,"SF","OSF","TWL",250,2405,"N"
"75","197800299",1,"CLPR",7,1978,3,"SF","OSF","TWL",250,2405,"N"
"76","197800299",2,"BCAC",31,1978,3,"SF","OSF","TWL",250,2405,"N"
"77","197800299",2,"CLPR",7,1978,3,"SF","OSF","TWL",250,2405,"N"
"78","197800300",1,"BCAC",25,1978,3,"SF","OSF","TWL",253,5300,"N"
"79","197800300",1,"CLPR",10,1978,3,"SF","OSF","TWL",253,5300,"N"
"80","197800300",1,"CNRY",8,1978,3,"SF","OSF","TWL",253,5300,"N"
"81","197800300",1,"GSPT",4,1978,3,"SF","OSF","TWL",253,5300,"N"
"82","197800300",1,"RDBD",2,1978,3,"SF","OSF","TWL",253,5300,"N"
"83","197800300",2,"BCAC",37,1978,3,"SF","OSF","TWL",253,5300,"N"
"84","197800300",2,"CLPR",12,1978,3,"SF","OSF","TWL",253,5300,"N"
"85","197800300",2,"GSPT",3,1978,3,"SF","OSF","TWL",253,5300,"N"
"86","197800300",2,"RDBD",4,1978,3,"SF","OSF","TWL",253,5300,"N"
"87","197800301",1,"BCAC",49,1978,3,"SF","OSF","TWL",253,4645,"N"
"88","197800301",1,"CLPR",9,1978,3,"SF","OSF","TWL",253,4645,"N"
"89","197800301",2,"BCAC",45,1978,3,"SF","OSF","TWL",253,4645,"N"
"90","197800301",2,"CLPR",5,1978,3,"SF","OSF","TWL",253,4645,"N"
"91","197800302",1,"BCAC",38,1978,4,"SF","OSF","TWL",253,8330,"N"
"92","197800302",1,"CLPR",13,1978,4,"SF","OSF","TWL",253,8330,"N"
"93","197800302",2,"BCAC",37,1978,4,"SF","OSF","TWL",253,8330,"N"
"94","197800302",2,"CLPR",16,1978,4,"SF","OSF","TWL",253,8330,"N"
"95","197800303",1,"BCAC",27,1978,4,"SF","OSF","TWL",253,19147,"N"
"96","197800303",1,"CLPR",25,1978,4,"SF","OSF","TWL",253,19147,"N"
"97","197800303",2,"BCAC",21,1978,4,"SF","OSF","TWL",253,19147,"N"
"98","197800303",2,"CLPR",33,1978,4,"SF","OSF","TWL",253,19147,"N"
"99","197800304",1,"BCAC",7,1978,4,"SF","OSF","TWL",253,2830,"N"
"100","197800304",1,"CLPR",21,1978,4,"SF","OSF","TWL",253,2830,"N"
"101","197800304",1,"CNRY",12,1978,4,"SF","OSF","TWL",253,2830,"N"
"102","197800304",1,"GSPT",2,1978,4,"SF","OSF","TWL",253,2830,"N"
"103","197800304",2,"BCAC",12,1978,4,"SF","OSF","TWL",253,2830,"N"
"104","197800304",2,"CLPR",19,1978,4,"SF","OSF","TWL",253,2830,"N"
"105","197800304",2,"CNRY",2,1978,4,"SF","OSF","TWL",253,2830,"N"
"106","197800304",2,"WDOW",2,1978,4,"SF","OSF","TWL",253,2830,"N"
"107","197800305",1,"LSPN",29,1978,4,"SF","OSF","TWL",262,4670,"N"
"108","197800305",1,"SSPN",15,1978,4,"SF","OSF","TWL",262,4670,"N"
"109","197800305",2,"LSPN",7,1978,4,"SF","OSF","TWL",262,4670,"N"
"110","197800305",2,"SSPN",38,1978,4,"SF","OSF","TWL",262,4670,"N"
"111","197800306",1,"LSPN",6,1978,4,"SF","OSF","TWL",262,125,"N"
"112","197800306",1,"SSPN",41,1978,4,"SF","OSF","TWL",262,125,"N"
"113","197800306",2,"LSPN",2,1978,4,"SF","OSF","TWL",262,125,"N"
"114","197800306",2,"SSPN",46,1978,4,"SF","OSF","TWL",262,125,"N"
"115","197800307",1,"BCAC",25,1978,1,"MNT","MNT","TWL",253,640,"N"
"116","197800307",1,"CLPR",13,1978,1,"MNT","MNT","TWL",253,640,"N"
"117","197800307",1,"SNOS",1,1978,1,"MNT","MNT","TWL",253,640,"N"
"118","197800307",2,"BCAC",16,1978,1,"MNT","MNT","TWL",253,640,"N"
"119","197800307",2,"CLPR",21,1978,1,"MNT","MNT","TWL",253,640,"N"
"120","197800307",2,"SNOS",1,1978,1,"MNT","MNT","TWL",253,640,"N"
"121","197800308",1,"BCAC",37,1978,1,"MNT","MNT","TWL",250,3860,"N"
"122","197800308",1,"CLPR",2,1978,1,"MNT","MNT","TWL",250,3860,"N"
"123","197800308",1,"WDOW",11,1978,1,"MNT","MNT","TWL",250,3860,"N"
"124","197800308",2,"BCAC",47,1978,1,"MNT","MNT","TWL",250,3860,"N"
"125","197800308",2,"CLPR",1,1978,1,"MNT","MNT","TWL",250,3860,"N"
"126","197800309",1,"LCOD",50,1978,1,"MNT","MNT","TWL",195,300,"N"
"127","197800309",2,"LCOD",51,1978,1,"MNT","MNT","TWL",195,300,"N"
"128","197800310",1,"LCOD",49,1978,1,"MNT","MNT","TWL",195,500,"N"
"129","197800310",2,"LCOD",50,1978,1,"MNT","MNT","TWL",195,500,"N"
"130","197800311",1,"BCAC",4,1978,1,"MNT","MNT","TWL",253,415,"N"
"131","197800311",1,"CLPR",5,1978,1,"MNT","MNT","TWL",253,415,"N"
"132","197800311",1,"SBLY",2,1978,1,"MNT","MNT","TWL",253,415,"N"
"133","197800311",2,"BCAC",6,1978,1,"MNT","MNT","TWL",253,415,"N"
"134","197800311",2,"CLPR",4,1978,1,"MNT","MNT","TWL",253,415,"N"
"135","197800311",2,"SBLY",1,1978,1,"MNT","MNT","TWL",253,415,"N"
"136","197800312",1,"BCAC",34,1978,1,"MNT","MNT","TWL",253,2465,"N"
"137","197800312",1,"CLPR",7,1978,1,"MNT","MNT","TWL",253,2465,"N"
"138","197800312",1,"CWCD",1,1978,1,"MNT","MNT","TWL",253,2465,"N"
"139","197800312",1,"WDOW",5,1978,1,"MNT","MNT","TWL",253,2465,"N"
"140","197800312",2,"BCAC",31,1978,1,"MNT","MNT","TWL",253,2465,"N"
"141","197800312",2,"CLPR",4,1978,1,"MNT","MNT","TWL",253,2465,"N"
"142","197800312",2,"GSRK",1,1978,1,"MNT","MNT","TWL",253,2465,"N"
"143","197800312",2,"SABL",3,1978,1,"MNT","MNT","TWL",253,2465,"N"
"144","197800312",2,"WDOW",7,1978,1,"MNT","MNT","TWL",253,2465,"N"
"145","197800313",1,"BCAC",22,1978,1,"MNT","MNT","TWL",253,1935,"N"
"146","197800313",1,"CLPR",5,1978,1,"MNT","MNT","TWL",253,1935,"N"
"147","197800313",1,"WDOW",19,1978,1,"MNT","MNT","TWL",253,1935,"N"
"148","197800313",2,"BCAC",29,1978,1,"MNT","MNT","TWL",253,1935,"N"
"149","197800313",2,"CLPR",12,1978,1,"MNT","MNT","TWL",253,1935,"N"
"150","197800313",2,"WDOW",4,1978,1,"MNT","MNT","TWL",253,1935,"N"
"151","197800314",1,"BCAC",5,1978,1,"MNT","MNT","TWL",270,135,"N"
"152","197800314",1,"COPP",1,1978,1,"MNT","MNT","TWL",270,135,"N"
"153","197800314",1,"SNOS",3,1978,1,"MNT","MNT","TWL",270,135,"N"
"154","197800314",2,"BCAC",6,1978,1,"MNT","MNT","TWL",270,135,"N"
"155","197800314",2,"LCOD",1,1978,1,"MNT","MNT","TWL",270,135,"N"
"156","197800314",2,"SNOS",3,1978,1,"MNT","MNT","TWL",270,135,"N"
"157","197800314",2,"URCK",1,1978,1,"MNT","MNT","TWL",270,135,"N"
"158","197800315",1,"BCAC",17,1978,1,"MNT","MNT","TWL",253,3700,"N"
"159","197800315",1,"CLPR",14,1978,1,"MNT","MNT","TWL",253,3700,"N"
"160","197800315",1,"LCOD",3,1978,1,"MNT","MNT","TWL",253,3700,"N"
"161","197800315",1,"REX",1,1978,1,"MNT","MNT","TWL",253,3700,"N"
"162","197800315",1,"SABL",7,1978,1,"MNT","MNT","TWL",253,3700,"N"
"163","197800315",1,"SNOS",1,1978,1,"MNT","MNT","TWL",253,3700,"N"
"164","197800315",2,"BANK",3,1978,1,"MNT","MNT","TWL",253,3700,"N"
"165","197800315",2,"BCAC",28,1978,1,"MNT","MNT","TWL",253,3700,"N"
"166","197800315",2,"CLPR",7,1978,1,"MNT","MNT","TWL",253,3700,"N"
"167","197800315",2,"SABL",6,1978,1,"MNT","MNT","TWL",253,3700,"N"
"168","197800315",2,"WDOW",4,1978,1,"MNT","MNT","TWL",253,3700,"N"
"169","197800316",1,"BCAC",17,1978,1,"MNT","MNT","TWL",253,2740,"N"
"170","197800316",1,"CLPR",14,1978,1,"MNT","MNT","TWL",253,2740,"N"
"171","197800316",1,"WDOW",15,1978,1,"MNT","MNT","TWL",253,2740,"N"
"172","197800316",2,"BCAC",20,1978,1,"MNT","MNT","TWL",253,2740,"N"
"173","197800316",2,"CLPR",14,1978,1,"MNT","MNT","TWL",253,2740,"N"
"174","197800316",2,"LCOD",6,1978,1,"MNT","MNT","TWL",253,2740,"N"
"175","197800317",1,"CLPR",10,1978,1,"MNT","MNT","TWL",270,305,"N"
"176","197800317",2,"CLPR",6,1978,1,"MNT","MNT","TWL",270,305,"N"
"177","197800317",2,"SNOS",1,1978,1,"MNT","MNT","TWL",270,305,"N"
"178","197800317",2,"SSPN",1,1978,1,"MNT","MNT","TWL",270,305,"N"
"179","197800318",1,"BANK",2,1978,1,"MNT","MNT","TWL",253,9330,"N"
"180","197800318",1,"BCAC",4,1978,1,"MNT","MNT","TWL",253,9330,"N"
"181","197800318",1,"CLPR",26,1978,1,"MNT","MNT","TWL",253,9330,"N"
"182","197800318",1,"SNOS",6,1978,1,"MNT","MNT","TWL",253,9330,"N"
"183","197800318",1,"WDOW",2,1978,1,"MNT","MNT","TWL",253,9330,"N"
"184","197800318",2,"BANK",2,1978,1,"MNT","MNT","TWL",253,9330,"N"
