species,year,qtr,portComplex,gearGroup,marketCategory,live,sampleNumber,clusterNumber,weight,comLands
ARRA,1991,1,BRG,TWL,250,N,199100637,1,1,148
ARRA,1991,2,MNT,TWL,250,N,199102247,2,1,133
ARRA,1991,3,BDG,TWL,250,N,199104155,1,3,2268
ARRA,1991,3,BDG,TWL,250,N,199104160,2,2,2268
ARRA,1991,3,BDG,TWL,250,N,199104152,2,2,2268
ARRA,1991,3,BDG,TWL,250,N,199104174,1,2,2268
ARRA,1991,3,BDG,TWL,250,N,199104148,2,3,2268
ARRA,1991,3,BDG,TWL,250,N,199104166,1,12,2268
ARRA,1991,3,BDG,TWL,250,N,199104158,1,11,2268
ARRA,1991,3,BDG,TWL,250,N,199104175,2,8,2268
ARRA,1991,3,BDG,TWL,250,N,199104175,1,15,2268
ARRA,1991,3,BDG,TWL,250,N,199104152,1,1,2268
ARRA,1991,3,BDG,TWL,250,N,199104174,2,3,2268
ARRA,1991,3,BDG,TWL,250,N,199104160,1,5,2268
ARRA,1991,3,CRS,TWL,250,N,199100259,1,2,79
ARRA,1991,3,MNT,HKL,250,N,199102284,1,1,255
ARRA,1991,3,MNT,TWL,250,N,199102306,2,2,1284
ARRA,1991,3,MNT,TWL,250,N,199102290,2,4,1284
ARRA,1991,4,BRG,TWL,250,N,199100674,2,8,2088
ARRA,1991,4,BRG,TWL,250,N,199100674,1,1,2088
ARRA,1991,4,MNT,NET,250,N,199102324,1,1,81
ARRA,1991,4,MNT,TWL,250,N,199102316,2,4,567
ARRA,1991,4,MNT,TWL,250,N,199102312,2,1,567
ARRA,1991,4,MNT,TWL,250,N,199102325,1,1,567
ARRA,1991,4,MNT,TWL,250,N,199102322,1,1,567
ARRA,1991,4,MNT,TWL,250,N,199102336,2,1,567
ARRA,1992,1,BDG,HKL,250,N,199204196,2,1,636
ARRA,1992,1,MNT,NET,250,N,199202346,1,1,350
ARRA,1992,1,MNT,TWL,250,N,199202348,2,7,3504
ARRA,1992,1,MNT,TWL,250,N,199202351,1,3,3504
ARRA,1992,1,MNT,TWL,250,N,199202355,1,1,3504
ARRA,1992,1,MNT,TWL,250,N,199202348,1,5,3504
ARRA,1992,1,MNT,TWL,250,N,199202347,1,20,3504
ARRA,1992,1,MNT,TWL,250,N,199202345,1,17,3504
ARRA,1992,1,MNT,TWL,250,N,199202350,1,4,3504
ARRA,1992,1,MNT,TWL,250,N,199202350,2,5,3504
ARRA,1992,1,MNT,TWL,250,N,199202360,1,1,3504
ARRA,1992,1,MNT,TWL,250,N,199202347,2,13,3504
ARRA,1992,2,BDG,HKL,250,N,199204215,1,3,684
ARRA,1992,2,BDG,HKL,250,N,199204213,2,4,684
ARRA,1992,2,BDG,HKL,250,N,199204213,1,3,684
ARRA,1992,2,MNT,TWL,250,N,199202375,1,9,7562
ARRA,1992,2,MNT,TWL,250,N,199202374,1,1,7562
ARRA,1992,2,MNT,TWL,250,N,199202382,1,5,7562
ARRA,1992,2,MNT,TWL,250,N,199202379,1,1,7562
ARRA,1992,2,MNT,TWL,250,N,199202371,1,9,7562
ARRA,1992,3,BDG,TWL,250,N,199204232,1,6,808
ARRA,1992,3,BDG,TWL,250,N,199204247,1,1,808
ARRA,1992,3,BDG,TWL,250,N,199204232,2,4,808
ARRA,1992,3,BDG,TWL,250,N,199204247,2,6,808
ARRA,1992,3,MNT,TWL,250,N,199202419,2,22,4978
ARRA,1992,3,MNT,TWL,250,N,199202424,1,7,4978
ARRA,1992,3,MNT,TWL,250,N,199202422,1,1,4978
ARRA,1992,3,MNT,TWL,250,N,199202424,2,7,4978
ARRA,1992,3,MNT,TWL,250,N,199202419,1,23,4978
ARRA,1992,4,MNT,TWL,250,N,199202437,1,4,1738
ARRA,1992,4,MNT,TWL,250,N,199202437,2,5,1738
ARRA,1992,4,MNT,TWL,250,N,199202439,1,2,1738
ARRA,1993,1,MNT,TWL,250,N,199302001,1,4,2031
ARRA,1993,1,MNT,TWL,250,N,199302000,2,1,2031
ARRA,1993,1,MNT,TWL,250,N,199302001,2,4,2031
ARRA,1993,1,MNT,TWL,250,N,199302003,2,2,2031
ARRA,1993,1,MNT,TWL,250,N,199302000,1,5,2031
ARRA,1993,2,MNT,HKL,250,N,199302065,1,1,232
ARRA,1993,2,MNT,TWL,250,N,199302038,2,2,49
ARRA,1993,2,MNT,TWL,250,N,199302038,1,1,49
ARRA,1993,2,MNT,TWL,250,N,199302049,1,1,49
ARRA,1993,3,BRG,TWL,250,N,199306030,2,2,374
ARRA,1993,3,MNT,NET,250,N,199302097,2,1,100
ARRA,1993,3,MNT,NET,250,N,199302127,1,1,100
ARRA,1993,3,MNT,TWL,250,N,199302119,1,4,91
ARRA,1994,1,MNT,NET,250,N,199402040,1,1,20
ARRA,1994,2,MNT,TWL,250,N,199402101,1,3,81
ARRA,1994,3,MNT,TWL,250,N,199402125,1,6,855
ARRA,1994,3,MNT,TWL,250,N,199402125,2,4,855
ARRA,1994,4,MNT,TWL,250,N,199402170,1,4,814
ARRA,1995,1,BRG,TWL,250,N,199506009,2,1,112
ARRA,1995,2,ERK,TWL,250,N,199507009,1,1,302
ARRA,1995,2,ERK,TWL,250,N,199507020,2,1,302
ARRA,1995,2,MNT,TWL,250,N,199502074,2,1,0
ARRA,1995,3,ERK,TWL,250,N,199507031,2,1,992
ARRA,1995,3,ERK,TWL,250,N,199507030,1,1,992
ARRA,1995,3,MNT,TWL,250,N,199502084,1,10,184
ARRA,1995,3,MNT,TWL,250,N,199502108,1,2,184
ARRA,1995,3,MRO,TWL,250,N,199501065,2,3,916
ARRA,1995,3,MRO,TWL,250,N,199501065,1,4,916
ARRA,1995,4,ERK,TWL,250,N,199507049,2,1,2530
ARRA,1995,4,ERK,TWL,250,N,199507042,1,1,2530
ARRA,1995,4,ERK,TWL,250,N,199507042,2,1,2530
ARRA,1995,4,MNT,NET,250,N,199502151,2,3,283
ARRA,1995,4,MNT,TWL,250,N,199502156,1,2,762
ARRA,1995,4,MRO,TWL,250,N,199501083,2,1,234
ARRA,1996,2,BDG,TWL,250,N,199605008,1,1,145
ARRA,1996,2,BDG,TWL,250,N,199605008,2,1,145
ARRA,1996,2,MRO,TWL,250,N,199601054,1,1,4
ARRA,1996,3,ERK,TWL,250,N,199607033,1,2,886
ARRA,1996,4,MNT,TWL,250,N,199602125,2,4,404
ARRA,1996,4,MNT,TWL,250,N,199602125,1,4,404
ARRA,1996,4,MNT,TWL,250,N,199602122,1,1,404
ARRA,1996,4,MRO,TWL,250,N,199601107,2,1,364
ARRA,1996,4,MRO,TWL,250,N,199601109,1,1,364
ARRA,1996,4,MRO,TWL,250,N,199601107,1,1,364
ARRA,1996,4,OSF,TWL,250,N,199604058,1,3,951
ARRA,1996,4,OSF,TWL,250,N,199604058,2,1,951
ARRA,1997,1,OSF,TWL,250,N,199704010,2,3,1495
ARRA,1997,1,OSF,TWL,250,N,199704025,1,10,1495
ARRA,1997,1,OSF,TWL,250,N,199704025,2,8,1495
ARRA,1997,1,OSF,TWL,250,N,199704010,1,2,1495
ARRA,1997,2,BRG,TWL,250,N,199706023,1,1,272
ARRA,1997,2,BRG,TWL,250,N,199706020,1,1,272
ARRA,1997,2,MNT,HKL,250,N,199702054,1,1,116
ARRA,1997,2,MNT,TWL,250,N,199702055,2,2,577
ARRA,1997,3,BDG,TWL,250,N,199705035,1,1,12
ARRA,1997,3,MNT,TWL,250,N,199702100,1,3,686
ARRA,1997,4,BRG,TWL,250,N,199706078,1,9,12950
ARRA,1998,1,CRS,TWL,250,N,199808008,2,4,36
ARRA,1998,2,ERK,TWL,250,N,199807007,1,1,677
ARRA,1998,2,ERK,TWL,250,N,199807013,2,1,677
ARRA,1998,3,ERK,TWL,250,N,199807032,1,3,580
ARRA,1998,3,OSF,TWL,250,N,199803015,2,6,323
ARRA,1998,3,OSF,TWL,250,N,199803008,2,1,323
ARRA,1998,4,BDG,TWL,250,N,199805043,2,1,292
ARRA,1998,4,CRS,TWL,250,N,199808051,2,1,174
ARRA,1998,4,OSB,HKL,250,N,199800173,1,34,372
ARRA,1998,4,OSF,TWL,250,N,199804065,2,3,1883
ARRA,1998,4,OSF,TWL,250,N,199804065,1,6,1883
ARRA,1999,1,MRO,TWL,250,N,199901017,1,1,11
ARRA,1999,2,CRS,TWL,250,N,199908014,1,2,365
ARRA,1999,2,CRS,TWL,250,N,199908014,2,2,365
ARRA,1999,2,ERK,TWL,250,N,199907015,1,1,775
ARRA,1999,4,CRS,TWL,250,N,199908047,2,1,37
BANK,1991,1,BDG,TWL,250,N,199104128,2,46,2927
BANK,1991,1,BDG,TWL,250,N,199104128,1,34,2927
BANK,1991,1,BDG,TWL,250,N,199104132,2,2,2927
BANK,1991,1,BDG,TWL,250,N,199104132,1,2,2927
BANK,1991,1,BRG,TWL,250,N,199100631,1,34,68066
BANK,1991,1,BRG,TWL,250,N,199100622,1,29,68066
BANK,1991,1,BRG,TWL,250,N,199100629,1,22,68066
BANK,1991,1,BRG,TWL,250,N,199100627,1,2,68066
BANK,1991,1,BRG,TWL,250,N,199100629,2,13,68066
BANK,1991,1,BRG,TWL,250,N,199100631,2,30,68066
BANK,1991,1,MNT,NET,250,N,199102217,2,1,122922
BANK,1991,1,MNT,NET,250,N,199102218,1,46,122922
BANK,1991,1,MNT,NET,250,N,199102224,1,41,122922
BANK,1991,1,MNT,NET,250,N,199102232,2,1,122922
BANK,1991,1,MNT,NET,250,N,199102229,2,3,122922
BANK,1991,1,MNT,NET,250,N,199102232,1,3,122922
BANK,1991,1,MNT,NET,250,N,199102217,1,4,122922
BANK,1991,1,MNT,NET,250,N,199102224,2,42,122922
BANK,1991,1,MNT,NET,250,N,199102229,1,14,122922
BANK,1991,1,MNT,NET,250,N,199102218,2,32,122922
BANK,1991,1,MNT,NET,250,N,199102230,1,1,122922
BANK,1991,1,MNT,TWL,250,N,199102215,1,2,1331
BANK,1991,1,MNT,TWL,250,N,199102227,1,3,1331
BANK,1991,1,MNT,TWL,250,N,199102223,1,1,1331
BANK,1991,1,MRO,TWL,250,N,199102795,1,32,19493
BANK,1991,1,MRO,TWL,250,N,199102795,2,9,19493
BANK,1991,1,MRO,TWL,250,N,199102803,2,3,19493
BANK,1991,1,MRO,TWL,250,N,199102804,1,50,19493
BANK,1991,1,MRO,TWL,250,N,199102804,2,44,19493
BANK,1991,1,MRO,TWL,250,N,199102800,1,1,19493
BANK,1991,1,MRO,TWL,250,N,199102801,2,33,19493
BANK,1991,1,OSF,NET,250,N,199101528,2,14,28431
BANK,1991,1,OSF,NET,250,N,199101528,1,8,28431
BANK,1991,1,OSF,TWL,250,N,199101531,1,1,130
BANK,1991,2,BDG,TWL,250,N,199104138,2,1,258
BANK,1991,2,BDG,TWL,250,N,199104136,1,8,258
BANK,1991,2,BDG,TWL,250,N,199104137,1,4,258
BANK,1991,2,BDG,TWL,250,N,199104138,1,6,258
BANK,1991,2,BRG,TWL,250,N,199100650,1,5,18303
BANK,1991,2,BRG,TWL,250,N,199100650,2,15,18303
BANK,1991,2,ERK,TWL,250,N,199100023,1,2,4693
BANK,1991,2,ERK,TWL,250,N,199100025,1,2,4693
BANK,1991,2,ERK,TWL,250,N,199100025,2,5,4693
BANK,1991,2,MNT,NET,250,N,199102260,1,13,18470
BANK,1991,2,MNT,NET,250,N,199102255,2,18,18470
BANK,1991,2,MNT,NET,250,N,199102255,1,25,18470
BANK,1991,2,MNT,NET,250,N,199102267,1,14,18470
