ARRA,BANK,BCAC,BLCK,BLGL,BDRK,OTHR,BRWN,CBZN,CLPR,CNRY,COPP,CWCD,DBRK,EGLS,GSPT,GSRK,LCOD,LSPN,POP,QLBK,REX,REYE,SBLY,SHRP,SNOS,SSPN,STRK,VRML,WDOW,YEYE,YTRK
0.00000e+00,0.00000e+00,7.71605e-04,0.00000e+00,7.71605e-02,0.00000e+00,0.00000e+00,7.71605e-02,7.71605e-02,0.00000e+00,3.08642e-03,0.00000e+00,7.71605e-02,0.00000e+00,7.71605e-02,7.71605e-02,0.00000e+00,0.00000e+00,7.71605e-02,1.54321e-03,7.63889e-02,0.00000e+00,7.71605e-02,7.71605e-02,0.00000e+00,7.71605e-02,7.71605e-02,0.00000e+00,0.00000e+00,6.94444e-02,0.00000e+00,0.00000e+00
0.00000e+00,1.03734e-01,0.00000e+00,0.00000e+00,3.11203e-03,0.00000e+00,1.03734e-01,1.03734e-01,6.22407e-03,0.00000e+00,0.00000e+00,6.22407e-03,1.03734e-01,0.00000e+00,4.14938e-03,1.03734e-01,0.00000e+00,9.95851e-02,0.00000e+00,4.77178e-02,5.18672e-03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.03734e-01,1.03734e-01,1.03734e-03,0.00000e+00,1.00622e-01,0.00000e+00,0.00000e+00
0.00000e+00,8.91239e-02,1.17825e-01,0.00000e+00,0.00000e+00,0.00000e+00,1.51057e-03,8.15710e-02,1.45015e-01,0.00000e+00,0.00000e+00,0.00000e+00,1.51057e-01,0.00000e+00,2.87009e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,8.30816e-02,0.00000e+00,1.51057e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.51057e-01,0.00000e+00,0.00000e+00
0.00000e+00,4.05405e-03,1.35135e-01,0.00000e+00,1.35135e-01,0.00000e+00,1.18919e-01,1.35135e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.35135e-01,0.00000e+00,0.00000e+00,6.62162e-02,0.00000e+00,1.35135e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.35135e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
0.00000e+00,9.26099e-02,0.00000e+00,9.35454e-02,9.35454e-02,0.00000e+00,0.00000e+00,9.35454e-04,3.27409e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.35454e-02,0.00000e+00,9.35454e-02,0.00000e+00,0.00000e+00,9.35454e-02,0.00000e+00,9.35454e-02,9.35454e-02,8.04490e-02,8.23199e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.51918e-02,9.35454e-04,0.00000e+00
0.00000e+00,2.49688e-03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.24844e-01,1.13608e-01,1.24844e-01,0.00000e+00,0.00000e+00,1.37328e-02,1.24844e-01,0.00000e+00,1.24844e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.24844e-01,1.22347e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.16105e-01,0.00000e+00,0.00000e+00,7.49064e-03,0.00000e+00,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,7.36630e-02,0.00000e+00,1.00908e-01,9.98991e-02,9.78809e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.98991e-02,9.48537e-02,0.00000e+00,1.00908e-01,0.00000e+00,0.00000e+00,8.17356e-02,0.00000e+00,1.00908e-01,0.00000e+00,0.00000e+00,0.00000e+00,4.84359e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.00908e-01
0.00000e+00,0.00000e+00,1.42045e-01,0.00000e+00,0.00000e+00,0.00000e+00,4.26136e-03,1.42045e-01,9.65909e-02,1.42045e-01,0.00000e+00,4.68750e-02,0.00000e+00,0.00000e+00,1.42045e-01,1.42045e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.42045e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
0.00000e+00,0.00000e+00,2.68817e-01,2.68817e-03,0.00000e+00,0.00000e+00,0.00000e+00,2.68817e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.66129e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,8.06452e-02,0.00000e+00,1.34409e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.94624e-02,0.00000e+00,0.00000e+00
0.00000e+00,1.18203e-01,0.00000e+00,0.00000e+00,1.15839e-01,0.00000e+00,1.15839e-01,6.61939e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.18203e-01,1.18203e-03,5.31915e-02,1.18203e-01,0.00000e+00,1.41844e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.18203e-01,2.71868e-02,0.00000e+00,9.45626e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.17021e-01,7.09220e-03,0.00000e+00
