ARRA,BANK,BCAC,BLCK,BLGL,BDRK,OTHR,BRWN,CBZN,CLPR,CNRY,COPP,CWCD,DBRK,EGLS,GSPT,GSRK,LCOD,LSPN,POP,QLBK,REX,REYE,SBLY,SHRP,SNOS,SSPN,STRK,VRML,WDOW,YEYE,YTRK
8.88889e-02,0.00000e+00,8.88889e-02,0.00000e+00,0.00000e+00,0.00000e+00,7.91111e-02,0.00000e+00,2.66667e-03,0.00000e+00,0.00000e+00,3.82222e-02,2.66667e-03,8.88889e-02,8.88889e-02,8.88889e-02,0.00000e+00,0.00000e+00,1.15556e-02,0.00000e+00,8.88889e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,8.88889e-02,6.57778e-02,8.88889e-02,8.88889e-02,0.00000e+00,0.00000e+00
6.64452e-02,0.00000e+00,0.00000e+00,1.32890e-03,6.64452e-02,6.64452e-02,0.00000e+00,0.00000e+00,6.57807e-02,0.00000e+00,6.51163e-02,0.00000e+00,0.00000e+00,5.51495e-02,4.25249e-02,0.00000e+00,6.64452e-02,0.00000e+00,6.64452e-02,0.00000e+00,0.00000e+00,6.64452e-04,8.63787e-03,2.99003e-02,0.00000e+00,6.64452e-02,6.64452e-02,6.64452e-02,6.64452e-02,6.64452e-02,0.00000e+00,6.64452e-02
7.14286e-02,0.00000e+00,0.00000e+00,7.14286e-02,0.00000e+00,0.00000e+00,0.00000e+00,7.14286e-02,7.14286e-02,0.00000e+00,0.00000e+00,3.57143e-03,0.00000e+00,7.14286e-02,0.00000e+00,7.14286e-02,0.00000e+00,0.00000e+00,7.14286e-02,7.14286e-04,0.00000e+00,7.14286e-02,1.14286e-02,0.00000e+00,4.71429e-02,7.14286e-02,7.14286e-02,0.00000e+00,7.14286e-02,7.14286e-02,7.14286e-02,8.57143e-03
5.30786e-02,5.30786e-02,5.30786e-02,5.30786e-02,4.77707e-02,1.69851e-02,5.30786e-02,1.80467e-02,4.88323e-02,0.00000e+00,0.00000e+00,5.30786e-02,0.00000e+00,5.20170e-02,2.65393e-03,5.30786e-02,0.00000e+00,0.00000e+00,3.18471e-02,5.30786e-04,0.00000e+00,5.30786e-02,0.00000e+00,0.00000e+00,0.00000e+00,5.30786e-02,5.30786e-02,5.30786e-02,5.30786e-02,5.30786e-02,3.82166e-02,5.30786e-02
5.76071e-02,0.00000e+00,7.38552e-02,7.38552e-02,1.25554e-02,0.00000e+00,6.57312e-02,0.00000e+00,7.31167e-02,0.00000e+00,7.38552e-02,0.00000e+00,7.38552e-02,0.00000e+00,7.38552e-02,1.25554e-02,0.00000e+00,0.00000e+00,6.64697e-03,0.00000e+00,2.21566e-02,0.00000e+00,7.38552e-04,0.00000e+00,7.38552e-02,7.01625e-02,7.38552e-02,1.18168e-02,7.38552e-02,2.95421e-03,0.00000e+00,7.31167e-02
7.36920e-02,0.00000e+00,0.00000e+00,4.42152e-03,0.00000e+00,4.42152e-02,0.00000e+00,0.00000e+00,7.36920e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,7.36920e-02,7.36920e-02,7.36920e-02,0.00000e+00,0.00000e+00,4.42152e-03,0.00000e+00,7.14812e-02,7.36920e-02,0.00000e+00,0.00000e+00,2.80029e-02,7.36920e-02,7.00074e-02,7.36920e-02,7.36920e-02,7.36920e-02,0.00000e+00,4.05306e-02
7.49064e-02,0.00000e+00,7.49064e-02,6.74157e-03,0.00000e+00,0.00000e+00,8.23970e-03,0.00000e+00,7.49064e-02,0.00000e+00,1.49813e-03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,7.49064e-02,7.34082e-02,0.00000e+00,1.19850e-02,0.00000e+00,7.49064e-02,7.49064e-02,0.00000e+00,7.49064e-02,0.00000e+00,7.49064e-02,7.49064e-02,6.74157e-02,7.49064e-02,7.49064e-02,0.00000e+00,6.74157e-03
7.54717e-02,0.00000e+00,7.54717e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.13208e-02,0.00000e+00,8.30189e-03,0.00000e+00,7.54717e-02,0.00000e+00,7.54717e-02,0.00000e+00,7.54717e-02,7.54717e-02,0.00000e+00,3.01887e-03,0.00000e+00,7.54717e-02,0.00000e+00,0.00000e+00,7.54717e-02,5.81132e-02,9.81132e-03,7.54717e-02,7.54717e-02,5.35849e-02,6.11321e-02
9.43396e-02,0.00000e+00,9.43396e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.13208e-02,2.35849e-02,9.43396e-02,0.00000e+00,9.43396e-04,9.33962e-02,0.00000e+00,0.00000e+00,2.07547e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.43396e-02,9.43396e-02,9.43396e-04,0.00000e+00,0.00000e+00,9.43396e-02,9.43396e-02,9.43396e-02,9.43396e-02,0.00000e+00,0.00000e+00,0.00000e+00
6.14251e-02,0.00000e+00,6.14251e-02,6.14251e-02,0.00000e+00,1.35135e-02,5.34398e-02,0.00000e+00,5.83538e-02,0.00000e+00,0.00000e+00,3.07125e-03,0.00000e+00,6.14251e-02,6.14251e-02,6.14251e-02,6.14251e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,6.14251e-02,0.00000e+00,0.00000e+00,1.16708e-02,6.14251e-02,6.14251e-02,6.14251e-02,6.14251e-02,6.14251e-02,0.00000e+00,6.14251e-02
0.00000e+00,0.00000e+00,7.72201e-02,0.00000e+00,1.38996e-02,6.79537e-02,4.40154e-02,0.00000e+00,7.72201e-02,7.72201e-02,2.31660e-03,0.00000e+00,0.00000e+00,0.00000e+00,7.72201e-02,7.72201e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,7.72201e-02,0.00000e+00,7.72201e-04,0.00000e+00,0.00000e+00,7.72201e-02,7.72201e-02,2.16216e-02,7.72201e-02,7.72201e-02,7.72201e-02,0.00000e+00
7.04722e-02,5.35588e-02,7.04722e-02,0.00000e+00,5.91966e-02,0.00000e+00,0.00000e+00,7.04722e-02,0.00000e+00,0.00000e+00,0.00000e+00,6.55391e-02,0.00000e+00,7.04722e-02,7.04722e-02,6.83580e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,7.04722e-02,7.04722e-02,0.00000e+00,0.00000e+00,0.00000e+00,4.72163e-02,7.04722e-02,0.00000e+00,7.04722e-02,7.04722e-02,1.40944e-03,0.00000e+00
5.84795e-02,0.00000e+00,5.84795e-02,0.00000e+00,5.67251e-02,5.84795e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,3.04094e-02,5.84795e-02,5.84795e-02,5.84795e-02,5.84795e-02,5.84795e-02,0.00000e+00,5.08772e-02,0.00000e+00,0.00000e+00,5.49708e-02,4.73684e-02,0.00000e+00,0.00000e+00,5.84795e-02,5.84795e-02,5.78947e-02,5.84795e-02,5.84795e-02,0.00000e+00,0.00000e+00
7.03730e-02,0.00000e+00,0.00000e+00,7.03730e-02,0.00000e+00,6.19282e-02,7.03730e-04,3.44828e-02,1.40746e-03,0.00000e+00,6.89655e-02,0.00000e+00,0.00000e+00,7.03730e-02,2.11119e-03,7.03730e-02,0.00000e+00,0.00000e+00,0.00000e+00,7.03730e-02,7.03730e-02,0.00000e+00,2.11119e-03,0.00000e+00,0.00000e+00,7.03730e-02,7.03730e-02,5.41872e-02,7.03730e-02,7.03730e-02,0.00000e+00,7.03730e-02
6.57462e-02,0.00000e+00,0.00000e+00,6.57462e-02,2.56410e-02,0.00000e+00,1.64366e-02,6.57462e-02,4.07627e-02,6.50888e-02,0.00000e+00,0.00000e+00,6.57462e-02,5.25970e-03,6.50888e-02,6.57462e-02,0.00000e+00,0.00000e+00,1.31492e-02,6.57462e-02,0.00000e+00,6.57462e-02,4.47074e-02,0.00000e+00,0.00000e+00,6.57462e-02,6.57462e-02,6.57462e-02,6.57462e-04,0.00000e+00,6.57462e-02,0.00000e+00
5.98802e-03,0.00000e+00,6.73653e-03,0.00000e+00,0.00000e+00,0.00000e+00,2.69461e-02,0.00000e+00,7.48503e-02,7.48503e-02,1.04790e-02,7.48503e-02,3.74251e-03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.61377e-02,7.48503e-02,7.48503e-02,7.48503e-02,7.48503e-02,7.48503e-02,0.00000e+00,7.48503e-04,7.48503e-02,6.58683e-02,7.48503e-02,7.48503e-02,0.00000e+00,0.00000e+00
0.00000e+00,9.53289e-02,0.00000e+00,0.00000e+00,0.00000e+00,4.19447e-02,9.53289e-02,0.00000e+00,9.53289e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.53289e-04,9.53289e-02,9.53289e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,6.86368e-02,9.34223e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.53289e-02,0.00000e+00,9.53289e-02,9.53289e-02,3.24118e-02,0.00000e+00,0.00000e+00
8.08407e-02,0.00000e+00,0.00000e+00,8.08407e-04,0.00000e+00,8.08407e-02,2.74859e-02,0.00000e+00,0.00000e+00,2.34438e-02,0.00000e+00,8.08407e-02,8.08407e-02,8.08407e-02,0.00000e+00,8.08407e-02,2.42522e-03,0.00000e+00,0.00000e+00,0.00000e+00,8.00323e-02,8.08407e-02,1.45513e-02,0.00000e+00,0.00000e+00,5.17381e-02,7.03314e-02,8.08407e-04,8.08407e-02,8.08407e-02,0.00000e+00,8.08407e-04
0.00000e+00,8.59845e-04,8.59845e-02,8.59845e-02,0.00000e+00,0.00000e+00,8.59845e-02,0.00000e+00,8.59845e-02,0.00000e+00,0.00000e+00,8.59845e-02,0.00000e+00,8.59845e-04,0.00000e+00,7.91058e-02,0.00000e+00,0.00000e+00,8.59845e-02,0.00000e+00,0.00000e+00,8.59845e-04,0.00000e+00,5.84695e-02,0.00000e+00,8.59845e-02,0.00000e+00,8.59845e-02,8.59845e-02,8.59845e-02,0.00000e+00,0.00000e+00
0.00000e+00,0.00000e+00,7.63359e-02,7.63359e-02,0.00000e+00,2.29008e-03,0.00000e+00,7.63359e-02,2.90076e-02,0.00000e+00,0.00000e+00,4.58015e-03,0.00000e+00,7.63359e-02,0.00000e+00,7.55725e-02,0.00000e+00,7.55725e-02,7.55725e-02,0.00000e+00,7.63359e-02,0.00000e+00,7.63359e-02,3.28244e-02,0.00000e+00,7.48092e-02,7.02290e-02,7.63359e-02,0.00000e+00,2.51908e-02,0.00000e+00,0.00000e+00
5.50055e-02,0.00000e+00,5.50055e-02,0.00000e+00,0.00000e+00,5.50055e-02,5.50055e-02,0.00000e+00,5.50055e-02,3.63036e-02,0.00000e+00,5.50055e-02,5.50055e-02,3.96040e-02,5.06051e-02,0.00000e+00,0.00000e+00,0.00000e+00,3.57536e-02,0.00000e+00,5.50055e-02,3.02530e-02,0.00000e+00,0.00000e+00,5.50055e-02,5.50055e-02,5.39054e-02,5.50055e-02,5.06051e-02,5.50055e-02,0.00000e+00,4.29043e-02
9.31966e-02,0.00000e+00,8.01491e-02,1.02516e-02,9.31966e-02,2.79590e-03,0.00000e+00,0.00000e+00,9.31966e-02,2.88910e-02,0.00000e+00,3.72787e-03,0.00000e+00,9.31966e-02,7.73532e-02,9.31966e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.21901e-02,9.13327e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.31966e-04,9.31966e-02,0.00000e+00,0.00000e+00,9.31966e-02,0.00000e+00,0.00000e+00
8.83392e-02,0.00000e+00,8.56890e-02,8.83392e-02,0.00000e+00,7.33216e-02,8.30389e-02,0.00000e+00,8.83392e-02,0.00000e+00,2.65018e-03,8.21555e-02,0.00000e+00,8.39223e-02,2.47350e-02,8.83392e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,4.15194e-02,0.00000e+00,0.00000e+00,0.00000e+00,8.83392e-02,0.00000e+00,0.00000e+00,0.00000e+00,8.12721e-02,0.00000e+00,0.00000e+00
