ARRA,BANK,BCAC,BLCK,BLGL,BDRK,OTHR,BRWN,CBZN,CLPR,CNRY,COPP,CWCD,DBRK,EGLS,GSPT,GSRK,LCOD,LSPN,POP,QLBK,REX,REYE,SBLY,SHRP,SNOS,SSPN,STRK,VRML,WDOW,YEYE,YTRK
2.28960e-02,6.18812e-04,6.18812e-02,1.54703e-02,6.18812e-02,0.00000e+00,6.18812e-02,0.00000e+00,6.18812e-02,0.00000e+00,0.00000e+00,0.00000e+00,5.69307e-02,6.18812e-02,6.18812e-02,5.56931e-02,1.85644e-03,2.59901e-02,0.00000e+00,0.00000e+00,5.75495e-02,5.63119e-02,2.59901e-02,0.00000e+00,0.00000e+00,6.18812e-02,6.18812e-02,6.18812e-02,6.18812e-02,0.00000e+00,0.00000e+00,6.18812e-02
5.36769e-02,0.00000e+00,5.36769e-04,5.36769e-02,5.36769e-02,5.36769e-04,5.36769e-02,0.00000e+00,5.36769e-02,5.20666e-02,5.36769e-02,9.12507e-03,5.36769e-02,0.00000e+00,5.36769e-02,5.36769e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.04563e-02,0.00000e+00,0.00000e+00,0.00000e+00,4.88459e-02,5.36769e-02,5.36769e-02,5.36769e-02,5.36769e-02,3.38164e-02,5.31401e-02,5.36769e-02
0.00000e+00,6.81199e-02,6.81199e-02,2.11172e-02,6.81199e-02,1.43052e-02,0.00000e+00,0.00000e+00,6.81199e-02,6.81199e-02,0.00000e+00,6.81199e-02,0.00000e+00,6.81199e-02,0.00000e+00,6.81199e-02,6.81199e-02,0.00000e+00,6.81199e-02,0.00000e+00,1.36240e-03,5.79019e-02,6.81199e-04,0.00000e+00,6.81199e-04,1.36240e-02,6.81199e-02,0.00000e+00,6.81199e-02,6.81199e-02,0.00000e+00,4.76839e-03
5.74713e-02,0.00000e+00,5.74713e-02,5.74713e-02,0.00000e+00,5.74713e-02,5.74713e-02,0.00000e+00,4.82759e-02,5.74713e-04,0.00000e+00,5.74713e-02,5.74713e-02,5.74713e-02,0.00000e+00,5.74713e-02,0.00000e+00,5.74713e-02,0.00000e+00,5.74713e-02,2.01149e-02,5.74713e-02,0.00000e+00,0.00000e+00,5.74713e-02,5.74713e-02,5.74713e-02,5.74713e-02,0.00000e+00,0.00000e+00,4.59770e-03,6.89655e-03
6.33714e-02,0.00000e+00,5.13308e-02,6.27376e-02,2.53485e-03,6.33714e-02,6.33714e-02,5.83016e-02,6.33714e-02,4.30925e-02,0.00000e+00,0.00000e+00,0.00000e+00,6.33714e-02,6.33714e-02,6.33714e-02,0.00000e+00,0.00000e+00,6.33714e-04,0.00000e+00,0.00000e+00,0.00000e+00,6.27376e-02,0.00000e+00,0.00000e+00,6.33714e-02,2.34474e-02,0.00000e+00,6.14702e-02,6.33714e-02,0.00000e+00,6.33714e-02
6.00240e-02,4.62185e-02,6.00240e-02,2.64106e-02,0.00000e+00,6.00240e-02,3.60144e-03,0.00000e+00,6.00240e-02,0.00000e+00,5.88235e-02,0.00000e+00,6.00240e-02,6.00240e-02,1.92077e-02,0.00000e+00,6.00240e-02,0.00000e+00,6.00240e-02,0.00000e+00,0.00000e+00,6.00240e-02,0.00000e+00,5.40216e-03,0.00000e+00,6.00240e-02,6.00240e-02,6.00240e-02,6.00240e-02,6.00240e-02,0.00000e+00,0.00000e+00
5.73394e-02,5.73394e-02,5.73394e-02,5.73394e-02,5.73394e-02,0.00000e+00,5.73394e-02,3.89908e-02,0.00000e+00,0.00000e+00,5.73394e-02,0.00000e+00,2.52294e-02,5.16055e-03,0.00000e+00,5.73394e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.73394e-02,5.10321e-02,0.00000e+00,0.00000e+00,5.73394e-02,5.73394e-02,1.94954e-02,5.73394e-02,5.73394e-02,5.73394e-02,5.73394e-02,0.00000e+00
2.67380e-03,8.02139e-03,6.68449e-02,6.68449e-02,0.00000e+00,0.00000e+00,9.35829e-03,6.68449e-04,2.67380e-03,0.00000e+00,2.87433e-02,6.68449e-02,0.00000e+00,6.68449e-02,6.68449e-02,5.88235e-02,0.00000e+00,0.00000e+00,6.68449e-02,0.00000e+00,6.68449e-02,6.68449e-02,0.00000e+00,0.00000e+00,0.00000e+00,6.68449e-04,6.68449e-02,6.68449e-02,6.68449e-02,6.68449e-02,2.74064e-02,5.88235e-02
7.41840e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,3.93175e-02,0.00000e+00,1.48368e-03,0.00000e+00,0.00000e+00,3.70920e-03,0.00000e+00,0.00000e+00,7.12166e-02,7.41840e-02,2.22552e-03,6.30564e-02,4.00593e-02,7.41840e-02,6.37982e-02,7.41840e-02,0.00000e+00,0.00000e+00,0.00000e+00,7.41840e-02,7.41840e-02,7.41840e-02,7.41840e-02,4.74777e-02,0.00000e+00,7.41840e-02
5.83501e-02,6.70691e-03,6.63984e-02,2.01207e-03,0.00000e+00,0.00000e+00,2.68276e-03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,6.70691e-02,2.68276e-02,6.70691e-02,6.43863e-02,0.00000e+00,6.70691e-02,6.37156e-02,0.00000e+00,0.00000e+00,6.30449e-02,7.37760e-03,0.00000e+00,0.00000e+00,0.00000e+00,6.70691e-02,4.42656e-02,6.70691e-02,6.70691e-02,6.70691e-02,5.76794e-02,6.70691e-02
5.77034e-02,5.77034e-02,5.59723e-02,5.77034e-02,5.77034e-02,5.77034e-02,0.00000e+00,0.00000e+00,5.77034e-02,0.00000e+00,0.00000e+00,0.00000e+00,2.30814e-03,0.00000e+00,5.77034e-02,5.77034e-02,1.50029e-02,0.00000e+00,1.44259e-02,0.00000e+00,4.15465e-02,5.48182e-02,5.77034e-02,0.00000e+00,0.00000e+00,5.77034e-02,5.77034e-02,5.77034e-02,5.77034e-02,5.77034e-02,0.00000e+00,8.07848e-03
4.95786e-02,4.85870e-02,4.95786e-02,4.95786e-02,4.95786e-02,0.00000e+00,4.95786e-02,0.00000e+00,4.95786e-02,0.00000e+00,4.95786e-02,4.95786e-02,4.95786e-02,4.95786e-02,4.95786e-02,4.90828e-02,4.95786e-04,0.00000e+00,0.00000e+00,0.00000e+00,4.95786e-02,1.98314e-03,2.97471e-03,0.00000e+00,4.95786e-02,4.95786e-02,4.95786e-02,4.95786e-02,4.95786e-02,1.53694e-02,0.00000e+00,3.86713e-02
6.33714e-02,0.00000e+00,6.33714e-02,6.21039e-02,6.27376e-02,4.62611e-02,0.00000e+00,0.00000e+00,6.33714e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.06971e-02,5.13308e-02,6.33714e-02,0.00000e+00,0.00000e+00,6.21039e-02,0.00000e+00,0.00000e+00,6.33714e-02,1.77440e-02,0.00000e+00,0.00000e+00,1.96451e-02,5.70342e-02,6.33714e-02,6.33714e-02,6.33714e-02,0.00000e+00,6.33714e-02
0.00000e+00,4.46030e-03,8.92061e-02,0.00000e+00,8.92061e-02,0.00000e+00,3.03301e-02,0.00000e+00,4.37110e-02,0.00000e+00,8.92061e-02,8.92061e-02,0.00000e+00,0.00000e+00,0.00000e+00,8.92061e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,8.65299e-02,1.78412e-02,1.33809e-02,0.00000e+00,8.92061e-04,8.92061e-02,8.92061e-02,8.92061e-02,0.00000e+00,8.92061e-02,0.00000e+00,0.00000e+00
