ARRA,BANK,BCAC,BLCK,BLGL,BDRK,OTHR,BRWN,CBZN,CLPR,CNRY,COPP,CWCD,DBRK,EGLS,GSPT,GSRK,LCOD,LSPN,POP,QLBK,REX,REYE,SBLY,SHRP,SNOS,SSPN,STRK,VRML,WDOW,YEYE,YTRK
3.22581e-02,3.22581e-02,3.22581e-02,3.22581e-02,3.22581e-02,3.22581e-02,3.22581e-02,3.22581e-02,3.22581e-02,3.22581e-02,3.22581e-02,3.22581e-02,3.22581e-02,3.22581e-02,3.22581e-02,3.22581e-02,3.22581e-02,3.22581e-02,3.22581e-02,3.22581e-02,3.22581e-02,3.22581e-02,0.00000e+00,3.22581e-02,3.22581e-02,3.22581e-02,3.22581e-02,3.22581e-02,3.22581e-02,3.22581e-02,3.22581e-02,3.22581e-02
3.73692e-02,3.73692e-02,3.73692e-02,3.73692e-02,0.00000e+00,3.73692e-02,3.73692e-02,3.73692e-02,3.73692e-02,3.73692e-02,0.00000e+00,3.73692e-02,0.00000e+00,3.73692e-02,3.73692e-02,3.73692e-02,3.73692e-02,3.73692e-04,3.73692e-02,1.19581e-02,3.73692e-02,3.73692e-02,3.73692e-02,3.73692e-02,1.60688e-02,3.73692e-02,3.73692e-02,3.73692e-02,3.73692e-02,3.73692e-02,3.73692e-02,3.73692e-02
3.48837e-02,3.52361e-02,3.52361e-02,3.52361e-02,3.52361e-02,3.52361e-02,3.52361e-02,3.48837e-02,3.52361e-02,3.52361e-02,3.52361e-02,3.52361e-02,3.52361e-02,3.52361e-02,1.62086e-02,3.52361e-02,0.00000e+00,1.40944e-02,3.52361e-02,3.52361e-02,3.52361e-02,3.52361e-02,3.52361e-02,3.52361e-02,1.83228e-02,3.52361e-02,3.52361e-02,3.52361e-02,3.52361e-02,3.52361e-02,7.04722e-04,3.52361e-02
3.64299e-02,3.64299e-02,3.64299e-02,3.64299e-02,3.64299e-02,3.64299e-02,0.00000e+00,3.64299e-02,3.64299e-02,3.64299e-02,3.64299e-02,3.64299e-02,3.64299e-02,3.64299e-02,3.64299e-02,3.64299e-02,3.64299e-02,3.64299e-02,3.64299e-02,0.00000e+00,3.64299e-02,3.64299e-02,0.00000e+00,1.63934e-02,3.64299e-02,3.64299e-02,0.00000e+00,3.64299e-02,3.64299e-02,3.64299e-02,3.64299e-02,3.64299e-02
3.86847e-02,3.86847e-02,3.86847e-02,3.86847e-02,0.00000e+00,3.86847e-02,3.86847e-02,3.86847e-02,3.86847e-02,0.00000e+00,3.86847e-02,3.86847e-02,3.86847e-02,3.86847e-02,1.16054e-03,0.00000e+00,3.86847e-02,3.86847e-02,3.86847e-02,1.00580e-02,3.86847e-02,3.86847e-02,3.86847e-02,2.16634e-02,0.00000e+00,3.86847e-02,3.86847e-02,3.86847e-02,3.86847e-02,3.86847e-02,3.86847e-02,3.86847e-02
3.52983e-02,3.52983e-02,3.52983e-02,3.52983e-02,3.52983e-02,3.52983e-02,3.52983e-02,3.52983e-02,3.52983e-02,2.78856e-02,0.00000e+00,3.52983e-02,3.52983e-02,3.52983e-02,3.52983e-02,3.52983e-02,3.52983e-02,0.00000e+00,3.52983e-02,0.00000e+00,3.52983e-02,3.52983e-02,3.52983e-02,3.28274e-02,2.15319e-02,3.52983e-02,3.52983e-02,3.52983e-02,3.52983e-02,3.52983e-02,3.52983e-02,3.52983e-02
3.56506e-02,3.56506e-02,3.56506e-02,3.56506e-02,3.56506e-02,2.56684e-02,3.56506e-02,3.56506e-02,3.56506e-02,9.26916e-03,2.85205e-03,3.56506e-02,3.56506e-02,3.56506e-02,0.00000e+00,3.56506e-02,3.52941e-02,3.56506e-02,3.56506e-02,3.56506e-02,3.56506e-02,3.56506e-02,7.13012e-04,3.49376e-02,3.56506e-02,3.56506e-02,3.56506e-02,3.56506e-02,3.56506e-02,3.56506e-02,3.56506e-02,3.56506e-02
3.41413e-02,3.41413e-02,3.41413e-02,3.41413e-02,3.37999e-02,3.41413e-02,3.41413e-02,3.41413e-02,3.41413e-02,3.41413e-02,3.41413e-02,3.41413e-02,3.41413e-02,3.41413e-02,3.37999e-02,3.41413e-02,3.14100e-02,1.36565e-02,3.41413e-02,3.41413e-02,3.41413e-02,3.41413e-02,0.00000e+00,0.00000e+00,3.41413e-02,3.41413e-02,3.41413e-02,3.41413e-02,3.41413e-02,3.41413e-02,3.41413e-02,3.37999e-02
3.33222e-02,3.33222e-02,3.33222e-02,3.33222e-02,3.33222e-02,3.33222e-02,3.33222e-02,3.33222e-02,3.33222e-02,3.33222e-02,3.33222e-02,3.33222e-02,3.33222e-02,3.33222e-02,3.33222e-02,3.33222e-02,3.33222e-02,3.33222e-04,3.33222e-02,3.33222e-02,3.33222e-02,3.33222e-02,0.00000e+00,3.33222e-02,3.33222e-02,3.33222e-02,3.33222e-02,3.33222e-02,3.33222e-02,3.33222e-02,3.33222e-02,3.33222e-02
3.40948e-02,3.40948e-02,3.40948e-02,3.40948e-02,3.75043e-03,3.40948e-02,3.34129e-02,3.40948e-02,3.40948e-02,0.00000e+00,3.40948e-02,3.40948e-02,3.40948e-02,3.40948e-02,3.40948e-02,3.40948e-02,3.40948e-02,9.20559e-03,3.40948e-02,3.40948e-02,3.40948e-02,3.40948e-02,3.40948e-02,3.30719e-02,3.40948e-02,3.40948e-02,3.40948e-02,3.40948e-02,3.40948e-02,3.40948e-02,3.40948e-02,3.40948e-02
