ARRA,BANK,BCAC,BLCK,BLGL,BDRK,OTHR,BRWN,CBZN,CLPR,CNRY,COPP,CWCD,DBRK,EGLS,GSPT,GSRK,LCOD,LSPN,POP,QLBK,REX,REYE,SBLY,SHRP,SNOS,SSPN,STRK,VRML,WDOW,YEYE,YTRK
5.80046e-02,5.80046e-02,0.00000e+00,5.80046e-02,5.80046e-02,0.00000e+00,5.80046e-02,0.00000e+00,5.80046e-02,4.75638e-02,5.80046e-02,0.00000e+00,0.00000e+00,5.80046e-02,5.80046e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.03016e-02,5.80046e-02,0.00000e+00,0.00000e+00,5.80046e-02,5.80046e-02,5.80046e-02,5.80046e-02,1.74014e-02,5.80046e-02,0.00000e+00,4.46636e-02,0.00000e+00
3.18772e-02,5.90319e-02,5.90319e-02,5.90319e-02,0.00000e+00,0.00000e+00,5.60803e-02,0.00000e+00,5.90319e-02,0.00000e+00,0.00000e+00,7.67414e-03,0.00000e+00,5.90319e-02,0.00000e+00,5.90319e-02,5.72609e-02,0.00000e+00,5.25384e-02,0.00000e+00,0.00000e+00,2.36128e-03,0.00000e+00,5.90319e-02,5.72609e-02,5.90319e-02,0.00000e+00,5.84416e-02,5.90319e-02,5.90319e-02,5.19481e-02,3.42385e-02
2.87191e-03,5.74383e-02,5.74383e-02,5.74383e-02,0.00000e+00,5.74383e-02,4.42275e-02,0.00000e+00,4.48018e-02,0.00000e+00,5.74383e-02,1.37852e-02,0.00000e+00,5.74383e-02,4.53762e-02,5.74383e-02,2.29753e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.68639e-02,5.74383e-02,5.68639e-02,0.00000e+00,2.35497e-02,5.74383e-02,5.74383e-02,5.74383e-02,5.68639e-02,0.00000e+00,0.00000e+00
7.36920e-02,0.00000e+00,7.36920e-02,2.94768e-03,0.00000e+00,7.29550e-02,7.36920e-04,7.36920e-02,7.36920e-02,0.00000e+00,7.36920e-02,7.36920e-02,0.00000e+00,6.63228e-03,1.47384e-02,2.06338e-02,0.00000e+00,0.00000e+00,5.52690e-02,0.00000e+00,1.62122e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,7.36920e-02,7.36920e-02,0.00000e+00,7.36920e-02,7.36920e-02,0.00000e+00,7.29550e-02
6.86342e-02,0.00000e+00,6.86342e-02,0.00000e+00,8.23610e-03,3.98078e-02,0.00000e+00,0.00000e+00,6.86342e-02,0.00000e+00,0.00000e+00,6.72615e-02,5.14756e-02,6.86342e-02,6.86342e-02,5.28483e-02,0.00000e+00,0.00000e+00,1.23542e-02,0.00000e+00,4.11805e-03,0.00000e+00,6.86342e-02,6.86342e-02,0.00000e+00,6.86342e-02,6.86342e-02,0.00000e+00,6.86342e-02,6.86342e-02,0.00000e+00,8.92244e-03
6.68896e-02,6.68896e-02,4.68227e-03,6.68896e-02,0.00000e+00,6.68896e-02,6.68896e-02,1.33779e-03,6.68896e-02,1.07023e-02,1.40468e-02,6.62207e-02,0.00000e+00,6.68896e-02,6.68896e-02,0.00000e+00,2.00669e-03,0.00000e+00,6.68896e-02,0.00000e+00,0.00000e+00,6.68896e-02,0.00000e+00,0.00000e+00,1.87291e-02,5.48495e-02,0.00000e+00,2.47492e-02,0.00000e+00,6.68896e-02,0.00000e+00,6.68896e-02
3.65325e-02,4.33437e-02,6.19195e-02,0.00000e+00,0.00000e+00,2.91022e-02,6.19195e-02,0.00000e+00,6.19195e-02,5.94427e-02,6.19195e-02,0.00000e+00,0.00000e+00,0.00000e+00,6.19195e-02,5.94427e-02,0.00000e+00,1.54799e-02,0.00000e+00,6.19195e-02,6.19195e-02,0.00000e+00,0.00000e+00,0.00000e+00,3.09598e-03,6.19195e-02,6.19195e-02,6.19195e-02,6.19195e-02,6.19195e-02,0.00000e+00,1.05263e-02
6.74309e-02,1.28119e-02,6.60823e-02,0.00000e+00,6.67566e-02,6.74309e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.01146e-02,6.74309e-02,6.74309e-02,5.79906e-02,6.74309e-02,6.74309e-02,0.00000e+00,0.00000e+00,8.76601e-03,0.00000e+00,6.74309e-02,0.00000e+00,0.00000e+00,0.00000e+00,3.37154e-03,3.91099e-02,6.74309e-02,2.69724e-03,6.74309e-02,6.74309e-02,0.00000e+00,5.79906e-02
3.33333e-02,5.84795e-02,2.16374e-02,5.55556e-02,0.00000e+00,5.84795e-02,4.79532e-02,7.60234e-03,5.49708e-02,5.84795e-02,0.00000e+00,5.78947e-02,5.84795e-02,0.00000e+00,2.92398e-02,5.84795e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.84795e-02,2.86550e-02,5.84795e-02,5.78947e-02,1.16959e-03,0.00000e+00,5.84795e-02,5.84795e-02,5.84795e-02,5.84795e-02,1.87135e-02,0.00000e+00
6.64452e-02,6.64452e-02,0.00000e+00,6.64452e-02,0.00000e+00,6.37874e-02,0.00000e+00,0.00000e+00,6.64452e-02,6.64452e-04,0.00000e+00,6.64452e-02,0.00000e+00,6.64452e-02,0.00000e+00,6.64452e-02,6.64452e-02,0.00000e+00,6.64452e-04,3.45515e-02,6.64452e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,6.64452e-02,6.64452e-02,5.31561e-03,6.64452e-02,3.32226e-02,6.44518e-02,0.00000e+00
