ARRA,BANK,BCAC,BLCK,BLGL,BDRK,OTHR,BRWN,CBZN,CLPR,CNRY,COPP,CWCD,DBRK,EGLS,GSPT,GSRK,LCOD,LSPN,POP,QLBK,REX,REYE,SBLY,SHRP,SNOS,SSPN,STRK,VRML,WDOW,YEYE,YTRK
3.80875e-02,4.05186e-02,4.05186e-02,4.05186e-02,0.00000e+00,4.05186e-02,4.05186e-02,0.00000e+00,4.05186e-02,4.05186e-04,4.05186e-02,3.93031e-02,4.05186e-02,4.05186e-02,4.05186e-02,4.05186e-02,3.80875e-02,4.05186e-02,3.28201e-02,4.05186e-02,4.05186e-02,4.05186e-02,4.05186e-02,4.05186e-04,4.05186e-02,4.05186e-02,4.05186e-02,0.00000e+00,4.05186e-02,4.05186e-02,0.00000e+00,0.00000e+00
0.00000e+00,0.00000e+00,4.19639e-02,4.19639e-02,4.19639e-02,4.19639e-02,4.07050e-02,4.19639e-02,4.19639e-02,4.19639e-02,4.19639e-02,4.15443e-02,0.00000e+00,4.19639e-02,4.19639e-02,4.19639e-02,0.00000e+00,8.39278e-04,4.19639e-02,4.07050e-02,4.19639e-02,1.34285e-02,2.05623e-02,0.00000e+00,4.19639e-02,4.19639e-02,4.19639e-02,4.19639e-02,4.19639e-02,4.19639e-02,4.19639e-02,2.93747e-03
4.52080e-02,0.00000e+00,4.52080e-02,4.52080e-02,0.00000e+00,4.52080e-02,4.97288e-03,4.52080e-02,4.52080e-02,4.52080e-02,4.52080e-02,4.52080e-02,4.52080e-02,4.52080e-02,2.26040e-02,4.52080e-02,0.00000e+00,0.00000e+00,4.06872e-02,0.00000e+00,4.52080e-02,4.52080e-02,0.00000e+00,0.00000e+00,4.52080e-04,4.52080e-02,4.52080e-02,4.52080e-02,4.52080e-02,2.75769e-02,4.47559e-02,4.52080e-02
4.28449e-02,4.28449e-02,4.28449e-02,4.28449e-02,4.28449e-02,0.00000e+00,4.28449e-02,4.28449e-02,4.28449e-02,4.28449e-02,4.28449e-02,4.28449e-02,8.14053e-03,4.28449e-02,4.28449e-02,4.28449e-02,0.00000e+00,0.00000e+00,4.28449e-02,0.00000e+00,8.99743e-03,4.02742e-02,0.00000e+00,4.28449e-02,0.00000e+00,4.28449e-02,4.28449e-02,4.28449e-02,4.24165e-02,4.28449e-02,4.28449e-04,4.28449e-02
4.44642e-02,4.44642e-02,4.44642e-02,4.44642e-02,4.44642e-02,0.00000e+00,4.17964e-02,0.00000e+00,4.44642e-02,4.44642e-02,4.44642e-02,4.44642e-02,4.44642e-02,4.44642e-02,4.44642e-02,1.46732e-02,0.00000e+00,4.40196e-02,4.44642e-02,0.00000e+00,1.15607e-02,4.44642e-02,4.35749e-02,0.00000e+00,0.00000e+00,0.00000e+00,4.44642e-02,4.44642e-02,4.40196e-02,4.44642e-02,0.00000e+00,4.44642e-02
4.27168e-02,4.27168e-02,4.27168e-02,0.00000e+00,0.00000e+00,2.30671e-02,5.12601e-03,3.92994e-02,4.27168e-02,4.27168e-02,4.27168e-02,4.27168e-02,2.99018e-02,4.27168e-02,4.27168e-02,4.27168e-02,0.00000e+00,6.83469e-03,0.00000e+00,4.14353e-02,4.27168e-02,4.27168e-02,4.27168e-02,4.27168e-02,0.00000e+00,0.00000e+00,4.27168e-02,4.27168e-02,4.27168e-02,4.27168e-02,4.27168e-02,4.27168e-02
5.00000e-02,0.00000e+00,5.00000e-02,5.00000e-02,5.00000e-02,0.00000e+00,5.00000e-02,5.00000e-04,5.00000e-02,5.00000e-02,3.55000e-02,0.00000e+00,0.00000e+00,5.00000e-02,5.00000e-02,5.00000e-02,5.00000e-02,0.00000e+00,3.60000e-02,5.00000e-02,0.00000e+00,5.00000e-02,5.00000e-02,4.95000e-02,0.00000e+00,0.00000e+00,5.00000e-02,5.00000e-02,5.00000e-04,5.00000e-02,4.00000e-03,2.40000e-02
4.17014e-02,4.17014e-02,4.17014e-02,0.00000e+00,4.12844e-02,3.12761e-02,4.17014e-02,4.17014e-02,4.17014e-02,1.29274e-02,4.17014e-02,4.17014e-02,4.17014e-02,4.17014e-02,1.50125e-02,4.17014e-02,4.17014e-02,0.00000e+00,4.17014e-02,0.00000e+00,4.17014e-02,4.17014e-02,4.17014e-03,8.75730e-03,4.17014e-02,1.08424e-02,4.17014e-02,4.17014e-02,4.17014e-02,4.17014e-02,0.00000e+00,4.17014e-02
4.08765e-02,3.70839e-02,4.21408e-02,4.21408e-02,0.00000e+00,4.21408e-02,4.21408e-02,4.21408e-02,0.00000e+00,4.21408e-02,4.21408e-02,0.00000e+00,4.21408e-02,4.21408e-02,4.21408e-02,4.21408e-02,2.57059e-02,2.73915e-02,0.00000e+00,0.00000e+00,4.21408e-02,4.21408e-02,4.21408e-02,4.21408e-02,4.21408e-02,4.21408e-02,4.21408e-02,4.21408e-02,4.21408e-02,0.00000e+00,2.61273e-02,0.00000e+00
7.44186e-03,4.65116e-02,4.65116e-02,4.65116e-02,4.65116e-02,2.60465e-02,4.65116e-02,0.00000e+00,4.65116e-02,0.00000e+00,4.65116e-02,4.65116e-02,3.72093e-03,4.65116e-02,2.27907e-02,4.65116e-02,0.00000e+00,2.32558e-03,0.00000e+00,1.34884e-02,4.65116e-02,4.65116e-02,4.65116e-02,3.44186e-02,0.00000e+00,4.51163e-02,4.65116e-02,4.65116e-02,7.44186e-03,4.65116e-02,4.65116e-02,4.65116e-02
5.12295e-02,2.56148e-03,5.12295e-02,2.56148e-03,1.02459e-03,1.07582e-02,5.02049e-02,4.61066e-03,5.12295e-02,0.00000e+00,0.00000e+00,0.00000e+00,1.02459e-03,5.12295e-02,0.00000e+00,5.12295e-02,5.12295e-02,5.12295e-02,5.12295e-03,0.00000e+00,5.12295e-02,5.12295e-02,5.12295e-02,5.12295e-02,5.12295e-02,5.12295e-02,5.12295e-02,5.12295e-02,5.12295e-02,5.12295e-02,0.00000e+00,5.12295e-02
