ARRA,BANK,BCAC,BLCK,BLGL,BDRK,OTHR,BRWN,CBZN,CLPR,CNRY,COPP,CWCD,DBRK,EGLS,GSPT,GSRK,LCOD,LSPN,POP,QLBK,REX,REYE,SBLY,SHRP,SNOS,SSPN,STRK,VRML,WDOW,YEYE,YTRK
2.05508e-01,0.00000e+00,2.96610e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.11864e-01,0.00000e+00,1.71610e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.11864e-01,0.00000e+00,0.00000e+00,0.00000e+00,1.69492e-01,0.00000e+00,0.00000e+00,0.00000e+00
3.88098e-02,0.00000e+00,0.00000e+00,4.26908e-02,0.00000e+00,0.00000e+00,1.29366e-01,0.00000e+00,0.00000e+00,0.00000e+00,1.29366e-01,5.17464e-02,0.00000e+00,1.29366e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.29366e-01,0.00000e+00,0.00000e+00,0.00000e+00,2.58732e-03,0.00000e+00,1.29366e-01,8.79690e-02,1.29366e-01,0.00000e+00,0.00000e+00
1.76991e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.15044e-01,0.00000e+00,0.00000e+00,0.00000e+00,1.38053e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.76991e-01,3.89381e-02,0.00000e+00,1.76991e-01,1.76991e-01,0.00000e+00,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.71223e-02,0.00000e+00,1.74460e-01,0.00000e+00,0.00000e+00,1.79856e-01,0.00000e+00,7.19424e-03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.79856e-03,1.79856e-01,1.79856e-01,1.79856e-01,0.00000e+00,0.00000e+00
0.00000e+00,0.00000e+00,1.21803e-01,0.00000e+00,0.00000e+00,1.21803e-01,0.00000e+00,0.00000e+00,1.21803e-03,0.00000e+00,6.09013e-03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.21803e-01,0.00000e+00,3.89769e-02,0.00000e+00,6.82095e-02,0.00000e+00,1.21803e-01,1.21803e-01,3.28867e-02,1.21803e-01,0.00000e+00,1.21803e-01
1.01124e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.28411e-02,0.00000e+00,0.00000e+00,1.60514e-01,0.00000e+00,2.72873e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.60514e-01,1.60514e-01,0.00000e+00,1.60514e-01,1.60514e-01,0.00000e+00,5.61798e-02
0.00000e+00,0.00000e+00,0.00000e+00,5.27009e-03,1.31752e-03,0.00000e+00,1.30435e-01,0.00000e+00,1.30435e-01,0.00000e+00,1.26482e-01,0.00000e+00,0.00000e+00,1.31752e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.30435e-01,8.16864e-02,0.00000e+00,0.00000e+00,0.00000e+00,1.31752e-01,1.30435e-01,0.00000e+00,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,6.47948e-02,0.00000e+00,0.00000e+00,0.00000e+00,1.07991e-01,1.07991e-01,0.00000e+00,0.00000e+00,1.07991e-01,1.07991e-01,0.00000e+00,0.00000e+00,1.07991e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,4.31965e-03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.05832e-01,1.07991e-01,0.00000e+00,6.91145e-02,1.07991e-01,0.00000e+00,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,1.46104e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,8.11688e-02,0.00000e+00,2.59740e-02,6.49351e-03,0.00000e+00,8.92857e-02,0.00000e+00,0.00000e+00,0.00000e+00,1.41234e-01,0.00000e+00,0.00000e+00,1.62338e-01,1.62338e-01,0.00000e+00,1.62338e-01,1.54221e-01,0.00000e+00,0.00000e+00
1.12738e-01,0.00000e+00,0.00000e+00,1.11274e-01,0.00000e+00,0.00000e+00,1.02489e-02,0.00000e+00,9.37042e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.43485e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,7.61347e-02,1.31772e-02,1.46413e-01,0.00000e+00,1.46413e-01,0.00000e+00,1.46413e-01
0.00000e+00,1.21065e-01,1.33172e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.21065e-01,3.51090e-02,1.01695e-01,0.00000e+00,0.00000e+00,7.14286e-02,1.21065e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.21065e-01,1.21065e-01,8.83777e-02,8.47458e-02,0.00000e+00,0.00000e+00,0.00000e+00
