ARRA,BANK,BCAC,BLCK,BLGL,BDRK,OTHR,BRWN,CBZN,CLPR,CNRY,COPP,CWCD,DBRK,EGLS,GSPT,GSRK,LCOD,LSPN,POP,QLBK,REX,REYE,SBLY,SHRP,SNOS,SSPN,STRK,VRML,WDOW,YEYE,YTRK
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.00090e-02,0.00000e+00,9.00090e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.00090e-04,9.00090e-02,0.00000e+00,9.00090e-02,9.00090e-02,8.91089e-02,0.00000e+00,0.00000e+00,9.90099e-03,0.00000e+00,9.00090e-02,0.00000e+00,9.00090e-02,9.00090e-02,9.00090e-02,9.00090e-02,0.00000e+00,0.00000e+00
7.52177e-02,0.00000e+00,0.00000e+00,7.83848e-02,0.00000e+00,7.91766e-02,7.83848e-02,0.00000e+00,6.65083e-02,0.00000e+00,0.00000e+00,0.00000e+00,7.83848e-02,7.83848e-02,8.70942e-03,7.91766e-02,0.00000e+00,0.00000e+00,7.91766e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,6.96754e-02,7.91766e-02,7.91766e-04,0.00000e+00,7.91766e-02,7.91766e-02,0.00000e+00,6.88836e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,8.27759e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,8.36120e-02,0.00000e+00,8.11037e-02,0.00000e+00,8.36120e-02,0.00000e+00,0.00000e+00,8.19398e-02,0.00000e+00,8.36120e-02,1.67224e-03,0.00000e+00,0.00000e+00,0.00000e+00,8.36120e-02,8.36120e-02,8.36120e-02,8.36120e-02,8.36120e-02,0.00000e+00,8.36120e-02
2.77264e-03,0.00000e+00,9.24214e-04,1.84843e-03,4.62107e-03,6.46950e-03,9.24214e-02,0.00000e+00,9.24214e-02,0.00000e+00,0.00000e+00,8.04067e-02,0.00000e+00,9.24214e-02,9.24214e-04,9.24214e-02,0.00000e+00,0.00000e+00,8.96488e-02,0.00000e+00,9.24214e-02,0.00000e+00,0.00000e+00,0.00000e+00,3.32717e-02,0.00000e+00,0.00000e+00,5.54529e-02,9.24214e-02,9.24214e-02,0.00000e+00,7.67098e-02
1.08696e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.06522e-01,1.08696e-01,0.00000e+00,1.08696e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,3.26087e-03,0.00000e+00,1.08696e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,7.60870e-03,0.00000e+00,0.00000e+00,1.30435e-02,1.08696e-01,1.08696e-01,0.00000e+00,1.08696e-01,1.08696e-01,0.00000e+00,0.00000e+00
8.36120e-02,0.00000e+00,0.00000e+00,1.00334e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,8.36120e-02,0.00000e+00,0.00000e+00,8.36120e-02,0.00000e+00,8.36120e-02,8.27759e-02,8.36120e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,8.36120e-02,0.00000e+00,0.00000e+00,0.00000e+00,1.67224e-02,8.36120e-02,8.36120e-02,0.00000e+00,8.36120e-02,8.36120e-02,0.00000e+00,5.43478e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,8.48176e-02,8.48176e-02,8.48176e-02,3.39271e-03,8.48176e-02,0.00000e+00,0.00000e+00,8.48176e-02,0.00000e+00,8.48176e-02,0.00000e+00,8.48176e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,6.53096e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,8.39695e-02,7.63359e-03,1.69635e-03,8.48176e-02,7.54877e-02,0.00000e+00,8.39695e-02
3.60721e-02,0.00000e+00,1.00200e-01,0.00000e+00,0.00000e+00,4.20842e-02,1.00200e-01,0.00000e+00,0.00000e+00,9.31864e-02,4.00802e-03,6.01202e-03,0.00000e+00,9.11824e-02,1.00200e-01,0.00000e+00,0.00000e+00,0.00000e+00,1.00200e-03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,6.31263e-02,3.50701e-02,1.00200e-01,1.00200e-01,1.00200e-01,0.00000e+00,2.70541e-02,0.00000e+00
9.14397e-02,0.00000e+00,9.72763e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.63035e-02,0.00000e+00,4.47471e-02,0.00000e+00,0.00000e+00,9.72763e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.72763e-02,9.43580e-02,9.72763e-02,9.53307e-02,9.72763e-02,9.04669e-02,9.72763e-04
7.01754e-02,7.01754e-02,7.01754e-02,3.50877e-03,6.80702e-02,0.00000e+00,5.05263e-02,0.00000e+00,0.00000e+00,0.00000e+00,6.59649e-02,8.42105e-03,0.00000e+00,7.01754e-02,0.00000e+00,7.01754e-02,0.00000e+00,0.00000e+00,0.00000e+00,7.01754e-02,7.01754e-04,7.01754e-02,4.00000e-02,1.40351e-03,0.00000e+00,5.96491e-02,0.00000e+00,7.01754e-02,7.01754e-02,7.01754e-02,0.00000e+00,0.00000e+00
8.65801e-02,0.00000e+00,3.37662e-02,0.00000e+00,0.00000e+00,8.65801e-02,0.00000e+00,0.00000e+00,7.87879e-02,0.00000e+00,8.65801e-02,1.99134e-02,8.65801e-02,0.00000e+00,0.00000e+00,8.65801e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,7.79221e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,8.65801e-02,7.87879e-02,1.81818e-02,8.65801e-02,0.00000e+00,8.65801e-02
9.04159e-02,0.00000e+00,8.86076e-02,0.00000e+00,0.00000e+00,0.00000e+00,8.58951e-02,9.04159e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,8.67993e-02,0.00000e+00,9.04159e-02,0.00000e+00,6.96203e-02,0.00000e+00,0.00000e+00,9.04159e-02,9.04159e-02,9.04159e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.04159e-02,0.00000e+00,9.04159e-02,2.53165e-02,0.00000e+00,9.94575e-03
9.31099e-02,5.77281e-02,9.31099e-02,0.00000e+00,9.31099e-02,0.00000e+00,0.00000e+00,9.31099e-02,9.31099e-02,0.00000e+00,0.00000e+00,9.31099e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.31099e-02,0.00000e+00,0.00000e+00,0.00000e+00,2.51397e-02,0.00000e+00,0.00000e+00,7.35568e-02,9.31099e-02,4.65549e-03,9.31099e-02,0.00000e+00,0.00000e+00,9.31099e-02
