ARRA,BANK,BCAC,BLCK,BLGL,BDRK,OTHR,BRWN,CBZN,CLPR,CNRY,COPP,CWCD,DBRK,EGLS,GSPT,GSRK,LCOD,LSPN,POP,QLBK,REX,REYE,SBLY,SHRP,SNOS,SSPN,STRK,VRML,WDOW,YEYE,YTRK
0.00000e+00,0.00000e+00,4.45980e-02,6.28141e-02,0.00000e+00,1.94724e-02,6.28141e-02,0.00000e+00,6.28141e-02,0.00000e+00,0.00000e+00,6.28141e-02,5.77889e-02,6.28141e-02,0.00000e+00,0.00000e+00,5.90452e-02,6.28141e-04,9.42211e-03,0.00000e+00,6.28141e-02,6.28141e-02,0.00000e+00,5.15075e-02,6.28141e-02,6.28141e-02,6.28141e-02,0.00000e+00,6.28141e-02,6.28141e-02,0.00000e+00,3.76884e-03
4.98256e-02,4.98256e-02,0.00000e+00,3.03936e-02,0.00000e+00,4.98256e-02,4.98256e-02,4.98256e-02,4.98256e-02,1.49477e-03,0.00000e+00,1.99302e-02,4.98256e-02,4.98256e-02,0.00000e+00,4.98256e-02,9.96512e-04,4.98256e-02,0.00000e+00,0.00000e+00,4.98256e-02,4.98256e-02,1.49477e-03,4.98256e-02,0.00000e+00,4.98256e-02,4.98256e-02,4.98256e-02,4.88291e-02,4.98256e-02,0.00000e+00,4.98256e-02
5.70451e-02,2.79521e-02,5.70451e-04,5.70451e-02,5.70451e-02,5.70451e-02,5.70451e-02,2.05362e-02,5.70451e-02,0.00000e+00,3.25157e-02,5.70451e-02,2.85225e-03,5.70451e-02,0.00000e+00,5.70451e-02,5.70451e-02,0.00000e+00,0.00000e+00,9.69766e-03,0.00000e+00,0.00000e+00,1.88249e-02,1.08386e-02,5.70451e-02,5.59042e-02,2.16771e-02,5.70451e-02,5.70451e-02,5.70451e-02,0.00000e+00,0.00000e+00
6.15385e-04,0.00000e+00,6.15385e-02,6.15385e-02,0.00000e+00,6.15385e-02,1.23077e-03,6.15385e-02,6.15385e-02,0.00000e+00,6.15385e-02,0.00000e+00,6.15385e-04,6.15385e-02,6.15385e-02,6.15385e-02,0.00000e+00,1.29231e-02,0.00000e+00,0.00000e+00,6.15385e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,6.15385e-02,6.15385e-02,6.15385e-02,6.15385e-02,6.15385e-02,0.00000e+00,6.15385e-02
5.30013e-02,0.00000e+00,6.38570e-02,0.00000e+00,0.00000e+00,6.38570e-02,6.38570e-02,0.00000e+00,6.38570e-02,0.00000e+00,0.00000e+00,6.38570e-02,0.00000e+00,6.38570e-02,9.57854e-03,3.95913e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,6.38570e-02,6.38570e-02,6.38570e-02,6.38570e-02,6.38570e-02,6.38570e-02,6.38570e-02,6.32184e-02,4.46999e-03
5.23810e-02,5.29101e-02,0.00000e+00,0.00000e+00,0.00000e+00,5.29101e-04,5.29101e-02,0.00000e+00,5.29101e-02,0.00000e+00,5.29101e-02,5.29101e-02,5.29101e-02,5.29101e-02,5.29101e-02,5.29101e-02,1.58730e-02,0.00000e+00,5.29101e-04,4.28571e-02,4.02116e-02,5.29101e-02,0.00000e+00,0.00000e+00,5.29101e-02,5.29101e-02,5.29101e-02,5.29101e-02,5.29101e-02,5.29101e-02,0.00000e+00,1.05820e-03
0.00000e+00,0.00000e+00,0.00000e+00,5.59597e-02,0.00000e+00,5.59597e-02,5.59597e-02,0.00000e+00,5.59597e-02,0.00000e+00,5.59597e-04,5.59597e-02,5.59597e-02,0.00000e+00,0.00000e+00,5.59597e-02,4.64466e-02,0.00000e+00,9.51315e-03,5.59597e-02,5.59597e-02,2.23839e-03,5.42809e-02,0.00000e+00,5.59597e-02,5.59597e-02,5.59597e-02,4.75658e-02,5.59597e-02,5.59597e-02,0.00000e+00,5.59597e-02
6.93481e-02,0.00000e+00,6.65742e-02,6.93481e-02,0.00000e+00,0.00000e+00,0.00000e+00,6.93481e-02,6.93481e-02,6.93481e-04,0.00000e+00,0.00000e+00,6.93481e-02,5.68655e-02,0.00000e+00,4.57698e-02,0.00000e+00,0.00000e+00,0.00000e+00,2.35784e-02,0.00000e+00,0.00000e+00,6.86546e-02,0.00000e+00,6.93481e-02,6.93481e-02,6.93481e-02,6.93481e-04,6.93481e-02,6.93481e-02,4.36893e-02,0.00000e+00
5.08906e-02,5.08906e-04,0.00000e+00,5.08906e-02,5.08906e-02,5.08906e-02,5.08906e-02,0.00000e+00,5.03817e-02,0.00000e+00,4.93639e-02,4.12214e-02,0.00000e+00,5.08906e-02,4.73282e-02,5.08906e-02,0.00000e+00,4.88550e-02,0.00000e+00,0.00000e+00,0.00000e+00,4.78372e-02,3.56234e-02,1.83206e-02,0.00000e+00,5.08906e-02,5.08906e-02,5.08906e-02,5.08906e-02,5.08906e-02,4.98728e-02,0.00000e+00
5.68182e-02,0.00000e+00,5.68182e-02,5.62500e-02,2.84091e-03,0.00000e+00,5.68182e-04,0.00000e+00,5.68182e-02,5.39773e-02,5.22727e-02,0.00000e+00,5.51136e-02,5.68182e-02,5.68182e-02,5.68182e-02,1.47727e-02,2.72727e-02,0.00000e+00,0.00000e+00,0.00000e+00,5.68182e-02,0.00000e+00,0.00000e+00,5.68182e-02,5.68182e-02,5.68182e-02,5.51136e-02,5.68182e-02,5.68182e-02,0.00000e+00,0.00000e+00
