ARRA,BANK,BCAC,BLCK,BLGL,BDRK,OTHR,BRWN,CBZN,CLPR,CNRY,COPP,CWCD,DBRK,EGLS,GSPT,GSRK,LCOD,LSPN,POP,QLBK,REX,REYE,SBLY,SHRP,SNOS,SSPN,STRK,VRML,WDOW,YEYE,YTRK
6.57462e-02,0.00000e+00,5.25970e-03,9.86193e-03,0.00000e+00,5.91716e-02,0.00000e+00,0.00000e+00,5.91716e-03,6.57462e-02,0.00000e+00,6.50888e-02,6.57462e-03,6.57462e-02,0.00000e+00,6.57462e-02,6.50888e-02,6.57462e-03,0.00000e+00,0.00000e+00,6.57462e-02,6.57462e-02,1.24918e-02,0.00000e+00,5.12821e-02,0.00000e+00,6.57462e-02,6.57462e-02,6.57462e-02,6.57462e-02,0.00000e+00,5.52268e-02
0.00000e+00,0.00000e+00,0.00000e+00,5.33903e-02,0.00000e+00,5.33903e-02,5.33903e-02,0.00000e+00,0.00000e+00,0.00000e+00,5.28564e-02,5.28564e-02,5.33903e-02,5.33903e-02,0.00000e+00,5.33903e-02,4.64495e-02,5.33903e-02,0.00000e+00,0.00000e+00,5.33903e-02,5.33903e-02,5.33903e-02,0.00000e+00,0.00000e+00,5.33903e-02,5.33903e-02,5.33903e-02,5.33903e-02,5.33903e-02,4.69834e-02,0.00000e+00
5.22193e-02,5.22193e-02,5.22193e-02,5.22193e-04,4.80418e-02,0.00000e+00,5.22193e-02,3.65535e-03,0.00000e+00,4.17755e-02,5.22193e-02,0.00000e+00,1.14883e-02,5.22193e-02,5.22193e-02,5.22193e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.22193e-02,5.22193e-02,5.22193e-02,1.04439e-03,5.22193e-02,5.74413e-03,5.22193e-02,5.22193e-02,5.22193e-02,5.22193e-02,0.00000e+00,5.22193e-02
6.36132e-02,6.17048e-02,6.36132e-02,6.36132e-02,0.00000e+00,0.00000e+00,8.90585e-03,1.90840e-03,6.36132e-02,6.36132e-02,0.00000e+00,6.36132e-02,0.00000e+00,6.36132e-02,6.23410e-02,1.97201e-02,0.00000e+00,0.00000e+00,1.14504e-02,0.00000e+00,0.00000e+00,6.36132e-02,0.00000e+00,0.00000e+00,0.00000e+00,6.36132e-02,6.99746e-03,6.36132e-02,6.36132e-02,6.36132e-02,0.00000e+00,6.36132e-02
5.89275e-02,2.06246e-02,5.89275e-02,5.89275e-02,5.42133e-02,2.35710e-03,5.89275e-02,0.00000e+00,5.89275e-02,0.00000e+00,2.35710e-03,5.42133e-02,9.42840e-03,5.36240e-02,5.00884e-02,5.89275e-02,8.83913e-03,0.00000e+00,0.00000e+00,0.00000e+00,5.83382e-02,1.17855e-03,5.89275e-04,1.64997e-02,4.77313e-02,3.12316e-02,5.77490e-02,5.89275e-04,5.89275e-02,5.89275e-02,0.00000e+00,5.89275e-02
5.52792e-02,5.52792e-02,5.52792e-02,5.52792e-02,0.00000e+00,0.00000e+00,5.47264e-02,0.00000e+00,6.63350e-03,0.00000e+00,5.47264e-02,5.52792e-02,5.41736e-02,1.10558e-03,0.00000e+00,5.52792e-02,0.00000e+00,0.00000e+00,5.52792e-02,5.52792e-04,5.41736e-02,5.52792e-02,5.52792e-02,0.00000e+00,0.00000e+00,5.52792e-02,5.52792e-02,5.52792e-02,5.52792e-02,5.52792e-02,0.00000e+00,0.00000e+00
5.32481e-02,5.32481e-02,5.32481e-02,0.00000e+00,5.32481e-02,4.79233e-02,5.21832e-02,3.83387e-02,5.32481e-02,2.66241e-03,0.00000e+00,5.32481e-04,0.00000e+00,0.00000e+00,5.32481e-02,0.00000e+00,5.32481e-02,0.00000e+00,0.00000e+00,0.00000e+00,5.32481e-02,5.32481e-02,5.32481e-02,4.79233e-02,0.00000e+00,1.33120e-02,5.32481e-02,5.32481e-02,5.32481e-02,0.00000e+00,5.32481e-02,5.16507e-02
0.00000e+00,0.00000e+00,0.00000e+00,6.17284e-02,3.76543e-02,0.00000e+00,6.17284e-02,0.00000e+00,6.17284e-02,0.00000e+00,0.00000e+00,0.00000e+00,6.17284e-02,6.17284e-02,8.64198e-03,2.22222e-02,0.00000e+00,0.00000e+00,6.04938e-02,0.00000e+00,5.98765e-02,6.17284e-02,6.17284e-02,0.00000e+00,5.74074e-02,6.17284e-02,6.17284e-02,6.17284e-02,1.29630e-02,6.17284e-02,0.00000e+00,6.17284e-02
7.21501e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.69986e-02,7.21501e-04,0.00000e+00,6.06061e-02,0.00000e+00,7.21501e-02,7.21501e-02,7.21501e-02,7.21501e-02,0.00000e+00,7.21501e-02,7.21501e-02,0.00000e+00,6.99856e-02,7.93651e-03,0.00000e+00,0.00000e+00,7.21501e-02,7.21501e-02,7.93651e-03,7.21501e-02,7.21501e-02,0.00000e+00,2.16450e-03
5.29381e-02,5.29381e-02,5.29381e-02,0.00000e+00,0.00000e+00,5.02912e-02,0.00000e+00,5.29381e-02,0.00000e+00,0.00000e+00,5.29381e-02,5.29381e-02,0.00000e+00,5.24087e-02,5.18793e-02,5.29381e-02,0.00000e+00,6.88195e-03,5.29381e-02,0.00000e+00,7.41133e-03,5.29381e-02,3.70566e-02,0.00000e+00,0.00000e+00,5.29381e-02,5.29381e-02,5.29381e-02,5.29381e-02,5.29381e-02,0.00000e+00,5.29381e-02
