ARRA,BANK,BCAC,BLCK,BLGL,BDRK,OTHR,BRWN,CBZN,CLPR,CNRY,COPP,CWCD,DBRK,EGLS,GSPT,GSRK,LCOD,LSPN,POP,QLBK,REX,REYE,SBLY,SHRP,SNOS,SSPN,STRK,VRML,WDOW,YEYE,YTRK
3.60231e-02,3.60231e-02,1.54899e-02,3.60231e-02,3.60231e-02,1.26081e-02,0.00000e+00,3.60231e-02,3.60231e-02,0.00000e+00,3.60231e-02,3.60231e-02,3.60231e-02,3.60231e-02,3.60231e-02,3.60231e-02,3.60231e-02,3.60231e-02,3.60231e-02,3.60231e-04,3.60231e-02,3.60231e-02,3.60231e-02,3.60231e-02,3.60231e-02,3.60231e-02,3.60231e-02,3.60231e-02,3.60231e-02,3.60231e-02,3.49424e-02,3.60231e-02
3.50508e-02,3.39993e-02,3.50508e-02,3.50508e-02,3.50508e-02,3.50508e-02,3.39993e-02,3.50508e-02,3.50508e-02,2.20820e-02,3.43498e-02,3.50508e-02,3.50508e-02,3.50508e-02,2.10305e-03,3.50508e-02,1.05152e-03,3.50508e-02,3.50508e-02,3.50508e-02,8.06169e-03,3.50508e-02,3.50508e-02,3.50508e-02,3.50508e-02,3.50508e-02,3.50508e-02,2.31335e-02,3.50508e-02,3.50508e-02,3.50508e-02,3.50508e-02
3.44947e-02,3.44947e-02,3.44947e-02,3.44947e-02,3.44947e-02,3.44947e-02,3.44947e-02,3.44947e-02,3.44947e-02,3.44947e-02,0.00000e+00,3.44947e-02,3.44947e-02,3.44947e-02,3.44947e-02,3.44947e-02,0.00000e+00,3.41497e-02,3.44947e-02,0.00000e+00,3.44947e-02,3.44947e-02,3.44947e-02,3.44947e-02,3.44947e-02,3.44947e-02,3.44947e-02,3.44947e-02,3.44947e-02,3.44947e-02,3.44947e-02,3.44947e-02
3.67782e-02,3.67782e-02,3.67782e-02,3.67782e-02,1.47113e-03,3.67782e-02,3.60427e-02,3.67782e-02,3.67782e-02,1.10335e-03,3.67782e-04,3.67782e-02,3.67782e-02,3.67782e-02,3.67782e-02,3.67782e-02,3.67782e-02,0.00000e+00,3.64104e-02,3.67782e-02,5.14895e-03,3.67782e-02,3.67782e-02,3.67782e-02,3.67782e-02,3.67782e-02,3.67782e-02,3.67782e-02,3.67782e-02,3.67782e-02,3.67782e-02,3.67782e-02
3.66032e-02,3.66032e-02,1.09810e-02,3.66032e-02,3.66032e-02,0.00000e+00,3.66032e-02,0.00000e+00,3.66032e-02,3.66032e-02,0.00000e+00,3.66032e-02,3.66032e-02,3.66032e-02,3.66032e-02,3.66032e-02,3.62372e-02,3.66032e-02,3.66032e-02,3.66032e-02,3.66032e-02,1.09810e-03,3.66032e-02,3.66032e-02,3.66032e-02,3.66032e-02,3.66032e-02,3.66032e-02,3.66032e-02,3.66032e-02,3.66032e-02,3.66032e-02
3.26158e-02,3.26158e-02,3.26158e-02,3.26158e-02,3.26158e-02,3.26158e-02,3.26158e-02,3.26158e-02,3.26158e-02,3.19635e-02,3.26158e-02,3.26158e-02,3.26158e-02,3.26158e-02,3.26158e-02,3.26158e-02,3.26158e-02,0.00000e+00,3.26158e-02,2.41357e-02,3.22896e-02,3.26158e-02,3.09850e-02,3.26158e-02,3.26158e-02,3.26158e-02,3.26158e-02,3.26158e-02,3.26158e-02,3.26158e-02,3.26158e-02,3.26158e-02
3.62056e-02,3.62056e-02,3.62056e-02,3.62056e-02,0.00000e+00,3.62056e-02,3.62056e-02,3.62056e-02,3.62056e-02,3.62056e-02,3.62056e-02,3.62056e-02,1.84649e-02,3.62056e-02,3.62056e-02,3.62056e-02,3.62056e-02,9.77552e-03,3.36713e-02,0.00000e+00,3.62056e-02,3.62056e-02,3.62056e-02,3.62056e-02,3.62056e-02,3.62056e-02,3.62056e-02,3.62056e-02,3.62056e-02,3.29471e-02,0.00000e+00,3.62056e-02
3.63372e-02,3.63372e-02,3.63372e-02,3.63372e-02,3.63372e-02,3.63372e-02,3.63372e-02,0.00000e+00,3.63372e-02,3.63372e-02,3.63372e-02,1.38081e-02,3.63372e-02,3.63372e-02,3.63372e-02,3.63372e-02,3.63372e-02,3.63372e-02,0.00000e+00,1.45349e-03,3.63372e-02,3.63372e-02,3.63372e-02,3.63372e-03,3.63372e-02,3.63372e-02,3.63372e-02,3.63372e-02,3.63372e-02,3.63372e-02,3.63372e-02,3.63372e-02
4.00000e-02,4.00000e-02,0.00000e+00,4.00000e-02,0.00000e+00,4.00000e-02,4.00000e-02,4.00000e-02,4.00000e-02,4.00000e-02,3.20000e-02,4.00000e-02,2.00000e-03,4.00000e-02,8.00000e-03,2.80000e-03,3.64000e-02,4.00000e-02,4.00000e-02,0.00000e+00,4.00000e-02,4.00000e-02,4.00000e-02,3.92000e-02,4.00000e-02,4.00000e-02,4.00000e-02,4.00000e-02,4.00000e-02,4.00000e-02,8.00000e-04,3.88000e-02
2.92826e-03,3.66032e-02,3.66032e-02,3.66032e-02,3.66032e-02,1.09810e-03,3.66032e-02,3.66032e-02,3.66032e-02,3.66032e-02,3.66032e-02,3.66032e-02,3.66032e-02,3.66032e-02,3.66032e-02,3.66032e-02,0.00000e+00,7.32064e-03,3.66032e-02,3.66032e-02,3.66032e-02,3.66032e-02,3.66032e-02,3.62372e-02,3.66032e-02,3.66032e-02,3.66032e-02,3.66032e-02,3.66032e-02,3.66032e-02,7.32064e-04,3.66032e-02
