ARRA,BANK,BCAC,BLCK,BLGL,BDRK,OTHR,BRWN,CBZN,CLPR,CNRY,COPP,CWCD,DBRK,EGLS,GSPT,GSRK,LCOD,LSPN,POP,QLBK,REX,REYE,SBLY,SHRP,SNOS,SSPN,STRK,VRML,WDOW,YEYE,YTRK
5.06842e-02,5.06842e-02,5.06842e-02,5.57527e-03,0.00000e+00,5.06842e-04,5.06842e-02,5.06842e-02,5.06842e-02,0.00000e+00,0.00000e+00,0.00000e+00,5.01774e-02,3.49721e-02,7.09579e-03,0.00000e+00,5.06842e-02,0.00000e+00,3.29448e-02,0.00000e+00,5.06842e-02,5.06842e-02,5.06842e-02,5.01774e-02,0.00000e+00,4.91637e-02,5.06842e-02,5.06842e-02,5.06842e-02,4.51090e-02,1.46984e-02,5.06842e-02
5.20562e-02,0.00000e+00,5.20562e-02,5.20562e-02,0.00000e+00,0.00000e+00,0.00000e+00,5.20562e-04,5.20562e-02,0.00000e+00,5.20562e-02,0.00000e+00,5.20562e-02,5.20562e-02,0.00000e+00,0.00000e+00,5.20562e-02,2.75898e-02,0.00000e+00,5.20562e-02,3.74805e-02,5.20562e-02,5.20562e-02,0.00000e+00,5.04945e-02,5.20562e-02,5.20562e-02,5.20562e-02,5.20562e-02,0.00000e+00,5.10151e-02,5.20562e-02
4.53104e-04,4.53104e-02,4.53104e-02,4.53104e-02,9.06208e-04,4.53104e-02,4.53104e-02,0.00000e+00,0.00000e+00,0.00000e+00,4.53104e-02,4.53104e-02,4.53104e-02,4.53104e-02,2.71862e-03,4.53104e-02,4.53104e-02,0.00000e+00,8.15587e-03,4.53104e-02,1.99366e-02,4.53104e-02,4.53104e-02,0.00000e+00,3.80607e-02,4.53104e-02,4.53104e-02,4.53104e-02,3.71545e-02,4.44042e-02,3.26235e-02,4.53104e-02
6.69344e-02,6.69344e-02,0.00000e+00,6.69344e-02,0.00000e+00,6.69344e-02,6.49264e-02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,6.69344e-02,5.35475e-03,6.69344e-02,3.34672e-03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,6.69344e-02,6.69344e-02,6.69344e-02,0.00000e+00,0.00000e+00,6.69344e-02,6.69344e-02,6.69344e-02,6.69344e-02,5.62249e-02,0.00000e+00,0.00000e+00
6.92521e-02,6.92521e-04,2.21607e-02,6.92521e-02,1.17729e-02,6.92521e-02,2.49307e-02,0.00000e+00,6.37119e-02,2.56233e-02,6.92521e-02,0.00000e+00,6.92521e-04,6.92521e-02,1.80055e-02,6.92521e-02,0.00000e+00,0.00000e+00,1.10803e-02,0.00000e+00,6.78670e-02,0.00000e+00,6.92521e-04,0.00000e+00,5.74792e-02,6.92521e-02,6.92521e-02,0.00000e+00,6.92521e-02,6.92521e-02,2.77008e-03,0.00000e+00
6.44112e-02,6.50618e-02,6.50618e-02,6.50618e-02,4.61939e-02,0.00000e+00,0.00000e+00,6.50618e-02,6.50618e-02,0.00000e+00,8.45804e-03,6.50618e-02,0.00000e+00,6.50618e-02,0.00000e+00,0.00000e+00,0.00000e+00,6.50618e-02,0.00000e+00,0.00000e+00,5.46519e-02,0.00000e+00,4.35914e-02,0.00000e+00,1.30124e-03,6.50618e-02,6.50618e-02,6.50618e-02,6.50618e-04,6.50618e-02,0.00000e+00,0.00000e+00
4.24809e-02,4.24809e-02,4.24809e-02,2.20901e-02,0.00000e+00,3.18607e-02,2.29397e-02,4.24809e-02,4.24809e-02,4.24809e-02,4.24809e-02,2.12404e-02,3.90824e-02,4.24809e-02,2.54885e-03,4.24809e-02,4.24809e-02,3.48343e-02,4.24809e-02,5.94732e-03,4.03568e-02,4.24809e-02,4.03568e-02,0.00000e+00,0.00000e+00,4.24809e-02,4.24809e-02,4.24809e-02,4.24809e-02,1.65675e-02,0.00000e+00,4.24809e-02
5.05306e-02,5.05306e-02,4.85093e-02,5.05306e-02,5.05306e-02,5.05306e-02,1.51592e-03,3.18343e-02,5.05306e-02,0.00000e+00,0.00000e+00,0.00000e+00,5.00253e-02,5.05306e-02,0.00000e+00,5.05306e-02,0.00000e+00,5.05306e-04,5.00253e-02,9.60081e-03,0.00000e+00,5.05306e-02,0.00000e+00,5.05306e-02,0.00000e+00,5.05306e-02,5.05306e-02,5.05306e-02,5.05306e-02,5.05306e-02,1.01061e-03,4.90147e-02
5.09424e-02,0.00000e+00,5.09424e-02,4.43199e-02,3.61691e-02,5.09424e-02,0.00000e+00,0.00000e+00,1.52827e-02,5.09424e-02,1.52827e-03,5.09424e-02,5.09424e-02,5.09424e-02,5.09424e-02,5.09424e-02,0.00000e+00,0.00000e+00,5.09424e-02,3.56597e-03,5.09424e-02,5.09424e-02,2.69995e-02,0.00000e+00,5.09424e-02,5.09424e-02,5.09424e-02,1.68110e-02,5.09424e-02,1.17168e-02,0.00000e+00,2.85278e-02
5.59597e-02,0.00000e+00,5.59597e-02,0.00000e+00,5.59597e-02,0.00000e+00,5.59597e-02,5.03637e-03,5.59597e-02,0.00000e+00,5.42809e-02,0.00000e+00,4.02910e-02,5.59597e-02,5.14829e-02,1.90263e-02,0.00000e+00,0.00000e+00,5.59597e-02,0.00000e+00,2.07051e-02,5.54001e-02,3.58142e-02,0.00000e+00,0.00000e+00,5.59597e-02,1.51091e-02,5.59597e-02,5.59597e-02,5.59597e-02,3.13374e-02,5.59597e-02
5.59284e-02,0.00000e+00,5.59284e-02,5.59284e-02,2.23714e-03,0.00000e+00,5.59284e-02,0.00000e+00,5.59284e-02,5.59284e-02,0.00000e+00,5.59284e-02,0.00000e+00,5.59284e-02,4.64206e-02,0.00000e+00,5.59284e-02,0.00000e+00,4.58613e-02,0.00000e+00,5.48098e-02,5.59284e-02,0.00000e+00,2.23714e-03,5.59284e-02,8.94855e-03,5.59284e-02,5.59284e-02,5.59284e-04,5.59284e-02,0.00000e+00,5.59284e-02
