ARRA,BANK,BCAC,BLCK,BLGL,BDRK,OTHR,BRWN,CBZN,CLPR,CNRY,COPP,CWCD,DBRK,EGLS,GSPT,GSRK,LCOD,LSPN,POP,QLBK,REX,REYE,SBLY,SHRP,SNOS,SSPN,STRK,VRML,WDOW,YEYE,YTRK
5.44662e-02,1.47059e-02,5.44662e-02,5.44662e-02,0.00000e+00,5.44662e-02,5.44662e-02,9.25926e-03,5.44662e-02,5.44662e-04,0.00000e+00,0.00000e+00,0.00000e+00,5.44662e-02,2.83224e-02,5.44662e-02,5.44662e-02,5.44662e-02,0.00000e+00,0.00000e+00,0.00000e+00,1.63399e-03,5.44662e-02,0.00000e+00,0.00000e+00,5.44662e-02,5.44662e-02,5.33769e-02,5.44662e-02,5.44662e-02,2.06972e-02,5.44662e-02
5.06073e-02,0.00000e+00,5.06073e-02,5.06073e-02,0.00000e+00,5.06073e-04,5.06073e-02,0.00000e+00,5.06073e-02,0.00000e+00,0.00000e+00,0.00000e+00,5.06073e-02,5.06073e-02,0.00000e+00,5.06073e-02,5.06073e-02,4.50405e-02,0.00000e+00,0.00000e+00,5.06073e-02,5.06073e-02,0.00000e+00,4.35223e-02,5.06073e-02,5.06073e-02,5.06073e-02,5.06073e-02,5.06073e-02,5.06073e-02,0.00000e+00,5.06073e-02
4.49640e-02,4.49640e-02,4.49640e-02,4.49640e-02,4.49640e-02,4.49640e-02,3.95683e-02,4.49640e-02,0.00000e+00,4.49640e-02,0.00000e+00,4.49640e-02,0.00000e+00,4.49640e-02,4.49640e-02,4.49640e-02,4.49640e-04,3.23741e-02,4.49640e-04,4.31655e-02,4.09173e-02,3.37230e-02,4.49640e-02,0.00000e+00,4.04676e-03,4.49640e-02,4.49640e-02,4.49640e-02,4.49640e-02,0.00000e+00,4.09173e-02,0.00000e+00
5.23834e-02,5.23834e-02,5.23834e-02,1.93819e-02,0.00000e+00,1.36197e-02,5.02881e-02,0.00000e+00,5.23834e-02,1.41435e-02,0.00000e+00,5.23834e-02,3.03824e-02,5.23834e-02,5.23834e-02,5.23834e-02,0.00000e+00,5.23834e-02,0.00000e+00,0.00000e+00,0.00000e+00,5.23834e-02,5.23834e-02,0.00000e+00,0.00000e+00,5.23834e-02,5.23834e-02,1.57150e-03,5.23834e-02,5.23834e-02,5.23834e-02,3.24777e-02
5.38213e-02,5.38213e-02,5.38213e-02,5.38213e-02,0.00000e+00,5.38213e-02,7.53498e-03,0.00000e+00,0.00000e+00,0.00000e+00,5.38213e-02,5.32831e-02,5.38213e-02,5.38213e-02,3.76749e-02,5.38213e-02,0.00000e+00,5.38213e-02,0.00000e+00,0.00000e+00,5.38213e-02,1.18407e-02,5.38213e-02,0.00000e+00,0.00000e+00,3.06781e-02,5.38213e-02,5.38213e-04,5.38213e-02,5.38213e-02,0.00000e+00,5.11302e-02
5.45244e-02,0.00000e+00,5.80046e-02,5.80046e-02,0.00000e+00,4.00232e-02,0.00000e+00,0.00000e+00,5.80046e-02,0.00000e+00,1.50812e-02,0.00000e+00,0.00000e+00,5.80046e-02,5.80046e-02,4.23434e-02,0.00000e+00,3.82831e-02,5.80046e-02,0.00000e+00,5.51044e-02,5.80046e-04,5.80046e-02,5.80046e-02,0.00000e+00,5.80046e-02,5.80046e-02,5.80046e-02,5.80046e-02,5.80046e-02,0.00000e+00,0.00000e+00
5.18672e-02,5.18672e-02,2.07469e-03,3.63071e-03,0.00000e+00,2.59336e-03,5.18672e-02,5.18672e-02,5.18672e-02,5.18672e-02,0.00000e+00,3.63071e-03,0.00000e+00,5.18672e-02,5.18672e-02,5.18672e-02,0.00000e+00,5.18672e-02,0.00000e+00,0.00000e+00,5.18672e-02,5.18672e-02,0.00000e+00,1.50415e-02,5.18672e-02,5.18672e-02,3.94191e-02,5.18672e-02,5.18672e-02,5.18672e-02,0.00000e+00,5.18672e-02
4.74158e-02,4.50450e-02,1.89663e-03,2.03888e-02,4.74158e-02,4.40967e-02,4.74158e-02,2.22854e-02,4.74158e-02,0.00000e+00,0.00000e+00,4.74158e-02,0.00000e+00,4.74158e-02,4.74158e-02,4.74158e-04,0.00000e+00,4.74158e-02,9.48317e-04,0.00000e+00,4.74158e-02,4.74158e-02,0.00000e+00,1.13798e-02,4.74158e-02,4.74158e-02,4.74158e-02,4.74158e-02,4.74158e-02,4.74158e-02,4.74158e-02,4.74158e-02
4.23729e-02,4.23729e-02,2.75424e-02,4.23729e-02,4.23729e-02,6.77966e-03,4.23729e-02,3.85593e-02,4.23729e-02,4.23729e-04,4.23729e-02,4.11017e-02,0.00000e+00,4.23729e-02,4.23729e-02,4.23729e-02,4.23729e-02,0.00000e+00,4.23729e-02,0.00000e+00,4.23729e-04,0.00000e+00,4.23729e-02,3.77119e-02,4.23729e-02,4.23729e-02,4.23729e-02,4.23729e-02,4.23729e-02,4.23729e-02,0.00000e+00,4.23729e-02
5.29381e-02,0.00000e+00,5.29381e-02,7.41133e-03,2.75278e-02,0.00000e+00,0.00000e+00,0.00000e+00,5.29381e-02,0.00000e+00,5.29381e-02,5.29381e-02,5.29381e-02,5.29381e-02,5.29381e-02,5.29381e-02,5.29381e-02,0.00000e+00,0.00000e+00,0.00000e+00,5.29381e-02,5.29381e-02,5.29381e-02,0.00000e+00,5.29381e-04,1.16464e-02,5.29381e-02,5.29381e-02,5.29381e-02,5.29381e-02,0.00000e+00,5.29381e-02
